pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
118,2.02358,CPM_DROP_PHY,2015,6,4.0,2.02358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
127,2.03408,CPM_DROP_PHY,2030,7,4.0,2.03408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
132,2.04358,CAM_DROP_PHY,2034,6,4.0,2.04358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
146,2.05608,CPM_DROP_PHY,2052,10,4.0,2.05608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
159,2.06633,CAM_DROP_PHY,2063,3,4.0,2.06633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
155,2.07408,CAM_DROP_PHY,2055,7,4.0,2.07408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
168,2.07908,CAM_DROP_PHY,2070,9,4.0,2.07908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
180,2.08858,CPM_DROP_PHY,2079,8,4.0,2.08858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
180,2.08858,CAM_DROP_PHY,2084,8,4.0,2.08858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
206,2.09683,CPM_DROP_PHY,2095,2,4.0,2.09683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
194,2.09908,CPM_DROP_PHY,2086,9,4.0,2.09908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
208,2.10633,CPM_DROP_PHY,2096,3,4.0,2.10633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
218,2.11458,CAM_DROP_PHY,2099,5,4.0,2.11458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
260,2.13683,CAM_DROP_PHY,2123,2,4.0,2.13683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
288,2.16633,CAM_DROP_PHY,2163,3,4.0,2.16633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
295,2.17908,CAM_DROP_PHY,2170,9,4.0,2.17908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
307,2.18858,CPM_DROP_PHY,2179,8,4.0,2.18858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
316,2.19908,CPM_DROP_PHY,2186,9,4.0,2.19908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
333,2.20133,CAM_DROP_PHY,2199,5,4.0,2.20133,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
363,2.24358,CAM_DROP_PHY,2234,6,4.0,2.24358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
376,2.25608,CPM_DROP_PHY,2252,10,4.0,2.25608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
392,2.26633,CAM_DROP_PHY,2263,3,4.0,2.26633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
385,2.27408,CAM_DROP_PHY,2255,7,4.0,2.27408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
401,2.27608,CAM_DROP_PHY,2269,10,4.0,2.27608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
403,2.27908,CAM_DROP_PHY,2270,9,4.0,2.27908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
429,2.28858,CAM_DROP_PHY,2284,8,4.0,2.28858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
455,2.31458,CAM_DROP_PHY,2299,5,4.0,2.31458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
480,2.33683,CAM_DROP_PHY,2323,2,4.0,2.33683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
486,2.34358,CAM_DROP_PHY,2334,6,4.0,2.34358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
506,2.35608,CPM_DROP_PHY,2352,10,4.0,2.35608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
516,2.36483,CAM_DROP_PHY,2356,11,4.0,2.36483,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
522,2.36633,CAM_DROP_PHY,2363,3,4.0,2.36633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
534,2.37908,CAM_DROP_PHY,2370,9,4.0,2.37908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
566,2.40133,CAM_DROP_PHY,2399,5,4.0,2.40133,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
599,2.44358,CAM_DROP_PHY,2434,6,4.0,2.44358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
612,2.45608,CPM_DROP_PHY,2452,10,4.0,2.45608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
628,2.46633,CAM_DROP_PHY,2463,3,4.0,2.46633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
621,2.47408,CAM_DROP_PHY,2455,7,4.0,2.47408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
638,2.47908,CAM_DROP_PHY,2470,9,4.0,2.47908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
660,2.48858,CAM_DROP_PHY,2484,8,4.0,2.48858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
678,2.50633,CPM_DROP_PHY,2496,3,4.0,2.50633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
724,2.53683,CAM_DROP_PHY,2523,2,4.0,2.53683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
730,2.54358,CAM_DROP_PHY,2534,6,4.0,2.54358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
761,2.56633,CAM_DROP_PHY,2563,3,4.0,2.56633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
766,2.57608,CAM_DROP_PHY,2569,10,4.0,2.57608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
784,2.58858,CAM_DROP_PHY,2584,8,4.0,2.58858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
833,2.63408,CPM_DROP_PHY,2630,7,4.0,2.63408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
838,2.64358,CAM_DROP_PHY,2634,6,4.0,2.64358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
865,2.66183,CAM_DROP_PHY,2656,11,4.0,2.66183,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
863,2.67408,CAM_DROP_PHY,2655,7,4.0,2.67408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
879,2.67908,CAM_DROP_PHY,2670,9,4.0,2.67908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
905,2.68858,CAM_DROP_PHY,2684,8,4.0,2.68858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
910,2.69908,CPM_DROP_PHY,2686,9,4.0,2.69908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
802,2.70133,CAM_DROP_PHY,2599,5,4.0,2.70133,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
856,2.70133,CPM_DROP_PHY,2651,5,4.0,2.70133,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
923,2.70633,CPM_DROP_PHY,2696,3,4.0,2.70633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
968,2.73683,CAM_DROP_PHY,2723,2,4.0,2.73683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
974,2.74358,CAM_DROP_PHY,2734,6,4.0,2.74358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1006,2.76633,CAM_DROP_PHY,2763,3,4.0,2.76633,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
