vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh9,1370,1.37017,,0,CAM,9,,1370,-1
veh9,1570,1.57017,,0,CAM,9,,1570,-1
veh9,1770,1.77017,,0,CAM,9,,1770,-1
veh9,1970,1.97017,,0,CAM,9,,1970,-1
veh9,2034,,2.04358,1,CAM,6,9,2034,-1
veh9,2063,,2.06633,1,CAM,3,9,2063,-1
veh9,2070,2.07017,,0,CAM,9,,2070,-1
veh9,2055,,2.07408,1,CAM,7,9,2055,-1
veh9,2084,,2.08858,1,CAM,8,9,2084,-1
veh9,2087,,2.09058,1,CAM,4,9,2087,-1
veh9,2099,,2.11458,1,CAM,5,9,2099,-1
veh9,2123,,2.13683,1,CAM,2,9,2123,-1
veh9,2163,,2.16633,1,CAM,3,9,2163,-1
veh9,2170,2.17017,,0,CAM,9,,2170,-1
veh9,2199,,2.20133,1,CAM,5,9,2199,-1
veh9,2234,,2.24358,1,CAM,6,9,2234,-1
veh9,2263,,2.26633,1,CAM,3,9,2263,-1
veh9,2270,2.27017,,0,CAM,9,,2270,-1
veh9,2255,,2.27408,1,CAM,7,9,2255,-1
veh9,2269,,2.27608,1,CAM,10,9,2269,-1
veh9,2284,,2.28858,1,CAM,8,9,2284,-1
veh9,2287,,2.29058,1,CAM,4,9,2287,-1
veh9,2299,,2.31458,1,CAM,5,9,2299,-1
veh9,2323,,2.33683,1,CAM,2,9,2323,-1
veh9,2334,,2.34358,1,CAM,6,9,2334,-1
veh9,2356,,2.36483,1,CAM,11,9,2356,-1
veh9,2363,,2.36633,1,CAM,3,9,2363,-1
veh9,2370,2.37017,,0,CAM,9,,2370,-1
veh9,2399,,2.40133,1,CAM,5,9,2399,-1
veh9,2434,,2.44358,1,CAM,6,9,2434,-1
veh9,2463,,2.46633,1,CAM,3,9,2463,-1
veh9,2470,2.47017,,0,CAM,9,,2470,-1
veh9,2455,,2.47408,1,CAM,7,9,2455,-1
veh9,2484,,2.48858,1,CAM,8,9,2484,-1
veh9,2487,,2.49058,1,CAM,4,9,2487,-1
veh9,2499,,2.51458,1,CAM,5,9,2499,-1
veh9,2523,,2.53683,1,CAM,2,9,2523,-1
veh9,2534,,2.54358,1,CAM,6,9,2534,-1
veh9,2563,,2.56633,1,CAM,3,9,2563,-1
veh9,2569,,2.57608,1,CAM,10,9,2569,-1
veh9,2584,,2.58858,1,CAM,8,9,2584,-1
veh9,2599,,2.60133,1,CAM,5,9,2599,-1
veh9,2634,,2.64358,1,CAM,6,9,2634,-1
veh9,2656,,2.66183,1,CAM,11,9,2656,-1
veh9,2670,2.67017,,0,CAM,9,,2670,-1
veh9,2655,,2.67408,1,CAM,7,9,2655,-1
veh9,2684,,2.68858,1,CAM,8,9,2684,-1
veh9,2687,,2.69058,1,CAM,4,9,2687,-1
veh9,2723,,2.73683,1,CAM,2,9,2723,-1
veh9,2734,,2.74358,1,CAM,6,9,2734,-1
veh9,2763,,2.76633,1,CAM,3,9,2763,-1
veh9,2799,,2.80133,1,CAM,5,9,2799,-1
veh9,2834,,2.84358,1,CAM,6,9,2834,-1
veh9,2870,2.87017,,0,CAM,9,,2870,-1
veh9,2855,,2.87408,1,CAM,7,9,2855,-1
veh9,2869,,2.87608,1,CAM,10,9,2869,-1
veh9,2887,,2.89058,1,CAM,4,9,2887,-1
veh9,2923,,2.93683,1,CAM,2,9,2923,-1
veh9,2956,,2.96183,1,CAM,11,9,2956,-1
veh9,2963,,2.96633,1,CAM,3,9,2963,-1
veh9,2969,,2.97608,1,CAM,10,9,2969,-1
veh9,2987,,2.99058,1,CAM,4,9,2987,-1
veh9,2884,,3.00083,1,CAM,8,9,2884,-1
veh9,2999,,3.01458,1,CAM,5,9,2999,-1
veh9,3034,,3.04808,1,CAM,6,9,3034,-1
veh9,3070,3.07017,,0,CAM,9,,3070,-1
veh9,3055,,3.07408,1,CAM,7,9,3055,-1
veh9,3069,,3.07608,1,CAM,10,9,3069,-1
veh9,3087,,3.09058,1,CAM,4,9,3087,-1
veh9,3084,,3.10083,1,CAM,8,9,3084,-1
veh9,3123,,3.12758,1,CAM,2,9,3123,-1
veh9,3163,,3.16633,1,CAM,3,9,3163,-1
veh9,3155,,3.16708,1,CAM,7,9,3155,-1
veh9,3169,,3.17608,1,CAM,10,9,3169,-1
veh9,3187,,3.19058,1,CAM,4,9,3187,-1
veh9,3199,,3.21458,1,CAM,5,9,3199,-1
veh9,3234,,3.24808,1,CAM,6,9,3234,-1
veh9,3256,,3.26183,1,CAM,11,9,3256,-1
veh9,3255,,3.26708,1,CAM,7,9,3255,-1
veh9,3270,3.27017,,0,CAM,9,,3270,-1
veh9,3269,,3.27608,1,CAM,10,9,3269,-1
veh9,3287,,3.29058,1,CAM,4,9,3287,-1
veh9,3284,,3.30083,1,CAM,8,9,3284,-1
veh9,3323,,3.32758,1,CAM,2,9,3323,-1
veh9,3355,,3.36708,1,CAM,7,9,3355,-1
veh9,3370,3.37017,,0,CAM,9,,3370,-1
