time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
3.8,veh3,drop_decision_no_action,2,2283,9223372045444712683,-1,-1,-1,-1,-1
3.8,veh3,drop_decision_no_action,2,2583,9223372045444712983,-1,-1,-1,-1,-1
4.4,veh3,drop_decision_no_action,2,2883,9223372045444713283,-1,-1,-1,-1,-1
4.4,veh3,crash_mode_forced_speed,2,2883,9223372045444713283,-1,-1,-1,-1,30
4.4,veh3,drop_decision_no_action,2,3183,9223372045444713583,-1,-1,-1,-1,-1
4.99783,veh3,cam_reaction,2,4983,18446744073709551615,10.2153,79.5413,0,0,1.8
5,veh3,drop_decision_no_action,2,3483,9223372045444713883,-1,-1,-1,-1,-1
5,veh3,drop_decision_no_action,2,3783,9223372045444714183,-1,-1,-1,-1,-1
5.59358,veh3,cam_reaction,2,5583,18446744073709551615,3.74703,103.262,0,0,1.8
5.6,veh3,drop_decision_no_action,2,4083,9223372045444714483,-1,-1,-1,-1,-1
5.6,veh3,drop_decision_no_action,2,4383,9223372045444714783,-1,-1,-1,-1,-1
6.09383,veh3,cam_reaction,2,6083,18446744073709551615,9.4166,108.562,0,0,1.8
6.2,veh3,drop_decision_no_action,2,4683,9223372045444715083,-1,-1,-1,-1,-1
7.29008,veh3,cam_reaction,2,7283,18446744073709551615,9.4166,108.562,0,0,1.8
7.4,veh3,crash_mode_restore,-1,-1,18446744073709551615,-1,-1,-1,-1,-1
8.29308,veh3,cam_reaction,2,8283,18446744073709551615,9.4166,108.562,0,0,1.8
9.28733,veh3,cam_reaction,2,9283,18446744073709551615,9.4166,108.562,0,0,1.8
10.3036,veh3,cam_reaction,2,10283,18446744073709551615,9.4166,108.562,0,0,1.8
11.3036,veh3,cam_reaction,2,11283,18446744073709551615,9.4166,108.562,0,0,1.8
12.3046,veh3,cam_reaction,2,12283,18446744073709551615,9.4166,108.562,0,0,1.8
13.3008,veh3,cam_reaction,2,13283,18446744073709551615,9.4166,108.562,0,0,1.8
14.3018,veh3,cam_reaction,2,14283,18446744073709551615,9.4166,108.562,0,0,1.8
15.2916,veh3,cam_reaction,2,15283,18446744073709551615,9.4166,108.562,0,0,1.8
16.2941,veh3,cam_reaction,2,16283,18446744073709551615,9.4166,108.562,0,0,1.8
17.2971,veh3,cam_reaction,2,17283,18446744073709551615,9.4166,108.562,0,0,1.8
18.2971,veh3,cam_reaction,2,18283,18446744073709551615,9.4166,108.562,0,0,1.8
19.3023,veh3,cam_reaction,2,19283,18446744073709551615,9.4166,108.562,0,0,1.8
