time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.1,,,0
0.2,14.0,,7
0.3,14.0,,7
0.4,14.0,,7
0.5,13.999999999999998,,7
0.6,13.999999999999998,,7
0.7,14.000000000000002,,7
0.8,14.0,,8
0.9,14.0,,8
1.0,5.44,,9
1.1,5.76,,9
1.2,6.08,,9
1.3,6.3999999999999995,,9
1.4,6.72,,9
1.5,7.04,,9
1.6,7.359999999999999,,10
1.7,7.680000000000001,,10
1.8,8.0,,10
1.9,8.319999999999999,,10
2.0,8.64,,10
2.1,8.959999999999999,,10
2.2,9.280000000000001,,10
2.3,9.6,,10
2.4,9.919999999999998,,11
2.5,10.239999999999998,,11
2.6,10.559999999999999,,11
2.7,10.879999999999999,,11
2.8,11.2,,11
2.9,11.520000000000001,,11
3.0,11.839999999999998,,11
3.1,12.159999999999998,,11
3.2,12.480000000000002,,11
3.3,12.8,,11
3.4,13.120000000000001,,11
3.5,13.440000000000001,,11
3.6,13.760000000000002,,11
3.7,14.000000000000004,,11
3.8,14.400000000000002,959.7999999999863,11
3.9,14.719999999999999,77.3064516129031,11
4.0,15.04,40.51694915254239,11
4.1,15.360000000000003,27.379310344827584,11
4.2,15.679999999999996,20.793859649122812,11
4.3,15.999999999999996,16.712765957446816,11
4.4,16.0,13.843195266272184,11
4.5,16.0,12.755494505494502,11
4.6,16.0,12.726519337016569,11
4.7,16.0,12.662049861495845,11
4.8,16.0,12.5595567867036,11
4.9,16.0,12.357142857142856,11
5.0,16.0,12.258241758241752,11
5.1,16.0,12.190082644628102,11
5.2,16.0,12.090909090909088,11
5.3,16.0,5.6685499058380415,11
5.4,16.0,5.194371152154793,11
5.5,15.659999999999997,4.935208866155158,11
5.6,15.989999999999995,4.847863247863248,11
5.7,16.0,4.807093425605536,11
5.8,16.489999999999995,4.8083038869257955,11
5.9,16.650000000000006,4.769230769230769,11
6.0,16.760000000000005,4.703603603603604,11
6.1,16.799999999999997,4.642143505903724,11
6.2,16.790000000000006,4.6016559337626495,11
6.3,16.72999999999999,4.601503759398495,11
6.4,16.659999999999997,4.562857142857143,11
6.5,16.38,4.501440922190201,11
6.6,16.51,4.436592449177153,11
6.7,16.460000000000008,4.397448478900884,11
6.8,16.39,4.403015075376884,11
6.9,16.320000000000007,4.361507128309572,11
7.0,16.239999999999995,4.302158273381296,11
7.1,16.17,4.238341968911916,11
7.2,16.090000000000003,4.200841219768664,11
7.3,16.019999999999996,4.209277238403453,11
7.4,15.940000000000012,4.169584245076586,11
7.5,15.86,4.110497237569062,11
7.6,15.780000000000001,4.046822742474916,11
7.7,15.690000000000012,4.011325028312571,11
7.8,15.620000000000005,4.023282887077998,11
7.9,15.52000000000001,3.984633569739953,11
8.0,15.439999999999998,3.9283154121863806,11
8.1,15.349999999999994,3.8661037394451148,11
8.2,15.269999999999996,3.8331288343558283,11
8.3,15.179999999999993,3.849557522123894,11
8.4,21.85,3.813624678663239,11
8.5,22.32,3.758127438231469,11
8.6,22.809999999999995,3.696452036793692,11
8.7,23.309999999999995,3.666666666666666,11
8.8,23.83,3.6823204419889506,11
8.9,24.369999999999997,3.654929577464789,11
9.0,24.93,3.598290598290598,11
9.1,24.559999999999995,3.5440115440115436,11
9.2,23.879999999999995,3.5117647058823525,11
9.3,14.29,3.541158536585366,11
9.4,14.190000000000001,3.5132192846034216,11
9.5,14.1,3.4621451104100953,11
9.6,14.009999999999998,3.405750798722045,11
9.7,13.909999999999998,3.383986928104575,11
9.8,13.83,3.415959252971137,11
9.9,13.73,3.3923611111111107,11
10.0,13.639999999999999,3.3474426807760147,11
10.1,13.550000000000002,3.2951699463327375,11
10.2,13.450000000000001,3.280733944954129,11
10.3,13.36,3.3237547892720305,11
10.4,13.27,3.31041257367387,11
10.5,13.169999999999998,3.261477045908183,11
10.6,13.080000000000002,3.2215447154471546,11
10.7,12.98,3.2087682672233817,11
10.8,12.900000000000002,3.2769230769230773,11
10.9,12.800000000000004,3.273755656108597,11
11.0,12.7,3.2350230414746544,11
11.1,12.61,3.197183098591549,11
11.2,12.510000000000002,3.1961259079903157,11
11.3,12.420000000000002,3.293059125964009,11
11.4,12.319999999999997,3.3085106382978737,11
11.5,12.060000000000002,3.2682926829268295,11
11.6,11.700000000000003,3.250000000000001,11
11.7,11.36,3.2737752161383282,11
11.8,11.030000000000001,3.4043209876543217,11
11.9,10.719999999999999,3.4469453376205785,11
12.0,10.419999999999995,3.427631578947367,11
12.1,10.129999999999995,3.4222972972972956,11
12.2,9.839999999999996,3.47703180212014,11
12.3,9.579999999999998,3.684615384615384,11
12.4,9.339999999999996,3.7813765182186225,11
12.5,9.089999999999996,3.787499999999998,11
12.6,8.86,3.8189655172413794,11
12.7,8.64,3.945205479452055,11
12.8,8.449999999999996,4.333333333333332,11
12.9,8.260000000000005,4.475920679886684,11
13.0,8.100000000000001,4.373937677053824,11
13.1,7.93,4.274787535410765,11
13.2,7.780000000000001,4.1756373937677065,11
13.3,7.659999999999997,3.8395721925133692,11
13.4,7.549999999999997,3.740641711229947,11
13.5,7.439999999999998,3.6293333333333333,11
13.6,7.349999999999994,3.5306666666666677,11
13.7,7.269999999999996,3.420212765957447,11
13.8,7.210000000000001,3.3129973474801067,11
13.9,7.170000000000002,3.2122015915119357,11
14.0,7.140000000000001,3.1058201058201043,11
14.1,7.119999999999997,2.9973614775725594,11
14.2,7.109999999999999,2.8970976253298146,11
14.3,7.07,3.2668711656441736,11
14.4,7.0,3.5882352941176485,11
14.5,6.939999999999998,3.4486301369863015,11
14.6,6.880000000000003,3.3840830449826993,11
14.7,6.829999999999998,3.306620209059234,11
14.8,6.799999999999997,3.242957746478873,11
14.9,6.779999999999994,3.2122302158273377,11
15.0,6.760000000000005,3.211111111111109,11
15.1,6.740000000000002,3.181818181818181,11
15.2,6.730000000000004,3.1550387596899228,11
15.3,6.729999999999997,3.143426294820717,11
15.4,6.729999999999997,3.200836820083681,11
15.5,6.719999999999999,3.2977777777777786,11
15.6,6.710000000000001,3.353488372093024,11
15.7,6.710000000000001,3.3980582524271843,11
15.8,6.720000000000006,3.487179487179486,11
15.9,6.630000000000003,3.6833333333333345,11
16.0,6.460000000000001,3.8682634730538927,11
16.1,6.299999999999997,4.0384615384615365,11
16.2,6.159999999999997,4.219178082191778,11
16.3,6.019999999999996,4.426470588235292,11
16.4,5.909999999999997,4.884297520661154,11
16.5,5.789999999999999,5.361111111111111,11
16.6,5.700000000000003,5.816326530612248,11
16.7,5.609999999999999,6.303370786516854,11
16.8,5.530000000000001,6.912500000000002,11
16.9,5.460000000000001,8.149253731343286,11
17.0,5.409999999999997,9.29818780889621,11
17.1,5.359999999999999,9.167487684729062,11
17.2,5.32,9.0392798690671,11
17.3,5.290000000000006,8.908646003262641,11
17.4,5.270000000000003,8.778861788617887,11
17.5,5.25,8.651539708265801,11
17.6,5.240000000000002,8.523424878836833,11
17.7,5.219999999999999,8.396135265700481,11
17.8,5.219999999999999,8.268057784911717,11
17.9,5.219999999999999,8.142399999999999,11
18.0,5.219999999999999,8.015948963317383,11
18.1,5.210000000000001,8.68706293706294,11
18.2,5.219999999999999,8.999999999999998,11
18.3,5.210000000000001,9.31417624521073,11
18.4,5.219999999999999,9.643286573146288,11
18.5,5.210000000000001,9.989517819706501,11
18.6,5.220000000000006,10.348684210526315,11
18.7,5.210000000000001,10.697940503432497,11
18.8,5.219999999999999,11.083732057416265,11
