time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.1208,veh2,CAM,3,33.5653,nan,nan,-87.6531,120.0000,53.8343,1
2.2748,veh2,CAM,4,33.1446,nan,nan,-88.0739,120.0000,131.4341,1
2.3208,veh2,CAM,3,34.7490,nan,nan,-86.4695,120.0000,50.5363,1
2.4208,veh2,CAM,3,34.7490,nan,nan,-86.4695,120.0000,48.9095,1
2.5208,veh2,CAM,3,36.0442,nan,nan,-85.1743,120.0000,47.2992,1
2.5748,veh2,CAM,4,33.4817,nan,nan,-87.7368,120.0000,125.4193,1
2.6208,veh2,CAM,3,36.0442,nan,nan,-85.1743,120.0000,45.7179,1
2.7208,veh2,CAM,3,36.0442,nan,nan,-85.1743,120.0000,44.1430,1
2.8208,veh2,CAM,3,37.3811,nan,nan,-83.8374,120.0000,42.5929,1
2.8748,veh2,CAM,4,33.9396,nan,nan,-87.2788,120.0000,119.4384,1
2.9208,veh2,CAM,3,37.3811,nan,nan,-83.8374,120.0000,41.0491,1
3.0208,veh2,CAM,3,38.5192,nan,nan,-82.6993,120.0000,39.5320,1
3.1208,veh2,CAM,3,38.5192,nan,nan,-82.6993,120.0000,38.0273,1
3.1748,veh2,CAM,4,34.3032,nan,nan,-86.9152,120.0000,113.4821,1
3.2208,veh2,CAM,3,38.8433,nan,nan,-82.3752,120.0000,36.5405,1
3.3208,veh2,CAM,3,40.1299,nan,nan,-81.0886,120.0000,35.0652,1
3.4208,veh2,CAM,3,40.1299,nan,nan,-81.0885,120.0000,33.6091,1
3.4748,veh2,CAM,4,34.6804,nan,nan,-86.5381,120.0000,107.5762,1
3.5186,veh2,CAM,3,41.4444,nan,nan,-79.7741,120.0000,32.1719,1
3.6186,veh2,CAM,3,41.4444,nan,nan,-79.7741,120.0000,30.7635,1
3.7186,veh2,CAM,3,41.4444,nan,nan,-79.7741,120.0000,29.3669,1
