messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,4,2265,45.0539,7.65462,252.6,16.47,0.1
2,2,2295,45.0527,7.65437,345,17.95,-0.3
2,4,2565,45.0539,7.65457,252.6,16.46,-0.3
2,2,2595,45.0528,7.65436,345,17.97,-0.2
2,4,2865,45.0539,7.65452,252.6,16.45,0
2,2,2895,45.0528,7.65434,345,17.95,-0.7
2,4,3165,45.0539,7.65447,252.6,16.45,-0.9
2,2,3195,45.0528,7.65433,345,17.96,-0.1
2,4,3465,45.0539,7.65442,252.6,16.49,0
2,2,3495,45.0529,7.65431,345,17.96,-0.3
2,4,3765,45.0538,7.65437,248.3,16.47,0.3
2,2,3795,45.0529,7.65429,345,17.98,-0.1
2,4,3865,45.0538,7.65437,227.2,16.49,0.2
2,4,3965,45.0538,7.65436,205.3,16.48,0
2,4,4065,45.0538,7.65436,194.9,16.49,0.4
2,2,4095,45.053,7.65428,345,17.99,0.7
2,4,4165,45.0538,7.65436,194.9,16.48,0.4
2,4,4265,45.0538,7.65435,194.9,16.46,0
2,4,4365,45.0538,7.65435,194.9,16.46,-0.4
2,2,4395,45.053,7.65426,345,17.97,0.3
2,4,4465,45.0538,7.65434,194.9,16.46,-0.6
2,4,4565,45.0537,7.65434,194.9,16.48,0.5
2,2,4695,45.053,7.65425,345,17.99,0.3
2,4,4865,45.0537,7.65433,194.9,16.48,0.1
2,2,4995,45.0531,7.65424,348,17.96,-0.3
2,4,5165,45.0537,7.65431,194.9,16.47,-0.1
2,2,5295,45.0531,7.65423,353.6,17.96,-0.4
2,4,5465,45.0536,7.6543,194.9,16.45,0
2,2,5595,45.0532,7.65423,359.1,17.98,0.2
2,4,5765,45.0536,7.65429,194.9,16.46,-0.6
2,2,5895,45.0532,7.65424,4.1,17.96,-0.4
2,4,6065,45.0536,7.65427,194.9,16.47,0.4
2,2,6195,45.0533,7.65425,9.9,17.99,0
2,4,6365,45.0535,7.65426,194.9,16.48,0.6
2,2,6495,45.0533,7.65427,14,17.96,0
2,4,6665,45.0535,7.65425,194.9,16.49,0.8
2,2,6795,45.0534,7.65428,14.9,17.99,0.4
2,4,6965,45.0534,7.65424,194.9,16.49,0.5
2,2,7095,45.0534,7.6543,14.9,17.96,-0.5
2,4,7265,45.0534,7.65422,194.9,16.47,-0.1
2,2,7395,45.0534,7.65431,14.9,17.96,0
2,4,7565,45.0534,7.65421,194.9,16.46,0.3
2,2,7695,45.0535,7.65432,14.9,17.98,0.2
2,4,7865,45.0533,7.6542,194.9,16.47,0.4
2,2,7995,45.0535,7.65434,14.9,17.96,-0.1
2,4,8165,45.0533,7.65418,194.9,16.48,0.4
2,2,8295,45.0536,7.65435,14.9,17.95,0
2,4,8465,45.0533,7.65417,194.9,16.47,-0.3
2,2,8595,45.0536,7.65437,14.9,17.99,0
2,4,8765,45.0532,7.65416,189.1,16.49,0.7
2,2,8895,45.0536,7.65438,14.9,17.98,0.4
2,4,9065,45.0532,7.65416,183.4,16.45,-0.7
2,2,9195,45.0537,7.65439,14.9,17.97,0
2,4,9365,45.0531,7.65416,180.8,16.47,0.3
2,2,9495,45.0537,7.65441,14.9,17.96,-0.4
2,4,9665,45.0531,7.65416,178,16.49,0.8
2,2,9795,45.0537,7.65442,14.9,17.99,0.5
2,4,9965,45.053,7.65417,172.5,16.49,0.3
2,2,10095,45.0538,7.65443,14.9,17.98,-0.2
2,4,10265,45.053,7.65418,166.2,16.49,0
2,2,10295,45.0538,7.65446,25.3,17.97,0
2,2,10395,45.0538,7.65448,34.2,17.97,-0.3
2,4,10465,45.053,7.65419,165,15.33,-7.5
2,2,10495,45.0538,7.6545,43.5,17.98,0.5
2,4,10565,45.053,7.6542,165,14.58,-7.5
2,2,10595,45.0538,7.65452,52.9,17.96,0
2,4,10665,45.053,7.6542,165,13.83,-7.5
2,2,10695,45.0538,7.65453,61.8,17.99,0
2,4,10765,45.0529,7.65421,165,13.08,-7.5
2,2,10795,45.0538,7.65455,69.9,17.98,0.3
2,4,10865,45.0529,7.65421,165,12.33,-7.5
2,2,10895,45.0538,7.65457,72.6,17.95,0
2,4,10965,45.0529,7.65421,165,11.58,-7.5
2,2,10995,45.0538,7.65459,72.6,17.96,-0.1
2,4,11065,45.0529,7.65422,165,10.83,-7.5
2,2,11095,45.0538,7.65461,72.6,17.98,-0.1
2,4,11165,45.0529,7.65422,165,10.08,-7.5
2,4,11265,45.0529,7.65422,165,9.33,-7.5
2,4,11365,45.0529,7.65422,165,8.58,-7.5
2,2,11395,45.0539,7.65466,72.6,17.96,-0.3
2,4,11465,45.0529,7.65423,165,7.83,-7.5
2,4,11565,45.0529,7.65423,165,7.08,-7.5
2,4,11665,45.0529,7.65423,165,6.33,-7.5
2,2,11695,45.0539,7.65472,72.6,17.97,-0.2
2,4,11765,45.0529,7.65423,165,5.58,-7.5
2,4,11865,45.0529,7.65423,165,4.83,-7.5
2,4,11965,45.0529,7.65424,165,4.08,-7.5
2,2,11995,45.0539,7.65477,72.6,17.99,0.5
2,4,12065,45.0529,7.65424,165,3.33,-7.5
2,4,12165,45.0529,7.65424,165,3.29,0.6
2,4,12265,45.0529,7.65424,165,3.26,-0.6
2,2,12295,45.0539,7.65483,72.6,17.98,0.1
2,4,12365,45.0529,7.65424,165,3.29,0.3
2,2,12595,45.0539,7.65488,72.6,17.99,0.6
2,2,12895,45.0539,7.65493,72.6,17.98,0.6
2,4,13065,45.0528,7.65425,165,3.85,1.9
2,2,13195,45.0539,7.65499,72.6,17.96,0.2
2,4,13265,45.0528,7.65425,165,4.36,2.3
2,4,13465,45.0528,7.65425,165,4.85,2.5
2,2,13495,45.0539,7.65504,72.6,17.99,0.7
2,4,13665,45.0528,7.65426,165,5.27,2.7
2,2,13695,45.0539,7.65508,72.6,17.05,-6
2,2,13795,45.054,7.6551,72.6,16.45,-6
2,4,13865,45.0528,7.65426,165,5.72,2.5
2,2,13895,45.054,7.65511,72.6,15.86,-6
2,2,13995,45.054,7.65513,72.6,15.26,-6
2,2,14095,45.054,7.65514,72.6,14.66,-6
2,4,14165,45.0528,7.65426,165,6.43,2.4
2,2,14195,45.054,7.65516,72.6,14.06,-6
2,2,14295,45.054,7.65517,72.6,13.47,-5.8
2,2,14395,45.054,7.65518,72.6,12.87,-6
2,4,14465,45.0528,7.65427,165,7.09,2
2,2,14495,45.054,7.6552,72.6,12.27,-6
2,2,14595,45.054,7.65521,72.6,11.67,-6
2,2,14695,45.054,7.65522,72.6,11.07,-6
2,4,14765,45.0528,7.65428,165,7.75,2.7
2,2,14795,45.054,7.65523,72.6,10.47,-5.9
2,2,14895,45.054,7.65524,72.6,9.87,-6
2,2,14995,45.054,7.65525,72.6,9.27,-6
2,4,15065,45.0528,7.65428,165,8.4,1.8
2,2,15095,45.054,7.65526,72.6,8.67,-6
2,2,15195,45.054,7.65527,72.6,8.07,-6
2,2,15295,45.054,7.65527,72.6,7.47,-5.9
2,4,15365,45.0527,7.65429,165,9.09,1.9
2,2,15395,45.054,7.65528,72.6,6.87,-5.9
2,2,15495,45.054,7.65529,73.1,6.83,-0.2
2,2,15595,45.054,7.6553,73.7,6.84,0
2,4,15665,45.0527,7.6543,165,9.76,2.2
2,2,15695,45.054,7.65531,74.2,6.85,0.3
2,4,15965,45.0527,7.65431,165,10.43,2.6
2,2,16095,45.054,7.65534,79.4,6.83,-0.3
2,4,16265,45.0527,7.65432,165,11.11,1.9
2,2,16295,45.054,7.65536,84.2,6.85,0.3
2,2,16495,45.054,7.65537,92.2,6.86,0.3
2,4,16565,45.0526,7.65433,165,11.81,2.5
2,2,16595,45.054,7.65537,96.3,6.85,0.5
2,2,16695,45.054,7.65538,101.2,6.86,0.2
2,2,16795,45.054,7.65538,106.6,6.85,-0.3
2,4,16865,45.0526,7.65434,165,12.51,2.5
2,2,16895,45.054,7.65538,112.3,6.85,0.1
2,2,16995,45.054,7.65538,118,6.84,0.3
2,2,17095,45.0539,7.65538,123.8,6.83,-0.7
2,4,17165,45.0526,7.65435,165,13.2,2
2,2,17195,45.0539,7.65538,129.4,6.97,2.8
2,2,17295,45.0539,7.65538,135.2,7.25,3
2,2,17395,45.0539,7.65538,141.4,7.55,2.8
2,4,17465,45.0526,7.65436,165,13.9,1.8
2,2,17495,45.0539,7.65538,147.7,7.87,3.2
2,2,17595,45.0539,7.65538,153.9,8.14,2.5
2,2,17695,45.0539,7.65538,159.1,8.44,3.1
2,4,17765,45.0525,7.65438,165,14.59,1.9
2,2,17795,45.0539,7.65538,164.3,8.71,2.5
2,2,17895,45.0539,7.65538,169.3,9,3.2
2,2,17995,45.0539,7.65538,172.2,9.28,2.9
2,4,18065,45.0525,7.65439,165,15.32,2.5
2,2,18095,45.0539,7.65538,175.2,9.61,3
2,2,18195,45.0539,7.65538,177.5,9.92,3.2
2,4,18365,45.0525,7.6544,165,16.08,2.7
2,2,18395,45.0539,7.65538,179.1,10.54,2.9
2,4,18465,45.0524,7.65441,159.1,16.3,2.1
2,4,18565,45.0524,7.65443,137.8,16.46,1.1
2,2,18595,45.0539,7.65538,180,11.1,2.6
2,4,18665,45.0524,7.65445,116,16.46,-0.7
2,4,18765,45.0524,7.65446,107.3,16.45,-0.4
2,2,18795,45.0538,7.65538,180,11.74,3.2
2,4,18865,45.0524,7.65448,107.3,16.48,-0.2
2,4,18965,45.0524,7.6545,107.3,16.49,0.8
2,2,18995,45.0538,7.65538,180,12.33,3.2
2,4,19065,45.0524,7.65452,107.3,16.46,0
2,2,19195,45.0538,7.65538,180,12.94,2.8
2,4,19365,45.0524,7.65457,107.3,16.49,0.3
2,2,19395,45.0538,7.65538,180,13.51,2.8
2,2,19595,45.0538,7.65539,180,14.13,2.6
2,4,19665,45.0524,7.65462,107.3,16.49,0
2,2,19795,45.0537,7.65539,180,14.71,2.9
2,4,19965,45.0524,7.65467,107.3,16.49,0.6
2,2,19995,45.0537,7.65539,180,15.29,3.3
2,2,20195,45.0537,7.65539,180,15.87,2.6
2,4,20265,45.0524,7.65472,107.3,16.48,0
2,2,20395,45.0537,7.65539,180,16.47,2.9
2,4,20565,45.0524,7.65477,107.3,16.47,0
2,2,20595,45.0537,7.65539,180,17.06,3
2,2,20795,45.0536,7.65539,180,17.65,3.1
2,4,20865,45.0524,7.65482,107.3,16.45,-0.4
2,2,20995,45.0536,7.65539,180,17.98,0
2,4,21165,45.0523,7.65487,107.3,16.49,0.3
2,2,21195,45.0536,7.65539,180,17.98,0
2,2,21395,45.0536,7.65539,180,17.99,0.1
2,4,21465,45.0523,7.65493,107.3,16.46,-0.1
2,2,21695,45.0535,7.65539,180,17.97,0.1
2,4,21765,45.0523,7.65498,107.3,16.49,0.3
