vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh4,765,0.765363,,0,CAM,4,,765,-1
veh4,1065,1.06536,,0,CAM,4,,1065,-1
veh4,1365,1.36536,,0,CAM,4,,1365,-1
veh4,1665,1.66536,,0,CAM,4,,1665,-1
veh4,1965,1.96536,,0,CAM,4,,1965,-1
veh4,2116,,2.12083,1,CAM,3,4,2116,-1
veh4,2265,2.26536,,0,CAM,4,,2265,-1
veh4,2295,,2.29808,1,CAM,2,4,2295,-1
veh4,2316,,2.32083,1,CAM,3,4,2316,-1
veh4,2416,,2.42083,1,CAM,3,4,2416,-1
veh4,2516,,2.52083,1,CAM,3,4,2516,-1
veh4,2565,2.56536,,0,CAM,4,,2565,-1
veh4,2595,,2.59808,1,CAM,2,4,2595,-1
veh4,2616,,2.62083,1,CAM,3,4,2616,-1
veh4,2716,,2.72083,1,CAM,3,4,2716,-1
veh4,2816,,2.82083,1,CAM,3,4,2816,-1
veh4,2865,2.86536,,0,CAM,4,,2865,-1
veh4,2895,,2.91433,1,CAM,2,4,2895,-1
veh4,2916,,2.92083,1,CAM,3,4,2916,-1
veh4,3016,,3.02083,1,CAM,3,4,3016,-1
veh4,3116,,3.12083,1,CAM,3,4,3116,-1
veh4,3165,3.16536,,0,CAM,4,,3165,-1
veh4,3195,,3.21433,1,CAM,2,4,3195,-1
veh4,3216,,3.22083,1,CAM,3,4,3216,-1
veh4,3316,,3.32083,1,CAM,3,4,3316,-1
veh4,3416,,3.42083,1,CAM,3,4,3416,-1
veh4,3465,3.46536,,0,CAM,4,,3465,-1
veh4,3495,,3.51433,1,CAM,2,4,3495,-1
veh4,3516,,3.51858,1,CAM,3,4,3516,-1
veh4,3616,,3.61858,1,CAM,3,4,3616,-1
veh4,3716,,3.71858,1,CAM,3,4,3716,-1
veh4,3765,3.76536,,0,CAM,4,,3765,-1
veh4,3795,,3.79608,1,CAM,2,4,3795,-1
veh4,3816,,3.81858,1,CAM,3,4,3816,-1
veh4,3865,3.86536,,0,CAM,4,,3865,-1
veh4,3916,,3.91858,1,CAM,3,4,3916,-1
veh4,3965,3.96536,,0,CAM,4,,3965,-1
veh4,4016,,4.01858,1,CAM,3,4,4016,-1
veh4,4065,4.06536,,0,CAM,4,,4065,-1
veh4,4095,,4.09608,1,CAM,2,4,4095,-1
veh4,4116,,4.11858,1,CAM,3,4,4116,-1
veh4,4165,4.16536,,0,CAM,4,,4165,-1
veh4,4216,,4.21858,1,CAM,3,4,4216,-1
veh4,4265,4.26536,,0,CAM,4,,4265,-1
veh4,4365,4.36536,,0,CAM,4,,4365,-1
veh4,4395,,4.41033,1,CAM,2,4,4395,-1
veh4,4465,4.46536,,0,CAM,4,,4465,-1
veh4,4565,4.56536,,0,CAM,4,,4565,-1
veh4,4695,,4.71033,1,CAM,2,4,4695,-1
veh4,4865,4.86536,,0,CAM,4,,4865,-1
veh4,4995,,5.01358,1,CAM,2,4,4995,-1
veh4,5165,5.16536,,0,CAM,4,,5165,-1
veh4,5216,,5.23383,1,CAM,3,4,5216,-1
veh4,5295,,5.31358,1,CAM,2,4,5295,-1
veh4,5465,5.46536,,0,CAM,4,,5465,-1
veh4,5595,,5.61358,1,CAM,2,4,5595,-1
veh4,5765,5.76536,,0,CAM,4,,5765,-1
veh4,5895,,5.91358,1,CAM,2,4,5895,-1
veh4,6065,6.06536,,0,CAM,4,,6065,-1
veh4,6195,,6.20458,1,CAM,2,4,6195,-1
veh4,6216,,6.22308,1,CAM,3,4,6216,-1
veh4,6316,,6.32308,1,CAM,3,4,6316,-1
veh4,6365,6.36536,,0,CAM,4,,6365,-1
veh4,6416,,6.42308,1,CAM,3,4,6416,-1
veh4,6495,,6.50458,1,CAM,2,4,6495,-1
veh4,6516,,6.52308,1,CAM,3,4,6516,-1
veh4,6616,,6.62208,1,CAM,3,4,6616,-1
veh4,6665,6.66536,,0,CAM,4,,6665,-1
veh4,6716,,6.72208,1,CAM,3,4,6716,-1
veh4,6795,,6.80458,1,CAM,2,4,6795,-1
veh4,6816,,6.82208,1,CAM,3,4,6816,-1
veh4,6916,,6.92208,1,CAM,3,4,6916,-1
veh4,6965,6.96536,,0,CAM,4,,6965,-1
veh4,7016,,7.02208,1,CAM,3,4,7016,-1
veh4,7095,,7.10058,1,CAM,2,4,7095,-1
veh4,7116,,7.12208,1,CAM,3,4,7116,-1
veh4,7265,7.26536,,0,CAM,4,,7265,-1
veh4,7395,,7.40058,1,CAM,2,4,7395,-1
veh4,7565,7.56536,,0,CAM,4,,7565,-1
veh4,7695,,7.70058,1,CAM,2,4,7695,-1
veh4,7865,7.86536,,0,CAM,4,,7865,-1
veh4,7995,,8.00058,1,CAM,2,4,7995,-1
veh4,8116,,8.12033,1,CAM,3,4,8116,-1
veh4,8165,8.16536,,0,CAM,4,,8165,-1
veh4,8295,,8.29783,1,CAM,2,4,8295,-1
veh4,8465,8.46536,,0,CAM,4,,8465,-1
veh4,8595,,8.59783,1,CAM,2,4,8595,-1
veh4,8765,8.76536,,0,CAM,4,,8765,-1
veh4,8895,,8.90983,1,CAM,2,4,8895,-1
veh4,9065,9.06536,,0,CAM,4,,9065,-1
veh4,9116,,9.12183,1,CAM,3,4,9116,-1
veh4,9195,,9.20983,1,CAM,2,4,9195,-1
veh4,9316,,9.32183,1,CAM,3,4,9316,-1
veh4,9365,9.36536,,0,CAM,4,,9365,-1
veh4,9495,,9.50983,1,CAM,2,4,9495,-1
veh4,9516,,9.52108,1,CAM,3,4,9516,-1
veh4,9665,9.66536,,0,CAM,4,,9665,-1
