time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db
2.0068,2,3,55.5012,-87.8897,33.3288
2.0068,2,4,136.4714,-88.4715,32.7470
2.1068,3,2,53.8195,-87.8899,33.3286
2.1068,3,4,81.5348,-83.8894,37.3290
2.1603,4,2,133.3000,-87.7701,33.4484
2.1603,4,3,81.3180,-83.9161,37.3024
2.3108,3,4,80.6227,nan,37.4320
2.3148,3,2,50.3902,-86.8763,34.3422
2.3186,2,3,50.4847,-86.8762,34.3423
2.3186,2,4,130.3615,-88.0949,33.1236
2.4068,3,2,48.8837,-85.8069,35.4115
2.4068,3,4,80.2471,-83.8138,37.4047
2.4603,4,2,127.2717,-87.9042,33.3143
2.4603,4,3,80.0354,-83.8138,37.4047
2.5068,3,2,47.2603,-85.8069,35.4115
2.5068,3,4,79.8173,-83.6822,37.5363
2.6108,3,4,79.3333,nan,37.5363
2.6148,3,2,45.5224,-84.9740,36.2445
2.6186,2,3,45.6432,-84.9739,36.2446
2.6186,2,4,124.3565,-87.6078,33.6107
2.7068,3,2,44.0656,-84.6840,36.5344
2.7068,3,4,78.9399,-83.5765,37.6420
2.7603,4,2,121.2620,-87.5089,33.7096
2.7603,4,3,78.7160,-83.5765,37.6420
2.8068,3,2,42.4802,-83.7751,37.4434
2.8068,3,4,78.5046,-83.5765,37.6420
2.9108,3,4,78.0066,nan,37.6420
2.9186,2,3,40.9049,-83.7750,37.4435
2.9186,2,4,118.3712,-87.3025,33.9160
3.0068,3,4,77.6203,-83.4694,37.7491
3.0603,4,2,115.2971,-86.9876,34.2309
3.0603,4,3,77.3911,-83.4694,37.7491
3.1068,3,2,38.0539,-82.4969,38.7216
3.1068,3,2,37.8138,-82.4969,38.7216
3.1068,3,4,77.1725,-83.4694,37.7491
3.2108,3,4,76.6773,nan,37.8731
3.3068,3,4,76.2913,-83.3608,37.8577
3.3603,4,2,109.3607,-86.6629,34.5556
3.3603,4,3,76.0537,-83.3608,37.8577
3.4068,3,2,33.4443,-81.1147,40.1038
3.4131,3,2,33.1064,-81.1147,40.1038
3.4131,3,4,75.8019,-83.2352,37.9833
3.5131,3,2,31.6033,-79.8643,41.3542
3.5131,3,4,75.3633,-83.2352,37.9833
3.6036,2,3,31.5768,-79.9760,41.2425
3.6036,2,4,106.0359,-86.3278,34.8907
3.6131,3,2,30.1096,-79.8643,41.3542
3.6131,3,4,74.9290,-83.2352,37.9833
3.6573,4,2,103.6237,-85.9818,35.2367
3.6573,4,3,74.7465,-83.1222,38.0963
3.7131,3,2,28.6275,-78.4176,42.8009
3.7131,3,4,74.5003,-83.1237,38.0948
3.7573,4,2,101.4543,-85.9818,35.2367
3.7573,4,3,74.0813,-83.1237,38.0948
3.8036,2,3,27.2980,-78.4175,42.8010
3.8036,2,4,100.0654,-85.9818,35.2367
3.8131,3,2,27.1555,-78.4176,42.8009
3.8131,3,4,73.2805,-83.1237,38.0948
3.8573,4,2,98.6441,-85.7297,35.4887
3.8573,4,3,72.7221,-83.1237,38.0948
3.9131,3,2,25.6945,-77.0618,44.1567
3.9131,3,4,71.9236,-83.1237,38.0948
3.9573,4,2,95.8458,-85.4441,35.7744
