time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
2006.5000,1,1,200,6,2,0,1,20,10,7,14,308,20,5,2,1,3,36,39
2018.2500,1,1,201,8,1,0,1,30,10,7,14,308,20,5,3,1,3,16,255
2106.5000,2,2,210,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2114.5000,2,2,211,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2160.0000,3,3,216,0,0,0,1,40,10,7,14,308,20,5,4,1,3,5,31
2170.0000,3,3,217,0,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
2306.5000,2,2,230,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2306.5000,1,1,230,6,2,0,1,20,10,7,14,308,20,5,2,1,3,36,39
2314.5000,2,2,231,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2318.2500,1,1,231,8,1,0,1,30,10,7,14,308,20,5,3,1,3,16,255
2406.5000,2,2,240,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2414.5000,2,2,241,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2460.0000,3,3,246,0,0,0,1,40,10,7,14,308,20,5,4,1,3,5,31
2470.0000,3,3,247,0,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
2506.5000,2,2,250,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2514.5000,2,2,251,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2606.5000,2,2,260,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2606.5000,1,1,260,6,2,0,1,20,10,7,14,308,20,5,2,1,3,36,39
2614.5000,2,2,261,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2618.2500,1,1,261,8,1,0,1,30,10,7,14,308,20,5,3,1,3,16,255
2706.5000,2,2,270,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2714.5000,2,2,271,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2760.0000,3,3,276,0,0,0,1,40,10,7,14,308,20,5,4,1,3,5,31
2770.0000,3,3,277,0,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
2806.5000,2,2,280,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2814.5000,2,2,281,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2906.5000,2,2,290,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
2906.5000,1,1,290,6,2,0,1,20,10,7,14,308,20,5,2,1,3,36,39
2914.5000,2,2,291,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
2918.2500,1,1,291,8,1,0,1,30,10,7,14,308,20,5,3,1,3,16,255
3006.5000,2,2,300,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
3014.5000,2,2,301,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
3060.0000,3,3,306,0,0,0,1,40,10,7,14,308,20,5,4,1,3,5,31
3070.0000,3,3,307,0,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
3106.5000,2,2,310,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
3114.5000,2,2,311,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
3206.5000,2,2,320,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
3206.5000,1,1,320,6,2,0,1,20,10,7,14,308,20,5,2,1,3,36,39
3214.5000,2,2,321,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
3218.2500,1,1,321,8,1,0,1,30,10,7,14,308,20,5,3,1,3,16,255
3306.5000,2,2,330,6,2,0,1,20,10,7,14,308,20,5,2,1,3,16,24
3314.5000,2,2,331,4,2,0,1,10,10,7,14,308,20,5,1,1,3,18,255
3360.0000,3,3,336,0,0,0,1,40,10,7,14,308,20,5,4,1,3,5,31
3370.0000,3,3,337,0,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
3412.7500,2,2,341,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3417.7500,2,2,341,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3503.2500,1,1,350,3,1,0,1,40,10,7,14,308,20,5,4,1,3,1,7
3511.0000,1,1,351,1,0,0,1,10,10,7,14,308,20,5,1,1,3,22,255
3512.7500,2,2,351,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3517.7500,2,2,351,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3612.7500,2,2,361,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3617.7500,2,2,361,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3657.0000,3,3,365,7,0,0,1,40,10,7,14,308,20,5,4,1,3,1,26
3666.7500,3,3,366,6,3,0,1,10,10,7,14,308,20,5,1,1,3,13,255
3712.7500,2,2,371,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3717.7500,2,2,371,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3757.0000,3,3,375,7,0,0,1,40,10,7,14,308,20,5,4,1,3,1,26
3766.7500,3,3,376,6,3,0,1,10,10,7,14,308,20,5,1,1,3,13,255
3803.2500,1,1,380,3,1,0,1,40,10,7,14,308,20,5,4,1,3,1,7
3811.0000,1,1,381,1,0,0,1,10,10,7,14,308,20,5,1,1,3,22,255
3812.7500,2,2,381,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3817.7500,2,2,381,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3857.0000,3,3,385,7,0,0,1,40,10,7,14,308,20,5,4,1,3,1,26
3866.7500,3,3,386,6,3,0,1,10,10,7,14,308,20,5,1,1,3,13,255
3912.7500,2,2,391,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
3917.7500,2,2,391,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
3957.0000,3,3,395,7,0,0,1,40,10,7,14,308,20,5,4,1,3,1,26
3966.7500,3,3,396,6,3,0,1,10,10,7,14,308,20,5,1,1,3,13,255
4012.7500,2,2,401,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
4017.7500,2,2,401,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
4057.0000,3,3,405,7,0,0,1,40,10,7,14,308,20,5,4,1,3,1,26
4066.7500,3,3,406,6,3,0,1,10,10,7,14,308,20,5,1,1,3,13,255
4103.2500,1,1,410,3,1,0,1,40,10,7,14,308,20,5,4,1,3,1,7
4111.0000,1,1,411,1,0,0,1,10,10,7,14,308,20,5,1,1,3,22,255
4112.7500,2,2,411,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
4117.7500,2,2,411,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
4173.5000,3,3,417,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,25
4184.2500,3,3,418,4,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
4212.7500,2,2,421,2,3,0,1,20,10,7,14,308,20,5,2,1,3,8,18
4217.7500,2,2,421,7,3,0,1,10,10,7,14,308,20,5,1,1,3,6,255
4273.5000,3,3,427,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,25
4284.2500,3,3,428,4,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
4304.5000,2,2,430,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4315.5000,2,2,431,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4373.5000,3,3,437,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,25
4384.2500,3,3,438,4,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
4403.2500,1,1,440,3,1,0,1,40,10,7,14,308,20,5,4,1,3,1,7
4404.5000,2,2,440,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4411.0000,1,1,441,1,0,0,1,10,10,7,14,308,20,5,1,1,3,22,255
4415.5000,2,2,441,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4504.5000,2,2,450,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4515.5000,2,2,451,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4604.5000,2,2,460,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4615.5000,2,2,461,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4673.5000,3,3,467,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,25
4684.2500,3,3,468,4,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
4704.5000,2,2,470,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4715.5000,2,2,471,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4721.7500,1,1,472,1,3,0,1,10,10,7,14,308,20,5,1,1,3,7,14
4731.2500,1,1,473,1,1,0,1,40,10,7,14,308,20,5,4,1,3,12,255
4804.5000,2,2,480,4,2,0,1,30,10,7,14,308,20,5,3,1,3,25,32
4815.5000,2,2,481,5,2,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4916.5000,2,2,491,6,2,0,1,0,10,7,14,308,20,5,0,1,3,12,29
4930.7500,2,2,493,0,3,0,1,0,10,7,14,308,20,5,0,1,3,17,255
4973.5000,3,3,497,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,25
4984.2500,3,3,498,4,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
