vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh4,742,0.742969,,0,CAM,4,,742
veh4,942,0.942969,,0,CAM,4,,942
veh4,1142,1.14297,,0,CAM,4,,1142
veh4,1342,1.34297,,0,CAM,4,,1342
veh4,1542,1.54297,,0,CAM,4,,1542
veh4,1742,1.74297,,0,CAM,4,,1742
veh4,1942,1.94297,,0,CAM,4,,1942
veh4,2142,2.14297,,0,CAM,4,,2142
veh4,2342,2.34297,,0,CAM,4,,2342
veh4,2882,,2.89208,1,CAM,10,4,2882
veh4,2931,,2.94383,1,CAM,11,4,2931
veh4,3082,,3.09958,1,CAM,10,4,3082
veh4,3142,3.14297,,0,CAM,4,,3142
veh4,3131,,3.14858,1,CAM,11,4,3131
veh4,3282,,3.29958,1,CAM,10,4,3282
veh4,3482,,3.49958,1,CAM,10,4,3482
veh4,3682,,3.69958,1,CAM,10,4,3682
veh4,3882,,3.89958,1,CAM,10,4,3882
veh4,3942,3.94297,,0,CAM,4,,3942
veh4,4082,,4.09958,1,CAM,10,4,4082
veh4,4282,,4.29958,1,CAM,10,4,4282
veh4,4482,,4.48408,1,CAM,10,4,4482
veh4,4682,,4.68408,1,CAM,10,4,4682
veh4,4742,4.74297,,0,CAM,4,,4742
veh4,4882,,4.88408,1,CAM,10,4,4882
veh4,5482,,5.48408,1,CAM,10,4,5482
veh4,5542,5.54297,,0,CAM,4,,5542
veh4,6082,,6.10283,1,CAM,10,4,6082
veh4,6169,,6.19983,1,CAM,2,4,6169
veh4,6269,,6.29983,1,CAM,2,4,6269
veh4,6342,6.34297,,0,CAM,4,,6342
veh4,6369,,6.39983,1,CAM,2,4,6369
veh4,6469,,6.49983,1,CAM,2,4,6469
veh4,6542,6.54297,,0,CAM,4,,6542
veh4,6569,,6.59983,1,CAM,2,4,6569
veh4,6642,6.64297,,0,CAM,4,,6642
veh4,6682,,6.69358,1,CAM,10,4,6682
veh4,6742,6.74297,,0,CAM,4,,6742
veh4,6769,,6.79983,1,CAM,2,4,6769
veh4,6842,6.84297,,0,CAM,4,,6842
veh4,6942,6.94297,,0,CAM,4,,6942
veh4,6969,,6.98858,1,CAM,2,4,6969
veh4,7042,7.04297,,0,CAM,4,,7042
veh4,7142,7.14297,,0,CAM,4,,7142
veh4,7169,,7.17108,1,CAM,2,4,7169
veh4,7242,7.24297,,0,CAM,4,,7242
veh4,7282,,7.29358,1,CAM,10,4,7282
veh4,7342,7.34297,,0,CAM,4,,7342
veh4,7369,,7.37108,1,CAM,2,4,7369
veh4,7442,7.44297,,0,CAM,4,,7442
veh4,7482,,7.49358,1,CAM,10,4,7482
veh4,7542,7.54297,,0,CAM,4,,7542
veh4,7425,,7.54833,1,CAM,16,4,7425
veh4,7569,,7.58058,1,CAM,2,4,7569
veh4,7582,,7.59358,1,CAM,10,4,7582
veh4,7642,7.64297,,0,CAM,4,,7642
veh4,7669,,7.68058,1,CAM,2,4,7669
veh4,7682,,7.69358,1,CAM,10,4,7682
veh4,7769,,7.78508,1,CAM,2,4,7769
veh4,7782,,7.80208,1,CAM,10,4,7782
veh4,7869,,7.89383,1,CAM,2,4,7869
veh4,7882,,7.90208,1,CAM,10,4,7882
veh4,7969,,7.99383,1,CAM,2,4,7969
veh4,7982,,8.00208,1,CAM,10,4,7982
veh4,7993,,8.00333,1,CAM,9,4,7993
veh4,8082,,8.10208,1,CAM,10,4,8082
veh4,8093,,8.10333,1,CAM,9,4,8093
veh4,8182,,8.20208,1,CAM,10,4,8182
veh4,8193,,8.20333,1,CAM,9,4,8193
veh4,8282,,8.30208,1,CAM,10,4,8282
veh4,8382,,8.40208,1,CAM,10,4,8382
veh4,8442,8.44297,,0,CAM,4,,8442
veh4,8469,,8.59383,1,CAM,2,4,8469
veh4,8793,,8.80758,1,CAM,9,4,8793
veh4,8982,,8.99258,1,CAM,10,4,8982
veh4,9242,9.24297,,0,CAM,4,,9242
veh4,9225,,9.34683,1,CAM,16,4,9225
veh4,9393,,9.50783,1,CAM,9,4,9393
veh4,9582,,9.58983,1,CAM,10,4,9582
veh4,10042,10.043,,0,CAM,4,,10042
veh4,9993,,10.0981,1,CAM,9,4,9993
veh4,10182,,10.1886,1,CAM,10,4,10182
veh4,10271,,10.3111,1,CAM,15,4,10271
veh4,10371,,10.4111,1,CAM,15,4,10371
veh4,10471,,10.5071,1,CAM,15,4,10471
veh4,10571,,10.6111,1,CAM,15,4,10571
veh4,10593,,10.6133,1,CAM,9,4,10593
veh4,10782,,10.7836,1,CAM,10,4,10782
veh4,10842,10.843,,0,CAM,4,,10842
veh4,10971,,10.9911,1,CAM,15,4,10971
veh4,11193,,11.2133,1,CAM,9,4,11193
veh4,11382,,11.3836,1,CAM,10,4,11382
veh4,11393,,11.4133,1,CAM,9,4,11393
veh4,11325,,11.4418,1,CAM,16,4,11325
veh4,11593,,11.6031,1,CAM,9,4,11593
veh4,11642,11.643,,0,CAM,4,,11642
veh4,11793,,11.8031,1,CAM,9,4,11793
veh4,11982,,11.9901,1,CAM,10,4,11982
veh4,11993,,12.0031,1,CAM,9,4,11993
veh4,12182,,12.1901,1,CAM,10,4,12182
veh4,12193,,12.2031,1,CAM,9,4,12193
veh4,12242,12.243,,0,CAM,4,,12242
veh4,12382,,12.3901,1,CAM,10,4,12382
veh4,12393,,12.4031,1,CAM,9,4,12393
veh4,12442,12.443,,0,CAM,4,,12442
veh4,12582,,12.5901,1,CAM,10,4,12582
veh4,12642,12.643,,0,CAM,4,,12642
veh4,12782,,12.7986,1,CAM,10,4,12782
veh4,12842,12.843,,0,CAM,4,,12842
veh4,12982,,12.9986,1,CAM,10,4,12982
veh4,12993,,13.0051,1,CAM,9,4,12993
veh4,13042,13.043,,0,CAM,4,,13042
veh4,13182,,13.1986,1,CAM,10,4,13182
veh4,13242,13.243,,0,CAM,4,,13242
veh4,13442,13.443,,0,CAM,4,,13442
veh4,13593,,13.6133,1,CAM,9,4,13593
veh4,13782,,13.7986,1,CAM,10,4,13782
veh4,14193,,14.2168,1,CAM,9,4,14193
veh4,14242,14.243,,0,CAM,4,,14242
veh4,14382,,14.4003,1,CAM,10,4,14382
veh4,14793,,14.8168,1,CAM,9,4,14793
veh4,14725,,14.8393,1,CAM,16,4,14725
veh4,14982,,14.9986,1,CAM,10,4,14982
veh4,15042,15.043,,0,CAM,4,,15042
veh4,15582,,15.5986,1,CAM,10,4,15582
