vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh19,4531,,4.54383,1,CAM,11,19,4531
veh19,4523,,4.55233,1,CAM,8,19,4523
veh19,4625,4.62534,,0,CAM,19,,4625
veh19,4624,,4.64783,1,CAM,5,19,4624
veh19,4674,,4.67808,1,CAM,13,19,4674
veh19,4679,,4.68283,1,CAM,12,19,4679
veh19,4731,,4.74383,1,CAM,11,19,4731
veh19,4723,,4.75233,1,CAM,8,19,4723
veh19,4741,,4.75608,1,CAM,6,19,4741
veh19,4825,4.82534,,0,CAM,19,,4825
veh19,4874,,4.87808,1,CAM,13,19,4874
veh19,4931,,4.94383,1,CAM,11,19,4931
veh19,4923,,4.95233,1,CAM,8,19,4923
veh19,4873,,5.00033,1,CAM,17,19,4873
veh19,5025,5.02534,,0,CAM,19,,5025
veh19,4925,,5.03708,1,CAM,16,19,4925
veh19,5024,,5.04783,1,CAM,5,19,5024
veh19,5074,,5.07808,1,CAM,13,19,5074
veh19,5073,,5.10033,1,CAM,17,19,5073
veh19,5094,,5.11433,1,CAM,1,19,5094
veh19,5125,,5.13708,1,CAM,16,19,5125
veh19,5123,,5.14833,1,CAM,8,19,5123
veh19,5131,,5.15908,1,CAM,11,19,5131
veh19,5225,5.22534,,0,CAM,19,,5225
veh19,5241,,5.25608,1,CAM,6,19,5241
veh19,5274,,5.27808,1,CAM,13,19,5274
veh19,5279,,5.30183,1,CAM,12,19,5279
veh19,5325,,5.33708,1,CAM,16,19,5325
veh19,5323,,5.34833,1,CAM,8,19,5323
veh19,5331,,5.35908,1,CAM,11,19,5331
veh19,5371,,5.39433,1,CAM,18,19,5371
veh19,5393,,5.41733,1,CAM,9,19,5393
veh19,5425,5.42534,,0,CAM,19,,5425
veh19,5424,,5.44783,1,CAM,5,19,5424
veh19,5523,,5.54833,1,CAM,8,19,5523
veh19,5531,,5.55908,1,CAM,11,19,5531
veh19,5625,5.62534,,0,CAM,19,,5625
veh19,5694,,5.71433,1,CAM,1,19,5694
veh19,5723,,5.74833,1,CAM,8,19,5723
veh19,5741,,5.75708,1,CAM,6,19,5741
veh19,5674,,5.79508,1,CAM,13,19,5674
veh19,5673,,5.80033,1,CAM,17,19,5673
veh19,5825,5.82534,,0,CAM,19,,5825
veh19,5824,,5.84358,1,CAM,5,19,5824
veh19,5879,,5.90183,1,CAM,12,19,5879
veh19,5923,,5.94833,1,CAM,8,19,5923
veh19,6025,6.02534,,0,CAM,19,,6025
veh19,6025,,6.03708,1,CAM,16,19,6025
veh19,6031,,6.05133,1,CAM,11,19,6031
veh19,6123,,6.14833,1,CAM,8,19,6123
veh19,6225,6.22534,,0,CAM,19,,6225
veh19,6224,,6.24358,1,CAM,5,19,6224
veh19,6241,,6.25708,1,CAM,6,19,6241
veh19,6294,,6.31308,1,CAM,1,19,6294
veh19,6323,,6.34833,1,CAM,8,19,6323
veh19,6374,,6.39333,1,CAM,13,19,6374
veh19,6393,,6.41933,1,CAM,9,19,6393
veh19,6406,,6.42058,1,CAM,3,19,6406
veh19,6425,6.42534,,0,CAM,19,,6425
veh19,6479,,6.49933,1,CAM,12,19,6479
veh19,6531,,6.54958,1,CAM,11,19,6531
veh19,6523,,6.55308,1,CAM,8,19,6523
veh19,6625,6.62534,,0,CAM,19,,6625
veh19,6624,,6.64358,1,CAM,5,19,6624
veh19,6723,,6.75308,1,CAM,8,19,6723
veh19,6725,,6.75483,1,CAM,16,19,6725
veh19,6741,,6.77233,1,CAM,6,19,6741
veh19,6825,6.82534,,0,CAM,19,,6825
veh19,6874,,6.89333,1,CAM,13,19,6874
veh19,6894,,6.91308,1,CAM,1,19,6894
veh19,6923,,6.95308,1,CAM,8,19,6923
veh19,6873,,6.99508,1,CAM,17,19,6873
veh19,7006,,7.02058,1,CAM,3,19,7006
veh19,7025,7.02534,,0,CAM,19,,7025
veh19,7024,,7.04483,1,CAM,5,19,7024
veh19,7031,,7.04958,1,CAM,11,19,7031
veh19,7073,,7.09508,1,CAM,17,19,7073
veh19,6971,,7.09633,1,CAM,18,19,6971
veh19,7079,,7.09933,1,CAM,12,19,7079
veh19,7123,,7.15308,1,CAM,8,19,7123
veh19,7225,7.22534,,0,CAM,19,,7225
veh19,7241,,7.27233,1,CAM,6,19,7241
veh19,7323,,7.35308,1,CAM,8,19,7323
veh19,7374,,7.39333,1,CAM,13,19,7374
veh19,7393,,7.40333,1,CAM,9,19,7393
veh19,7424,,7.44483,1,CAM,5,19,7424
veh19,7494,,7.50983,1,CAM,1,19,7494
veh19,7531,,7.55058,1,CAM,11,19,7531
veh19,7606,,7.61758,1,CAM,3,19,7606
veh19,7679,,7.68758,1,CAM,12,19,7679
veh19,7741,,7.77233,1,CAM,6,19,7741
veh19,7673,,7.79508,1,CAM,17,19,7673
veh19,7825,7.82534,,0,CAM,19,,7825
veh19,7824,,7.84483,1,CAM,5,19,7824
veh19,7874,,7.89408,1,CAM,13,19,7874
veh19,7873,,7.89508,1,CAM,17,19,7873
veh19,7893,,7.90333,1,CAM,9,19,7893
veh19,8031,,8.05058,1,CAM,11,19,8031
veh19,7982,,8.10208,1,CAM,10,19,7982
veh19,8093,,8.10333,1,CAM,9,19,8093
veh19,8094,,8.11283,1,CAM,1,19,8094
veh19,8125,,8.16833,1,CAM,16,19,8125
veh19,8173,,8.19733,1,CAM,17,19,8173
veh19,8224,,8.24483,1,CAM,5,19,8224
veh19,8241,,8.25508,1,CAM,6,19,8241
veh19,8293,,8.30758,1,CAM,9,19,8293
veh19,8374,,8.39408,1,CAM,13,19,8374
veh19,8425,8.42534,,0,CAM,19,,8425
veh19,8473,,8.49733,1,CAM,17,19,8473
veh19,8531,,8.54633,1,CAM,11,19,8531
veh19,8574,,8.58933,1,CAM,13,19,8574
veh19,8573,,8.59733,1,CAM,17,19,8573
veh19,8493,,8.60758,1,CAM,9,19,8493
veh19,8624,,8.64483,1,CAM,5,19,8624
veh19,8631,,8.64633,1,CAM,11,19,8631
veh19,8673,,8.69733,1,CAM,17,19,8673
veh19,8693,,8.70758,1,CAM,9,19,8693
veh19,8694,,8.71283,1,CAM,1,19,8694
veh19,8731,,8.74633,1,CAM,11,19,8731
veh19,8741,,8.75508,1,CAM,6,19,8741
veh19,8774,,8.78933,1,CAM,13,19,8774
veh19,8773,,8.79733,1,CAM,17,19,8773
veh19,8831,,8.84633,1,CAM,11,19,8831
veh19,8873,,8.89733,1,CAM,17,19,8873
veh19,8893,,8.90758,1,CAM,9,19,8893
veh19,8931,,8.94633,1,CAM,11,19,8931
veh19,8974,,8.98933,1,CAM,13,19,8974
veh19,8973,,8.99733,1,CAM,17,19,8973
veh19,9025,9.02534,,0,CAM,19,,9025
veh19,9024,,9.03033,1,CAM,5,19,9024
veh19,9031,,9.04633,1,CAM,11,19,9031
veh19,8925,,9.04683,1,CAM,16,19,8925
veh19,9073,,9.09733,1,CAM,17,19,9073
veh19,9093,,9.10783,1,CAM,9,19,9093
veh19,9131,,9.14633,1,CAM,11,19,9131
veh19,9174,,9.18933,1,CAM,13,19,9174
veh19,9173,,9.19733,1,CAM,17,19,9173
veh19,9231,,9.24633,1,CAM,11,19,9231
veh19,9241,,9.25508,1,CAM,6,19,9241
veh19,9273,,9.29733,1,CAM,17,19,9273
veh19,9294,,9.30658,1,CAM,1,19,9294
veh19,9293,,9.30783,1,CAM,9,19,9293
veh19,9374,,9.39133,1,CAM,13,19,9374
veh19,9373,,9.39733,1,CAM,17,19,9373
veh19,9424,,9.43033,1,CAM,5,19,9424
veh19,9325,,9.44733,1,CAM,16,19,9325
veh19,9425,,9.44733,1,CAM,16,19,9425
veh19,9493,,9.50783,1,CAM,9,19,9493
veh19,9525,,9.54733,1,CAM,16,19,9525
veh19,9574,,9.59133,1,CAM,13,19,9574
veh19,9625,9.62534,,0,CAM,19,,9625
veh19,9625,,9.64733,1,CAM,16,19,9625
veh19,9693,,9.70783,1,CAM,9,19,9693
veh19,9725,,9.74733,1,CAM,16,19,9725
veh19,9741,,9.76058,1,CAM,6,19,9741
veh19,9774,,9.79133,1,CAM,13,19,9774
veh19,9793,,9.80783,1,CAM,9,19,9793
veh19,9824,,9.82933,1,CAM,5,19,9824
veh19,9825,,9.84733,1,CAM,16,19,9825
veh19,9894,,9.90358,1,CAM,1,19,9894
veh19,9893,,9.90783,1,CAM,9,19,9893
veh19,9974,,9.99133,1,CAM,13,19,9974
veh19,9993,,10.0078,1,CAM,9,19,9993
veh19,9971,,10.0911,1,CAM,18,19,9971
veh19,10093,,10.1201,1,CAM,9,19,10093
veh19,10079,,10.1446,1,CAM,12,19,10079
veh19,10131,,10.1476,1,CAM,11,19,10131
