run_id,tech,vehicle_id,sent,received,prr,msg_type
txPower_14,nrv2x,10,1356,1304,0.9616519174041298,CAM
txPower_14,nrv2x,19,1385,1174,0.8476534296028881,CAM
txPower_10,nrv2x,6,1371,1302,0.949671772428884,CAM
txPower_-10,nrv2x,4,1364,505,0.37023460410557185,CAM
txPower_18,nrv2x,6,1371,1320,0.962800875273523,CAM
txPower_-10,nrv2x,13,1330,212,0.1593984962406015,CAM
txPower_0,nrv2x,5,1355,1071,0.7904059040590405,CAM
txPower_-20,nrv2x,1,1506,147,0.09760956175298804,CAM
txPower_-20,nrv2x,10,1483,197,0.13283884018880648,CAM
txPower_14,nrv2x,3,1377,1296,0.9411764705882353,CAM
txPower_-20,nrv2x,19,1516,98,0.06464379947229551,CAM
txPower_14,nrv2x,12,1382,1312,0.9493487698986975,CAM
txPower_23,nrv2x,18,1331,1181,0.8873027798647634,CAM
txPower_10,nrv2x,8,1309,1191,0.9098548510313216,CAM
txPower_-10,nrv2x,6,1372,487,0.35495626822157433,CAM
txPower_18,nrv2x,8,1309,1252,0.9564553093964858,CAM
txPower_10,nrv2x,17,1364,1198,0.8782991202346041,CAM
txPower_-20,nrv2x,3,1504,104,0.06914893617021277,CAM
txPower_6,nrv2x,13,1329,1086,0.8171557562076749,CAM
txPower_-20,nrv2x,12,1509,126,0.08349900596421471,CAM
txPower_14,nrv2x,5,1355,1300,0.959409594095941,CAM
txPower_14,nrv2x,14,1351,1212,0.8971132494448557,CAM
txPower_0,nrv2x,19,1385,716,0.5169675090252708,CAM
txPower_23,nrv2x,11,1373,1320,0.9613983976693372,CAM
txPower_10,nrv2x,1,1379,1121,0.8129079042784626,CAM
txPower_18,nrv2x,1,1379,1214,0.8803480783176215,CAM
txPower_10,nrv2x,10,1356,1296,0.9557522123893806,CAM
txPower_-10,nrv2x,8,1310,204,0.15572519083969466,CAM
txPower_10,nrv2x,19,1385,1131,0.8166064981949458,CAM
txPower_-10,nrv2x,17,1365,458,0.3355311355311355,CAM
txPower_6,nrv2x,6,1371,1237,0.9022611232676878,CAM
txPower_-20,nrv2x,5,1463,87,0.059466848940533154,CAM
txPower_-20,nrv2x,14,1478,65,0.04397834912043302,CAM
txPower_23,nrv2x,4,1362,1308,0.960352422907489,CAM
txPower_14,nrv2x,16,1334,1219,0.9137931034482759,CAM
txPower_23,nrv2x,13,1329,1243,0.9352896914973664,CAM
txPower_10,nrv2x,3,1377,1289,0.9360929557007989,CAM
txPower_-10,nrv2x,1,1380,401,0.29057971014492756,CAM
txPower_10,nrv2x,12,1382,1298,0.9392185238784371,CAM
txPower_-10,nrv2x,10,1357,531,0.391304347826087,CAM
txPower_-10,nrv2x,19,1386,223,0.1608946608946609,CAM
txPower_6,nrv2x,8,1309,1045,0.7983193277310925,CAM
txPower_6,nrv2x,17,1364,1147,0.8409090909090909,CAM
txPower_14,nrv2x,9,1358,1307,0.9624447717231223,CAM
txPower_0,nrv2x,14,1351,830,0.6143597335307179,CAM
txPower_23,nrv2x,6,1371,1320,0.962800875273523,CAM
txPower_14,nrv2x,18,1331,1109,0.8332081141998497,CAM
txPower_10,nrv2x,5,1355,1277,0.9424354243542435,CAM
txPower_-10,nrv2x,3,1378,347,0.25181422351233673,CAM
txPower_-10,nrv2x,12,1383,534,0.38611713665943603,CAM
txPower_6,nrv2x,1,1379,1093,0.7926033357505439,CAM
txPower_18,nrv2x,17,1364,1218,0.8929618768328446,CAM
txPower_6,nrv2x,10,1356,1268,0.9351032448377581,CAM
txPower_14,nrv2x,2,1260,1166,0.9253968253968254,CAM
txPower_6,nrv2x,19,1385,1026,0.7407942238267148,CAM
txPower_14,nrv2x,11,1373,1308,0.9526584122359796,CAM
txPower_0,nrv2x,16,1334,805,0.603448275862069,CAM
