run_id,tech,vehicle_id,reaction_delay_s
txPower_-10,nrv2x,1.0,
txPower_-10,nrv2x,3.0,14.4733
txPower_-10,nrv2x,14.0,10.9903
txPower_-10,nrv2x,13.0,13.1226
txPower_-10,nrv2x,19.0,
txPower_-10,nrv2x,6.0,2.17933
txPower_-10,nrv2x,18.0,3.98983
txPower_-10,nrv2x,12.0,2.17933
txPower_-10,nrv2x,17.0,4.08983
txPower_-10,nrv2x,4.0,2.19058
txPower_-10,nrv2x,10.0,2.19058
txPower_-10,nrv2x,16.0,2.69058
txPower_-10,nrv2x,9.0,2.17933
txPower_-10,nrv2x,8.0,9.99208
txPower_-10,nrv2x,5.0,2.19058
txPower_-10,nrv2x,11.0,2.79058
txPower_-20,nrv2x,1.0,
txPower_-20,nrv2x,13.0,
txPower_-20,nrv2x,19.0,
txPower_-20,nrv2x,18.0,4.08983
txPower_-20,nrv2x,6.0,2.18233
txPower_-20,nrv2x,12.0,
txPower_-20,nrv2x,10.0,5.89983
txPower_-20,nrv2x,8.0,13.0826
txPower_-20,nrv2x,4.0,6.19983
txPower_-20,nrv2x,5.0,24.9978
txPower_-20,nrv2x,16.0,6.39983
txPower_-20,nrv2x,9.0,
txPower_-20,nrv2x,15.0,
txPower_-20,nrv2x,11.0,14.1733
txPower_-20,nrv2x,17.0,13.0826
txPower_-20,nrv2x,3.0,18.0943
txPower_-20,nrv2x,14.0,14.8883
txPower_0,nrv2x,1.0,
txPower_0,nrv2x,3.0,9.79208
txPower_0,nrv2x,6.0,2.17933
txPower_0,nrv2x,4.0,2.17933
txPower_0,nrv2x,9.0,2.17933
txPower_0,nrv2x,5.0,2.17933
txPower_0,nrv2x,8.0,2.19058
txPower_0,nrv2x,12.0,2.17933
txPower_0,nrv2x,14.0,2.79058
txPower_0,nrv2x,13.0,2.79058
txPower_0,nrv2x,17.0,3.98383
txPower_0,nrv2x,18.0,3.98383
txPower_0,nrv2x,19.0,13.1826
txPower_0,nrv2x,11.0,2.17933
txPower_0,nrv2x,10.0,2.17933
txPower_0,nrv2x,16.0,2.77933
txPower_10,nrv2x,1.0,
txPower_10,nrv2x,3.0,2.17933
txPower_10,nrv2x,5.0,2.17933
txPower_10,nrv2x,6.0,2.17933
txPower_10,nrv2x,4.0,2.17933
txPower_10,nrv2x,9.0,2.17933
txPower_10,nrv2x,8.0,2.17933
txPower_10,nrv2x,12.0,2.17933
txPower_10,nrv2x,14.0,2.77933
txPower_10,nrv2x,10.0,2.17933
txPower_10,nrv2x,11.0,2.17933
txPower_10,nrv2x,16.0,2.77933
txPower_10,nrv2x,13.0,2.77933
txPower_10,nrv2x,17.0,3.98383
txPower_10,nrv2x,18.0,3.98383
txPower_10,nrv2x,19.0,4.57658
txPower_14,nrv2x,1.0,3.58983
txPower_14,nrv2x,3.0,2.17933
txPower_14,nrv2x,5.0,2.17933
txPower_14,nrv2x,6.0,2.17933
txPower_14,nrv2x,4.0,2.17933
txPower_14,nrv2x,9.0,2.17933
txPower_14,nrv2x,8.0,2.17933
txPower_14,nrv2x,12.0,2.17933
txPower_14,nrv2x,14.0,2.77933
txPower_14,nrv2x,10.0,2.17933
txPower_14,nrv2x,16.0,2.77933
txPower_14,nrv2x,11.0,2.17933
txPower_14,nrv2x,13.0,2.77933
txPower_14,nrv2x,17.0,3.98383
txPower_14,nrv2x,18.0,3.98383
txPower_14,nrv2x,19.0,4.57658
txPower_18,nrv2x,1.0,2.19058
txPower_18,nrv2x,3.0,2.17933
txPower_18,nrv2x,5.0,2.17933
txPower_18,nrv2x,6.0,2.17933
txPower_18,nrv2x,4.0,2.17933
txPower_18,nrv2x,9.0,2.17933
txPower_18,nrv2x,8.0,2.17933
txPower_18,nrv2x,12.0,2.17933
txPower_18,nrv2x,14.0,2.77933
txPower_18,nrv2x,10.0,2.17933
txPower_18,nrv2x,16.0,2.77933
txPower_18,nrv2x,11.0,2.17933
txPower_18,nrv2x,13.0,2.77933
txPower_18,nrv2x,17.0,3.98383
txPower_18,nrv2x,18.0,3.98383
txPower_18,nrv2x,19.0,4.57658
txPower_23,nrv2x,1.0,2.19058
txPower_23,nrv2x,3.0,2.17933
txPower_23,nrv2x,5.0,2.17933
txPower_23,nrv2x,6.0,2.17933
txPower_23,nrv2x,4.0,2.17933
txPower_23,nrv2x,9.0,2.17933
txPower_23,nrv2x,8.0,2.17933
txPower_23,nrv2x,12.0,2.17933
txPower_23,nrv2x,14.0,2.77933
txPower_23,nrv2x,10.0,2.17933
txPower_23,nrv2x,16.0,2.77933
txPower_23,nrv2x,11.0,2.17933
txPower_23,nrv2x,13.0,2.77933
txPower_23,nrv2x,17.0,3.98383
txPower_23,nrv2x,18.0,3.98383
txPower_23,nrv2x,19.0,4.57658
txPower_6,nrv2x,1.0,
txPower_6,nrv2x,3.0,2.19058
txPower_6,nrv2x,5.0,2.17933
txPower_6,nrv2x,6.0,2.17933
txPower_6,nrv2x,4.0,2.17933
txPower_6,nrv2x,9.0,2.17933
txPower_6,nrv2x,8.0,2.17933
txPower_6,nrv2x,12.0,2.17933
txPower_6,nrv2x,14.0,2.77933
txPower_6,nrv2x,10.0,2.17933
txPower_6,nrv2x,16.0,2.77933
txPower_6,nrv2x,11.0,2.17933
txPower_6,nrv2x,13.0,2.77933
txPower_6,nrv2x,17.0,3.98383
txPower_6,nrv2x,18.0,3.98383
txPower_6,nrv2x,19.0,4.68308
