time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.2748,veh3,CAM,4,37.3463,nan,nan,-83.8722,120.0000,80.8784,1
2.2981,veh3,CAM,2,34.7491,nan,nan,-86.4694,120.0000,51.3648,1
2.5748,veh3,CAM,4,37.4563,nan,nan,-83.7622,120.0000,79.5806,1
2.5981,veh3,CAM,2,36.0443,nan,nan,-85.1742,120.0000,46.5234,1
2.8748,veh3,CAM,4,37.7165,nan,nan,-83.5020,120.0000,78.2524,1
2.9143,veh3,CAM,2,37.3812,nan,nan,-83.8373,120.0000,41.7149,1
3.1748,veh3,CAM,4,37.8467,nan,nan,-83.3718,120.0000,76.9035,1
3.2143,veh3,CAM,2,38.8434,nan,nan,-82.3751,120.0000,37.2039,1
3.4748,veh3,CAM,4,37.9659,nan,nan,-83.2526,120.0000,75.5896,1
3.5143,veh3,CAM,2,41.4445,nan,nan,-79.7740,120.0000,32.8276,1
3.7676,veh3,CAM,4,38.0821,nan,nan,-83.1364,120.0000,74.1155,1
3.7961,veh3,CAM,2,42.7744,nan,nan,-78.4441,120.0000,28.6853,1
3.8676,veh3,CAM,4,38.0870,nan,nan,-83.1315,120.0000,72.7550,1
3.9676,veh3,CAM,4,38.5081,nan,nan,-82.7104,120.0000,71.3954,1
4.0676,veh3,CAM,4,38.5081,nan,nan,-82.7104,120.0000,70.0364,1
4.0961,veh3,CAM,2,44.8746,nan,nan,-76.3439,120.0000,24.7239,1
4.1688,veh3,CAM,4,38.5081,nan,nan,-82.7104,120.0000,68.6888,1
4.2688,veh3,CAM,4,38.9272,nan,nan,-82.2913,120.0000,67.3303,1
4.3688,veh3,CAM,4,38.9272,nan,nan,-82.2913,120.0000,65.9722,1
4.4103,veh3,CAM,2,46.4243,nan,nan,-74.7941,120.0000,20.8945,1
4.4688,veh3,CAM,4,39.3653,nan,nan,-81.8532,120.0000,64.6144,1
4.5688,veh3,CAM,4,39.3653,nan,nan,-81.8532,120.0000,63.2685,1
4.7103,veh3,CAM,2,49.1905,nan,nan,-72.0280,120.0000,17.4159,1
4.8688,veh3,CAM,4,39.8237,nan,nan,-81.3948,120.0000,59.1985,1
5.0136,veh3,CAM,2,52.5104,nan,nan,-68.7081,120.0000,13.5877,1
5.1688,veh3,CAM,4,40.3379,nan,nan,-80.8806,120.0000,55.1437,1
5.3136,veh3,CAM,2,55.4734,nan,nan,-65.7451,120.0000,10.4204,1
5.4688,veh3,CAM,4,41.4009,nan,nan,-79.8175,120.0000,51.0947,1
5.6136,veh3,CAM,2,55.8155,nan,nan,-65.4030,120.0000,9.1540,1
5.7813,veh3,CAM,4,41.9840,nan,nan,-79.2344,120.0000,47.0405,1
5.9136,veh3,CAM,2,53.8234,nan,nan,-67.3950,120.0000,10.4969,1
6.0813,veh3,CAM,4,42.6032,nan,nan,-78.6153,120.0000,43.0065,1
6.2046,veh3,CAM,2,53.6815,nan,nan,-67.5370,120.0000,13.0543,1
6.3813,veh3,CAM,4,43.3911,nan,nan,-77.8274,120.0000,38.9907,1
6.5046,veh3,CAM,2,51.9007,nan,nan,-69.3178,120.0000,16.6481,1
6.6786,veh3,CAM,4,44.0599,nan,nan,-77.1586,120.0000,35.0289,1
6.8046,veh3,CAM,2,50.1275,nan,nan,-71.0910,120.0000,20.7264,1
