vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh2,1095,1.09535,,0,CAM,2,,1095,-1
veh2,1395,1.39535,,0,CAM,2,,1395,-1
veh2,1695,1.69535,,0,CAM,2,,1695,-1
veh2,1995,1.99535,,0,CAM,2,,1995,-1
veh2,2116,,2.12083,1,CAM,3,2,2116,-1
veh2,2265,,2.27483,1,CAM,4,2,2265,-1
veh2,2295,2.29535,,0,CAM,2,,2295,-1
veh2,2316,,2.32083,1,CAM,3,2,2316,-1
veh2,2416,,2.42083,1,CAM,3,2,2416,-1
veh2,2516,,2.52083,1,CAM,3,2,2516,-1
veh2,2565,,2.57483,1,CAM,4,2,2565,-1
veh2,2595,2.59535,,0,CAM,2,,2595,-1
veh2,2616,,2.62083,1,CAM,3,2,2616,-1
veh2,2716,,2.72083,1,CAM,3,2,2716,-1
veh2,2816,,2.82083,1,CAM,3,2,2816,-1
veh2,2865,,2.87483,1,CAM,4,2,2865,-1
veh2,2895,2.89535,,0,CAM,2,,2895,-1
veh2,2916,,2.92083,1,CAM,3,2,2916,-1
veh2,3016,,3.02083,1,CAM,3,2,3016,-1
veh2,3116,,3.12083,1,CAM,3,2,3116,-1
veh2,3165,,3.17483,1,CAM,4,2,3165,-1
veh2,3195,3.19535,,0,CAM,2,,3195,-1
veh2,3216,,3.22083,1,CAM,3,2,3216,-1
veh2,3316,,3.32083,1,CAM,3,2,3316,-1
veh2,3416,,3.42083,1,CAM,3,2,3416,-1
veh2,3465,,3.47483,1,CAM,4,2,3465,-1
veh2,3495,3.49535,,0,CAM,2,,3495,-1
veh2,3516,,3.51858,1,CAM,3,2,3516,-1
veh2,3616,,3.61858,1,CAM,3,2,3616,-1
veh2,3716,,3.71858,1,CAM,3,2,3716,-1
veh2,3765,,3.76758,1,CAM,4,2,3765,-1
veh2,3795,3.79535,,0,CAM,2,,3795,-1
veh2,3816,,3.81858,1,CAM,3,2,3816,-1
veh2,3865,,3.86758,1,CAM,4,2,3865,-1
veh2,3916,,3.91858,1,CAM,3,2,3916,-1
veh2,3965,,3.96758,1,CAM,4,2,3965,-1
veh2,4016,,4.01858,1,CAM,3,2,4016,-1
veh2,4065,,4.06758,1,CAM,4,2,4065,-1
veh2,4095,4.09535,,0,CAM,2,,4095,-1
veh2,4116,,4.11858,1,CAM,3,2,4116,-1
veh2,4165,,4.16883,1,CAM,4,2,4165,-1
veh2,4216,,4.21858,1,CAM,3,2,4216,-1
veh2,4265,,4.26883,1,CAM,4,2,4265,-1
veh2,4365,,4.36883,1,CAM,4,2,4365,-1
veh2,4395,4.39535,,0,CAM,2,,4395,-1
veh2,4465,,4.46883,1,CAM,4,2,4465,-1
veh2,4565,,4.56883,1,CAM,4,2,4565,-1
veh2,4695,4.69535,,0,CAM,2,,4695,-1
veh2,4865,,4.86883,1,CAM,4,2,4865,-1
veh2,4995,4.99535,,0,CAM,2,,4995,-1
veh2,5165,,5.16883,1,CAM,4,2,5165,-1
veh2,5216,,5.23383,1,CAM,3,2,5216,-1
veh2,5295,5.29535,,0,CAM,2,,5295,-1
veh2,5465,,5.46883,1,CAM,4,2,5465,-1
veh2,5595,5.59535,,0,CAM,2,,5595,-1
veh2,5765,,5.78133,1,CAM,4,2,5765,-1
veh2,5895,5.89535,,0,CAM,2,,5895,-1
veh2,6065,,6.08133,1,CAM,4,2,6065,-1
veh2,6195,6.19535,,0,CAM,2,,6195,-1
veh2,6216,,6.22308,1,CAM,3,2,6216,-1
veh2,6316,,6.32308,1,CAM,3,2,6316,-1
veh2,6365,,6.38133,1,CAM,4,2,6365,-1
veh2,6416,,6.42308,1,CAM,3,2,6416,-1
veh2,6495,6.49535,,0,CAM,2,,6495,-1
veh2,6516,,6.52308,1,CAM,3,2,6516,-1
veh2,6616,,6.62208,1,CAM,3,2,6616,-1
veh2,6665,,6.67858,1,CAM,4,2,6665,-1
veh2,6716,,6.72208,1,CAM,3,2,6716,-1
veh2,6795,6.79535,,0,CAM,2,,6795,-1
veh2,6816,,6.82208,1,CAM,3,2,6816,-1
veh2,6916,,6.92208,1,CAM,3,2,6916,-1
veh2,6965,,6.97858,1,CAM,4,2,6965,-1
veh2,7016,,7.02208,1,CAM,3,2,7016,-1
veh2,7095,7.09535,,0,CAM,2,,7095,-1
veh2,7116,,7.12208,1,CAM,3,2,7116,-1
veh2,7265,,7.27858,1,CAM,4,2,7265,-1
veh2,7395,7.39535,,0,CAM,2,,7395,-1
veh2,7565,,7.56808,1,CAM,4,2,7565,-1
veh2,7695,7.69535,,0,CAM,2,,7695,-1
veh2,7865,,7.86808,1,CAM,4,2,7865,-1
veh2,7995,7.99535,,0,CAM,2,,7995,-1
veh2,8116,,8.12033,1,CAM,3,2,8116,-1
veh2,8165,,8.16808,1,CAM,4,2,8165,-1
veh2,8295,8.29535,,0,CAM,2,,8295,-1
veh2,8465,,8.48558,1,CAM,4,2,8465,-1
veh2,8595,8.59535,,0,CAM,2,,8595,-1
veh2,8765,,8.78558,1,CAM,4,2,8765,-1
veh2,8895,8.89535,,0,CAM,2,,8895,-1
veh2,9065,,9.08258,1,CAM,4,2,9065,-1
veh2,9116,,9.12183,1,CAM,3,2,9116,-1
veh2,9195,9.19535,,0,CAM,2,,9195,-1
veh2,9316,,9.32183,1,CAM,3,2,9316,-1
veh2,9365,,9.38258,1,CAM,4,2,9365,-1
veh2,9495,9.49535,,0,CAM,2,,9495,-1
veh2,9665,,9.68258,1,CAM,4,2,9665,-1
veh2,9795,9.79535,,0,CAM,2,,9795,-1
veh2,9716,,9.82108,1,CAM,3,2,9716,-1
veh2,9916,,9.92108,1,CAM,3,2,9916,-1
veh2,9965,,9.98258,1,CAM,4,2,9965,-1
