time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
2003.2500,2,2,200,3,1,0,1,30,10,7,14,308,20,5,3,1,3,2,15
2003.7500,3,3,200,3,3,0,1,40,10,7,14,308,20,5,4,1,3,21,44
2007.7500,1,1,200,7,3,0,1,10,10,7,14,308,20,5,1,1,3,10,11
2008.0000,2,2,200,8,0,0,1,10,10,7,14,308,20,5,1,1,3,46,255
2013.5000,1,1,201,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,255
2015.5000,5,5,201,5,2,0,1,0,10,7,14,308,20,5,0,1,3,9,20
2016.0000,3,3,201,6,0,0,1,20,10,7,14,308,20,5,2,1,3,13,255
2030.7500,5,5,203,0,3,0,1,20,10,7,14,308,20,5,2,1,3,16,255
2100.0000,4,4,210,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
2103.2500,2,2,210,3,1,0,1,30,10,7,14,308,20,5,3,1,3,2,15
2103.7500,3,3,210,3,3,0,1,40,10,7,14,308,20,5,4,1,3,21,44
2108.0000,2,2,210,8,0,0,1,10,10,7,14,308,20,5,1,1,3,46,255
2109.5000,4,4,210,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
2116.0000,3,3,211,6,0,0,1,20,10,7,14,308,20,5,2,1,3,13,255
2163.2500,6,6,216,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
2169.0000,6,6,216,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
2200.0000,4,4,220,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
2203.2500,2,2,220,3,1,0,1,30,10,7,14,308,20,5,3,1,3,2,15
2203.7500,3,3,220,3,3,0,1,40,10,7,14,308,20,5,4,1,3,21,44
2207.7500,1,1,220,7,3,0,1,10,10,7,14,308,20,5,1,1,3,10,11
2208.0000,2,2,220,8,0,0,1,10,10,7,14,308,20,5,1,1,3,46,255
2209.5000,4,4,220,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
2213.5000,1,1,221,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,255
2215.5000,5,5,221,5,2,0,1,0,10,7,14,308,20,5,0,1,3,9,20
2216.0000,3,3,221,6,0,0,1,20,10,7,14,308,20,5,2,1,3,13,255
2230.7500,5,5,223,0,3,0,1,20,10,7,14,308,20,5,2,1,3,16,255
2300.0000,4,4,230,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
2303.2500,2,2,230,3,1,0,1,30,10,7,14,308,20,5,3,1,3,2,15
2303.7500,3,3,230,3,3,0,1,40,10,7,14,308,20,5,4,1,3,21,44
2308.0000,2,2,230,8,0,0,1,10,10,7,14,308,20,5,1,1,3,46,255
