time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,subchannel_size,rb_start,rb_len,harq_id,ndi,rv,src_l2_id,dst_l2_id,csi_req,cast_type,resource_reselection_counter,c_reselection_counter
2003.2500,2,2,200,3,1,1,12,10,30,10,0,1,0,2,255,0,0,41,410
2003.7500,2,2,200,3,3,1,12,10,10,10,0,0,2,2,255,0,0,41,410
2003.7500,3,3,200,3,3,1,12,10,40,10,0,1,0,3,255,0,0,70,700
2007.0000,2,2,200,7,0,1,12,10,10,10,0,0,3,2,255,0,0,41,410
2007.7500,1,1,200,7,3,1,12,10,10,10,0,1,0,1,255,0,0,66,660
2008.0000,2,2,200,8,0,1,12,10,10,10,0,0,1,2,255,0,0,41,410
2009.0000,3,3,200,9,0,1,12,10,20,10,0,0,2,3,255,0,0,70,700
2010.2500,1,1,201,0,1,1,12,10,20,10,0,0,2,1,255,0,0,66,660
2010.5000,1,1,201,0,2,1,12,10,40,10,0,0,3,1,255,0,0,66,660
2013.5000,1,1,201,3,2,1,12,10,10,10,0,0,1,1,255,0,0,66,660
2014.2500,1,1,201,4,1,1,12,10,0,10,0,0,0,1,255,0,0,65,659
2014.7500,3,3,201,4,3,1,12,10,10,10,0,0,3,3,255,0,0,70,700
2015.5000,5,5,201,5,2,1,12,10,0,10,0,1,0,5,255,0,0,50,500
2016.0000,3,3,201,6,0,1,12,10,20,10,0,0,1,3,255,0,0,70,700
2017.7500,5,5,201,7,3,1,12,10,20,10,0,0,2,5,255,0,0,50,500
2019.2500,3,3,201,9,1,1,12,10,0,10,0,0,0,3,255,0,0,69,699
2019.5000,2,2,201,9,2,1,12,10,20,10,0,0,0,2,255,0,0,40,409
2020.5000,5,5,202,0,2,1,12,10,10,10,0,0,3,5,255,0,0,50,500
2030.7500,5,5,203,0,3,1,12,10,20,10,0,0,1,5,255,0,0,50,500
2034.7500,5,5,203,4,3,1,12,10,0,10,0,0,0,5,255,0,0,49,499
2100.0000,4,4,210,0,0,1,12,10,10,10,0,1,0,4,255,0,0,74,740
2100.5000,4,4,210,0,2,1,12,10,20,10,0,0,2,4,255,0,0,74,740
2103.2500,2,2,210,3,1,1,12,10,30,10,1,1,0,2,255,0,0,36,405
2103.7500,2,2,210,3,3,1,12,10,10,10,1,0,2,2,255,0,0,36,405
2103.7500,3,3,210,3,3,1,12,10,40,10,1,1,0,3,255,0,0,65,695
2106.7500,4,4,210,6,3,1,12,10,0,10,0,0,3,4,255,0,0,74,740
2107.0000,2,2,210,7,0,1,12,10,10,10,1,0,3,2,255,0,0,36,405
2108.0000,2,2,210,8,0,1,12,10,10,10,1,0,1,2,255,0,0,36,405
2109.0000,3,3,210,9,0,1,12,10,20,10,1,0,2,3,255,0,0,65,695
2109.5000,4,4,210,9,2,1,12,10,40,10,0,0,1,4,255,0,0,74,740
2114.7500,3,3,211,4,3,1,12,10,10,10,1,0,3,3,255,0,0,65,695
2115.0000,4,4,211,5,0,1,12,10,30,10,0,0,0,4,255,0,0,73,739
2116.0000,3,3,211,6,0,1,12,10,20,10,1,0,1,3,255,0,0,65,695
2119.2500,3,3,211,9,1,1,12,10,0,10,1,0,0,3,255,0,0,64,694
2119.5000,2,2,211,9,2,1,12,10,20,10,1,0,0,2,255,0,0,35,404
2163.2500,6,6,216,3,1,1,12,10,0,10,0,1,0,6,255,0,0,72,720
2164.2500,6,6,216,4,1,1,12,10,10,10,0,0,2,6,255,0,0,72,720
2167.5000,6,6,216,7,2,1,12,10,20,10,0,0,3,6,255,0,0,72,720
2169.0000,6,6,216,9,0,1,12,10,30,10,0,0,1,6,255,0,0,72,720
2173.7500,6,6,217,3,3,1,12,10,0,10,0,0,0,6,255,0,0,71,719
2200.0000,4,4,220,0,0,1,12,10,10,10,1,1,0,4,255,0,0,69,735
2200.5000,4,4,220,0,2,1,12,10,20,10,1,0,2,4,255,0,0,69,735
2203.2500,2,2,220,3,1,1,12,10,30,10,2,1,0,2,255,0,0,31,400
2203.7500,2,2,220,3,3,1,12,10,10,10,2,0,2,2,255,0,0,31,400
2203.7500,3,3,220,3,3,1,12,10,40,10,2,1,0,3,255,0,0,60,690
2206.7500,4,4,220,6,3,1,12,10,0,10,1,0,3,4,255,0,0,69,735
2207.0000,2,2,220,7,0,1,12,10,10,10,2,0,3,2,255,0,0,31,400
2207.7500,1,1,220,7,3,1,12,10,10,10,2,1,0,1,255,0,0,56,650
2208.0000,2,2,220,8,0,1,12,10,10,10,2,0,1,2,255,0,0,31,400
2209.0000,3,3,220,9,0,1,12,10,20,10,2,0,2,3,255,0,0,60,690
2209.5000,4,4,220,9,2,1,12,10,40,10,1,0,1,4,255,0,0,69,735
2210.2500,1,1,221,0,1,1,12,10,20,10,2,0,2,1,255,0,0,56,650
2210.5000,1,1,221,0,2,1,12,10,40,10,2,0,3,1,255,0,0,56,650
2213.5000,1,1,221,3,2,1,12,10,10,10,2,0,1,1,255,0,0,56,650
2214.2500,1,1,221,4,1,1,12,10,0,10,2,0,0,1,255,0,0,55,649
2214.7500,3,3,221,4,3,1,12,10,10,10,2,0,3,3,255,0,0,60,690
2215.0000,4,4,221,5,0,1,12,10,30,10,1,0,0,4,255,0,0,68,734
2215.5000,5,5,221,5,2,1,12,10,0,10,2,1,0,5,255,0,0,40,490
2216.0000,3,3,221,6,0,1,12,10,20,10,2,0,1,3,255,0,0,60,690
2217.7500,5,5,221,7,3,1,12,10,20,10,2,0,2,5,255,0,0,40,490
2219.2500,3,3,221,9,1,1,12,10,0,10,2,0,0,3,255,0,0,59,689
2219.5000,2,2,221,9,2,1,12,10,20,10,2,0,0,2,255,0,0,30,399
2220.5000,5,5,222,0,2,1,12,10,10,10,2,0,3,5,255,0,0,40,490
2230.7500,5,5,223,0,3,1,12,10,20,10,2,0,1,5,255,0,0,40,490
2234.7500,5,5,223,4,3,1,12,10,0,10,2,0,0,5,255,0,0,39,489
2300.0000,4,4,230,0,0,1,12,10,10,10,2,1,0,4,255,0,0,64,730
2300.5000,4,4,230,0,2,1,12,10,20,10,2,0,2,4,255,0,0,64,730
2303.2500,2,2,230,3,1,1,12,10,30,10,3,1,0,2,255,0,0,26,395
2303.7500,2,2,230,3,3,1,12,10,10,10,3,0,2,2,255,0,0,26,395
2303.7500,3,3,230,3,3,1,12,10,40,10,3,1,0,3,255,0,0,55,685
2306.7500,4,4,230,6,3,1,12,10,0,10,2,0,3,4,255,0,0,64,730
2307.0000,2,2,230,7,0,1,12,10,10,10,3,0,3,2,255,0,0,26,395
2308.0000,2,2,230,8,0,1,12,10,10,10,3,0,1,2,255,0,0,26,395
2309.0000,3,3,230,9,0,1,12,10,20,10,3,0,2,3,255,0,0,55,685
2309.5000,4,4,230,9,2,1,12,10,40,10,2,0,1,4,255,0,0,64,730
2314.7500,3,3,231,4,3,1,12,10,10,10,3,0,3,3,255,0,0,55,685
2315.0000,4,4,231,5,0,1,12,10,30,10,2,0,0,4,255,0,0,63,729
2316.0000,3,3,231,6,0,1,12,10,20,10,3,0,1,3,255,0,0,55,685
2319.2500,3,3,231,9,1,1,12,10,0,10,3,0,0,3,255,0,0,54,684
2319.5000,2,2,231,9,2,1,12,10,20,10,3,0,0,2,255,0,0,25,394
2400.0000,4,4,240,0,0,1,12,10,10,10,3,1,0,4,255,0,0,59,725
2400.5000,4,4,240,0,2,1,12,10,20,10,3,0,2,4,255,0,0,59,725
2403.7500,3,3,240,3,3,1,12,10,40,10,0,1,0,3,255,0,0,50,680
2406.7500,4,4,240,6,3,1,12,10,0,10,3,0,3,4,255,0,0,59,725
2407.7500,1,1,240,7,3,1,12,10,10,10,0,1,0,1,255,0,0,46,640
2409.0000,3,3,240,9,0,1,12,10,20,10,0,0,2,3,255,0,0,50,680
