time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
15.0248,veh12,CAM,3,16.2229,nan,nan,-104.1111,120.0000,233.7766,1
15.0383,veh12,CAM,5,17.9411,nan,nan,-103.2774,120.0000,182.7737,1
15.0391,veh12,CAM,6,21.5233,nan,nan,-99.6952,120.0000,162.4045,1
15.0796,veh12,CAM,4,13.3696,nan,nan,-107.8489,293.0000,211.3590,1
15.0808,veh12,CAM,11,39.6868,nan,nan,-81.5317,120.0000,44.4446,1
15.0866,veh12,CAM,10,35.5602,nan,nan,-85.6583,120.0000,81.2408,1
15.1391,veh12,CAM,6,21.4570,nan,nan,-99.7615,120.0000,163.6455,1
15.1431,veh12,CAM,2,27.2166,nan,nan,-94.0019,120.0000,168.1298,1
15.1671,veh12,CAM,7,30.0917,nan,nan,-91.1268,293.0000,146.8267,1
15.1796,veh12,CAM,4,13.3005,nan,nan,-107.9180,305.0000,213.0414,1
15.1866,veh12,CAM,10,35.6354,nan,nan,-85.5831,120.0000,80.5316,1
15.2248,veh12,CAM,3,16.0425,nan,nan,-104.2764,120.0000,238.6753,1
15.2391,veh12,CAM,6,21.3922,nan,nan,-99.8263,120.0000,164.8607,1
15.2723,veh12,CAM,8,24.1923,nan,nan,-93.8859,120.0000,120.1379,1
15.2796,veh12,CAM,4,13.2331,nan,nan,-107.9854,293.0000,214.7016,1
15.2866,veh12,CAM,10,35.7049,nan,nan,-85.5136,120.0000,79.8935,1
15.2903,veh12,CAM,9,32.4519,nan,nan,-88.7666,120.0000,98.0639,1
15.3543,veh12,CAM,6,25.0505,nan,nan,-96.1680,120.0000,166.2173,1
15.3713,veh12,CAM,11,36.3094,nan,nan,-84.9090,120.0000,44.2385,1
15.3753,veh12,CAM,7,30.5428,nan,nan,-90.6757,305.0000,149.3400,1
15.3796,veh12,CAM,4,13.1673,nan,nan,-108.0512,293.0000,216.3269,1
15.3866,veh12,CAM,10,35.7681,nan,nan,-85.4504,120.0000,79.3182,1
