time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.06808,veh5,drop_decision_no_action,7,2064,124,-1,-1,-1,-1,-1
2.13308,veh5,drop_decision_no_action,3,2124,174,-1,-1,-1,-1,-1
2.23308,veh5,drop_decision_no_action,3,2224,254,-1,-1,-1,-1,-1
2.24358,veh5,drop_decision_no_action,6,2234,261,-1,-1,-1,-1,-1
2.43308,veh5,drop_decision_no_action,3,2424,419,-1,-1,-1,-1,-1
2.46808,veh5,drop_decision_no_action,7,2464,456,-1,-1,-1,-1,-1
2.53308,veh5,drop_decision_no_action,3,2524,493,-1,-1,-1,-1,-1
2.54358,veh5,drop_decision_no_action,6,2534,502,-1,-1,-1,-1,-1
2.64358,veh5,drop_decision_no_action,6,2634,587,-1,-1,-1,-1,-1
2.66808,veh5,drop_decision_no_action,7,2664,612,-1,-1,-1,-1,-1
2.84358,veh5,drop_decision_no_action,6,2834,732,-1,-1,-1,-1,-1
2.88633,veh5,drop_decision_no_action,4,2875,762,-1,-1,-1,-1,-1
2.96808,veh5,drop_decision_no_action,7,2964,830,-1,-1,-1,-1,-1
3.13308,veh5,drop_decision_no_action,3,3124,945,-1,-1,-1,-1,-1
3.17908,veh5,drop_decision_no_action,4,3175,997,-1,-1,-1,-1,-1
3.37908,veh5,drop_decision_no_action,4,3375,1138,-1,-1,-1,-1,-1
3.44808,veh5,drop_decision_no_action,6,3434,1174,-1,-1,-1,-1,-1
3.72758,veh5,drop_decision_no_action,2,3723,1374,-1,-1,-1,-1,-1
3.74808,veh5,drop_decision_no_action,6,3734,1394,-1,-1,-1,-1,-1
3.97908,veh5,drop_decision_no_action,4,3975,1586,-1,-1,-1,-1,-1
4.04083,veh5,drop_decision_no_action,6,4034,1633,-1,-1,-1,-1,-1
4.14083,veh5,drop_decision_no_action,3,4124,1712,-1,-1,-1,-1,-1
4.24083,veh5,drop_decision_no_action,6,4234,1792,-1,-1,-1,-1,-1
4.34083,veh5,drop_decision_no_action,6,4334,1880,-1,-1,-1,-1,-1
4.44083,veh5,drop_decision_no_action,6,4434,1959,-1,-1,-1,-1,-1
4.74083,veh5,drop_decision_no_action,6,4734,2178,-1,-1,-1,-1,-1
4.79158,veh5,drop_decision_no_action,4,4775,2226,-1,-1,-1,-1,-1
4.87933,veh5,drop_decision_no_action,8,4861,2278,-1,-1,-1,-1,-1
5.14383,veh5,drop_decision_no_action,2,5123,2466,-1,-1,-1,-1,-1
5.17933,veh5,drop_decision_no_action,8,5161,2503,-1,-1,-1,-1,-1
5.19158,veh5,drop_decision_no_action,4,5175,2516,-1,-1,-1,-1,-1
5.34383,veh5,drop_decision_no_action,2,5323,2608,-1,-1,-1,-1,-1
5.47933,veh5,drop_decision_no_action,8,5461,2730,-1,-1,-1,-1,-1
5.57933,veh5,drop_decision_no_action,8,5561,2813,-1,-1,-1,-1,-1
5.58033,veh5,drop_decision_no_action,4,5575,2814,-1,-1,-1,-1,-1
5.66683,veh5,drop_decision_no_action,7,5664,2882,-1,-1,-1,-1,-1
5.67558,veh5,drop_decision_no_action,8,5661,2878,-1,-1,-1,-1,-1
5.74008,veh5,drop_decision_no_action,3,5724,2927,-1,-1,-1,-1,-1
5.77558,veh5,drop_decision_no_action,8,5761,2961,-1,-1,-1,-1,-1
5.87558,veh5,drop_decision_no_action,8,5861,3032,-1,-1,-1,-1,-1
5.98033,veh5,drop_decision_no_action,4,5975,3119,-1,-1,-1,-1,-1
6.18033,veh5,drop_decision_no_action,4,6175,3280,-1,-1,-1,-1,-1
6.24058,veh5,drop_decision_no_action,2,6223,3340,-1,-1,-1,-1,-1
6.44008,veh5,drop_decision_no_action,3,6424,3524,-1,-1,-1,-1,-1
6.50258,veh5,drop_decision_no_action,9,6489,3586,-1,-1,-1,-1,-1
6.54058,veh5,drop_decision_no_action,2,6523,3612,-1,-1,-1,-1,-1
6.71633,veh5,drop_decision_no_action,9,6689,3773,-1,-1,-1,-1,-1
6.74183,veh5,drop_decision_no_action,3,6724,3796,-1,-1,-1,-1,-1
6.77458,veh5,drop_decision_no_action,8,6761,3828,-1,-1,-1,-1,-1
6.79133,veh5,drop_decision_no_action,4,6775,3847,-1,-1,-1,-1,-1
6.85283,veh5,drop_decision_no_action,6,6834,3902,-1,-1,-1,-1,-1
6.93533,veh5,drop_decision_no_action,6,6934,3983,-1,-1,-1,-1,-1
