pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
97,2.03308,CAM_DROP_PHY,2024,3,4.0,2.03308,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
104,2.04358,CAM_DROP_PHY,2034,6,4.0,2.04358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
124,2.06808,CAM_DROP_PHY,2064,7,4.0,2.06808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
124,2.06808,CAM_DROP_PHY,2064,7,5.0,2.06808,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
174,2.13308,CAM_DROP_PHY,2124,3,5.0,2.13308,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
173,2.13683,CAM_DROP_PHY,2123,2,4.0,2.13683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
189,2.15233,CAM_DROP_PHY,2137,5,4.0,2.15233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
213,2.16808,CAM_DROP_PHY,2164,7,4.0,2.16808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
254,2.23308,CAM_DROP_PHY,2224,3,4.0,2.23308,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
254,2.23308,CAM_DROP_PHY,2224,3,5.0,2.23308,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
261,2.24358,CAM_DROP_PHY,2234,6,4.0,2.24358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
261,2.24358,CAM_DROP_PHY,2234,6,5.0,2.24358,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
264,2.25233,CAM_DROP_PHY,2237,5,4.0,2.25233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
291,2.26808,CAM_DROP_PHY,2264,7,4.0,2.26808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
336,2.33308,CAM_DROP_PHY,2324,3,4.0,2.33308,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
335,2.33683,CAM_DROP_PHY,2323,2,4.0,2.33683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
345,2.34358,CAM_DROP_PHY,2334,6,4.0,2.34358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
353,2.35233,CAM_DROP_PHY,2337,5,4.0,2.35233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
419,2.43308,CAM_DROP_PHY,2424,3,4.0,2.43308,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
419,2.43308,CAM_DROP_PHY,2424,3,5.0,2.43308,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
426,2.44358,CAM_DROP_PHY,2434,6,4.0,2.44358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
429,2.45233,CAM_DROP_PHY,2437,5,4.0,2.45233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
456,2.46808,CAM_DROP_PHY,2464,7,4.0,2.46808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
456,2.46808,CAM_DROP_PHY,2464,7,5.0,2.46808,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
493,2.53308,CAM_DROP_PHY,2524,3,5.0,2.53308,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
492,2.53683,CAM_DROP_PHY,2523,2,4.0,2.53683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
502,2.54358,CAM_DROP_PHY,2534,6,4.0,2.54358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
