time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.0331,veh2,CAM,3,43.3450,nan,nan,-77.8735,120.0000,32.6885,1
2.0436,veh2,CAM,6,31.1810,nan,nan,-90.0375,120.0000,92.0366,1
2.0681,veh2,CAM,7,30.5086,nan,nan,-90.7099,265.0000,104.4262,1
2.1331,veh2,CAM,3,43.2817,nan,nan,-77.9368,120.0000,32.9263,1
2.1523,veh2,CAM,5,6.9780,nan,nan,-96.7688,120.0000,74.8922,1
2.1681,veh2,CAM,7,30.4548,nan,nan,-90.7637,265.0000,105.0673,1
2.1863,veh2,CAM,4,29.9599,nan,nan,-99.5159,120.0000,56.4722,1
2.2331,veh2,CAM,3,43.2200,nan,nan,-77.9985,120.0000,33.1561,1
2.2436,veh2,CAM,6,30.9820,nan,nan,-90.2365,120.0000,94.1819,1
2.2523,veh2,CAM,5,22.4610,nan,nan,-96.9524,120.0000,75.0910,1
2.2681,veh2,CAM,7,30.3944,nan,nan,-90.8241,265.0000,105.7884,1
2.3331,veh2,CAM,3,43.1598,nan,nan,-78.0587,120.0000,33.3861,1
2.3436,veh2,CAM,6,30.9017,nan,nan,-90.3168,120.0000,95.0497,1
2.3523,veh2,CAM,5,21.8960,nan,nan,-102.1630,120.0000,75.3203,1
2.3681,veh2,CAM,7,30.3276,nan,nan,-90.8909,277.0000,106.5987,1
2.3863,veh2,CAM,4,27.8016,nan,nan,-93.4835,120.0000,57.1292,1
2.4331,veh2,CAM,3,43.1012,nan,nan,-78.1173,120.0000,33.6160,1
2.4436,veh2,CAM,6,30.8163,nan,nan,-90.4022,120.0000,95.9747,1
2.4523,veh2,CAM,5,18.4115,nan,nan,-105.5169,120.0000,75.5571,1
2.4681,veh2,CAM,7,30.2547,nan,nan,-90.9638,265.0000,107.4909,1
2.5331,veh2,CAM,3,43.0439,nan,nan,-78.1746,120.0000,33.8381,1
2.5436,veh2,CAM,6,30.7262,nan,nan,-90.4922,120.0000,96.9686,1
2.5523,veh2,CAM,5,26.2052,nan,nan,-99.8587,120.0000,75.8217,1
2.5681,veh2,CAM,7,30.1761,nan,nan,-91.0424,265.0000,108.4569,1
2.5863,veh2,CAM,4,24.0725,nan,nan,-94.6636,120.0000,57.8857,1
2.6436,veh2,CAM,6,30.6318,nan,nan,-90.5867,120.0000,98.0157,1
2.6523,veh2,CAM,5,21.8002,nan,nan,-98.3842,120.0000,76.0935,1
2.6681,veh2,CAM,7,30.0920,nan,nan,-91.1265,265.0000,109.4996,1
2.7331,veh2,CAM,3,42.9336,nan,nan,-78.2849,120.0000,34.2665,1
2.7436,veh2,CAM,6,30.5332,nan,nan,-90.6852,120.0000,99.1210,1
2.7523,veh2,CAM,5,22.2925,nan,nan,-104.7812,120.0000,76.3876,1
2.7863,veh2,CAM,4,24.5549,nan,nan,-108.1299,120.0000,58.7386,1
2.8436,veh2,CAM,6,30.4309,nan,nan,-90.7876,120.0000,100.2897,1
