time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
3.12758,veh3,drop_decision_no_action,2,3123,1168,-1,-1,-1,-1,-1
3.14258,veh3,drop_decision_no_action,5,3137,1194,-1,-1,-1,-1,-1
4.87083,veh3,drop_decision_no_action,7,4864,2910,-1,-1,-1,-1,-1
5.54058,veh3,drop_decision_no_action,2,5523,3579,-1,-1,-1,-1,-1
5.57933,veh3,drop_decision_no_action,8,5561,3637,-1,-1,-1,-1,-1
5.75433,veh3,drop_decision_no_action,5,5737,3804,-1,-1,-1,-1,-1
6.75683,veh3,drop_decision_no_action,5,6737,4978,-1,-1,-1,-1,-1
7.14358,veh3,cam_reaction,2,7123,18446744073709551615,21.9273,0,0,1,33
8.13733,veh3,cam_reaction,2,8123,18446744073709551615,6.74425,0,1,1,11
8.99233,veh3,drop_decision_no_action,4,8975,7761,-1,-1,-1,-1,-1
9.13433,veh3,cam_reaction,2,9123,18446744073709551615,8.99612,0,1,1,11
9.39833,veh3,drop_decision_no_action,9,9389,8334,-1,-1,-1,-1,-1
10.1341,veh3,cam_reaction,2,10123,18446744073709551615,19.473,0,1,1,11
10.3983,veh3,drop_decision_no_action,9,10389,9546,-1,-1,-1,-1,-1
10.7433,veh3,drop_decision_no_action,5,10737,9951,-1,-1,-1,-1,-1
11.0433,veh3,drop_decision_no_action,5,11037,10303,-1,-1,-1,-1,-1
11.7736,veh3,drop_decision_no_action,7,11764,11227,-1,-1,-1,-1,-1
12.3733,veh3,drop_decision_no_action,7,12364,12051,-1,-1,-1,-1,-1
13.7866,veh3,drop_decision_no_action,4,13775,14039,-1,-1,-1,-1,-1
14.0738,veh3,drop_decision_no_action,8,14061,14451,-1,-1,-1,-1,-1
14.1548,veh3,drop_decision_no_action,5,14137,14591,-1,-1,-1,-1,-1
14.4383,veh3,drop_decision_no_action,5,14437,15083,-1,-1,-1,-1,-1
14.4716,veh3,drop_decision_no_action,7,14464,15119,-1,-1,-1,-1,-1
15.1671,veh3,drop_decision_no_action,7,15164,16244,-1,-1,-1,-1,-1
15.1796,veh3,drop_decision_no_action,4,15175,16243,-1,-1,-1,-1,-1
15.2903,veh3,drop_decision_no_action,9,15289,16437,-1,-1,-1,-1,-1
15.6713,veh3,drop_decision_no_action,11,15670,17028,-1,-1,-1,-1,-1
16.0628,veh3,drop_decision_no_action,12,16045,17603,-1,-1,-1,-1,-1
16.4856,veh3,drop_decision_no_action,4,16475,18337,-1,-1,-1,-1,-1
17.7518,veh3,drop_decision_no_action,5,17737,20314,-1,-1,-1,-1,-1
19.1516,veh3,drop_decision_no_action,12,19145,22353,-1,-1,-1,-1,-1
19.4638,veh3,drop_decision_no_action,8,19461,22807,-1,-1,-1,-1,-1
20.3506,veh3,drop_decision_no_action,12,20345,24047,-1,-1,-1,-1,-1
20.6886,veh3,drop_decision_no_action,11,20670,24519,-1,-1,-1,-1,-1
21.0871,veh3,drop_decision_no_action,4,21075,25099,-1,-1,-1,-1,-1
22.7786,veh3,drop_decision_no_action,7,22764,27445,-1,-1,-1,-1,-1
23.0853,veh3,drop_decision_no_action,11,23070,27907,-1,-1,-1,-1,-1
23.7513,veh3,drop_decision_no_action,6,23734,28893,-1,-1,-1,-1,-1
23.9018,veh3,drop_decision_no_action,9,23889,29117,-1,-1,-1,-1,-1
25.0493,veh3,drop_decision_no_action,6,25034,30641,-1,-1,-1,-1,-1
25.3481,veh3,drop_decision_no_action,12,25345,31071,-1,-1,-1,-1,-1
26.4396,veh3,drop_decision_no_action,8,26361,32534,-1,-1,-1,-1,-1
26.8396,veh3,drop_decision_no_action,8,26761,33108,-1,-1,-1,-1,-1
26.8566,veh3,drop_decision_no_action,12,26845,33241,-1,-1,-1,-1,-1
27.4491,veh3,drop_decision_no_action,5,27437,34105,-1,-1,-1,-1,-1
27.5666,veh3,drop_decision_no_action,7,27564,34274,-1,-1,-1,-1,-1
27.7583,veh3,drop_decision_no_action,12,27745,34515,-1,-1,-1,-1,-1
27.8953,veh3,drop_decision_no_action,9,27889,34737,-1,-1,-1,-1,-1
27.9711,veh3,drop_decision_no_action,8,27961,34834,-1,-1,-1,-1,-1
29.2793,veh3,drop_decision_no_action,11,29270,36769,-1,-1,-1,-1,-1
29.2803,veh3,drop_decision_no_action,7,29264,36760,-1,-1,-1,-1,-1
29.6411,veh3,drop_decision_no_action,6,29634,37252,-1,-1,-1,-1,-1
29.6533,veh3,drop_decision_no_action,12,29645,37275,-1,-1,-1,-1,-1
30.0433,veh3,drop_decision_no_action,5,30037,37821,-1,-1,-1,-1,-1
30.0501,veh3,drop_decision_no_action,12,30045,37835,-1,-1,-1,-1,-1
30.2361,veh3,drop_decision_no_action,6,30234,38069,-1,-1,-1,-1,-1
30.5911,veh3,drop_decision_no_action,9,30589,38575,-1,-1,-1,-1,-1
30.9703,veh3,drop_decision_no_action,7,30964,39105,-1,-1,-1,-1,-1
