time,vehicle,speed,lane
1.0,veh1,2.54,0
2.0,veh1,5.7,0
3.0,veh3,0.66,0
3.0,veh1,6.93,0
3.0,veh2,2.27,1
4.0,veh3,3.47,0
4.0,veh1,3.46,0
4.0,veh2,5.38,1
5.0,veh3,3.47,0
5.0,veh1,3.47,0
5.0,veh2,8.42,1
5.0,veh4,0.89,0
6.0,veh8,1.95,0
6.0,veh3,3.46,0
6.0,veh1,3.47,0
6.0,veh2,11.37,1
6.0,veh4,4.24,0
6.0,veh6,2.31,0
6.0,veh5,2.6,0
7.0,veh8,3.32,0
7.0,veh3,3.46,0
7.0,veh1,3.47,0
7.0,veh2,14.39,1
7.0,veh4,7.29,0
7.0,veh6,5.37,0
7.0,veh5,5.69,0
8.0,veh8,3.4,0
8.0,veh3,3.47,0
8.0,veh1,3.46,0
8.0,veh2,17.36,1
8.0,veh4,10.3,0
8.0,veh7,2.77,0
8.0,veh6,8.32,0
8.0,veh9,2.3,0
8.0,veh5,8.65,0
9.0,veh13,1.04,0
9.0,veh8,3.44,0
9.0,veh3,3.47,0
9.0,veh1,3.47,0
9.0,veh2,20.35,1
9.0,veh4,13.35,0
9.0,veh6,8.32,0
9.0,veh7,5.88,1
9.0,veh9,5.32,0
9.0,veh5,11.1,0
9.0,veh11,1.76,0
10.0,veh13,4.35,0
10.0,veh8,3.44,0
10.0,veh3,3.45,0
10.0,veh1,3.45,0
10.0,veh2,20.82,1
10.0,veh14,0.47,0
10.0,veh4,16.39,0
10.0,veh6,8.32,0
10.0,veh7,8.87,1
10.0,veh10,2.72,0
10.0,veh9,6.94,0
10.0,veh5,11.11,0
10.0,veh11,4.88,0
11.0,veh13,3.92,0
11.0,veh8,3.45,0
11.0,veh3,3.47,0
11.0,veh1,3.45,0
11.0,veh2,20.81,1
11.0,veh14,3.85,0
11.0,veh4,19.33,0
11.0,veh6,8.32,0
11.0,veh7,11.09,1
11.0,veh10,5.77,0
11.0,veh9,6.94,0
11.0,veh5,11.1,0
11.0,veh12,2.21,0
11.0,veh11,7.87,0
12.0,veh13,3.7,0
12.0,veh8,3.46,0
12.0,veh3,3.46,0
12.0,veh1,3.46,0
12.0,veh2,20.81,1
12.0,veh14,5.54,0
12.0,veh4,20.81,0
12.0,veh6,8.32,0
12.0,veh7,11.1,1
12.0,veh10,6.92,0
12.0,veh9,6.94,0
12.0,veh5,11.11,0
12.0,veh12,5.34,0
12.0,veh11,9.71,0
13.0,veh16,3.4,0
13.0,veh8,3.46,0
13.0,veh3,3.46,0
13.0,veh1,3.45,0
13.0,veh13,4.85,1
13.0,veh2,20.81,1
13.0,veh18,1.38,0
13.0,veh14,5.55,0
13.0,veh4,20.82,0
13.0,veh17,3.22,0
13.0,veh6,8.31,0
13.0,veh7,11.1,1
13.0,veh9,6.94,0
13.0,veh5,11.09,0
13.0,veh10,6.94,1
13.0,veh12,6.94,0
13.0,veh11,9.71,0
13.0,veh15,2.7,1
14.0,veh16,6.49,0
14.0,veh8,4.64,0
14.0,veh3,5.75,0
14.0,veh1,3.46,0
14.0,veh13,7.92,1
14.0,veh2,20.83,1
14.0,veh14,5.54,0
14.0,veh4,20.81,0
14.0,veh18,4.64,1
14.0,veh17,6.29,0
14.0,veh6,8.32,0
14.0,veh7,11.09,1
14.0,veh9,6.92,0
14.0,veh5,11.11,0
14.0,veh10,6.92,1
14.0,veh12,6.92,0
14.0,veh11,9.71,0
14.0,veh15,5.74,1
15.0,veh16,9.01,0
15.0,veh8,5.48,0
15.0,veh3,6.3,0
15.0,veh1,6.12,0
15.0,veh13,10.89,1
15.0,veh2,20.82,1
15.0,veh14,5.74,0
15.0,veh4,20.81,0
15.0,veh18,7.66,1
15.0,veh17,5.91,0
15.0,veh6,8.32,0
15.0,veh7,11.09,1
15.0,veh19,2.92,0
15.0,veh9,6.92,0
15.0,veh5,11.1,0
15.0,veh10,6.92,1
15.0,veh12,6.94,0
15.0,veh11,9.71,0
15.0,veh15,8.8,1
16.0,veh20,0.28,0
16.0,veh8,6.15,0
16.0,veh3,6.77,0
16.0,veh1,6.93,0
16.0,veh16,9.61,1
16.0,veh13,13.93,1
16.0,veh2,20.81,1
16.0,veh14,8.73,0
16.0,veh4,20.81,0
16.0,veh18,10.67,1
16.0,veh17,5.55,0
16.0,veh6,8.33,0
16.0,veh7,11.1,1
16.0,veh19,5.95,0
16.0,veh9,6.94,0
16.0,veh5,11.1,0
16.0,veh10,6.93,1
16.0,veh12,6.93,0
16.0,veh11,9.71,0
16.0,veh15,11.82,1
17.0,veh20,3.74,0
17.0,veh8,6.44,0
17.0,veh3,6.84,0
17.0,veh1,6.93,0
17.0,veh16,12.59,1
17.0,veh13,15.26,1
17.0,veh2,20.83,1
17.0,veh14,11.1,0
17.0,veh4,20.83,0
17.0,veh18,13.64,1
17.0,veh17,5.54,0
17.0,veh6,8.32,0
17.0,veh7,11.09,1
17.0,veh19,6.94,0
17.0,veh9,6.92,0
17.0,veh5,11.1,0
17.0,veh10,6.94,1
17.0,veh12,6.92,0
17.0,veh11,9.71,0
17.0,veh15,13.88,1
18.0,veh20,6.86,0
18.0,veh8,6.64,0
18.0,veh3,6.87,0
18.0,veh1,6.93,0
18.0,veh16,15.59,1
18.0,veh13,15.26,1
18.0,veh14,11.09,0
18.0,veh4,20.82,0
18.0,veh18,13.89,1
18.0,veh17,5.54,0
18.0,veh6,8.31,0
18.0,veh2,20.83,1
18.0,veh7,11.1,1
18.0,veh19,6.92,0
18.0,veh9,6.94,0
18.0,veh5,11.11,0
18.0,veh10,6.92,1
18.0,veh12,6.92,0
18.0,veh11,9.72,0
18.0,veh15,13.87,1
19.0,veh20,6.93,0
19.0,veh3,6.9,0
19.0,veh1,6.94,0
19.0,veh8,6.81,1
19.0,veh16,16.02,1
19.0,veh13,15.26,1
19.0,veh5,11.1,0
19.0,veh14,11.1,0
19.0,veh4,20.81,0
19.0,veh18,13.88,1
19.0,veh17,5.55,0
19.0,veh6,8.31,0
19.0,veh2,20.82,1
19.0,veh7,11.1,1
19.0,veh19,6.93,0
19.0,veh9,6.92,0
19.0,veh10,6.92,1
19.0,veh12,6.92,0
19.0,veh11,9.7,0
19.0,veh15,13.88,1
20.0,veh20,6.93,0
20.0,veh3,6.92,0
20.0,veh1,6.92,0
20.0,veh8,9.75,1
20.0,veh16,15.82,1
20.0,veh13,15.25,1
20.0,veh4,20.82,0
20.0,veh5,11.09,0
20.0,veh14,11.1,0
20.0,veh18,13.89,1
20.0,veh17,5.54,0
20.0,veh6,8.32,0
20.0,veh2,20.81,1
20.0,veh19,6.92,0
20.0,veh9,6.92,0
20.0,veh10,6.92,1
20.0,veh12,6.93,0
20.0,veh11,9.71,0
20.0,veh7,11.11,1
20.0,veh15,13.88,1
21.0,veh20,6.93,0
21.0,veh3,6.93,0
21.0,veh1,6.93,0
21.0,veh8,12.82,1
21.0,veh16,15.66,1
21.0,veh13,15.25,1
21.0,veh4,20.82,0
21.0,veh5,11.11,0
21.0,veh14,11.1,0
21.0,veh18,13.88,1
21.0,veh17,5.55,0
21.0,veh6,8.32,0
21.0,veh2,20.82,1
21.0,veh19,6.94,0
21.0,veh9,6.94,0
21.0,veh10,6.92,1
21.0,veh12,6.92,0
21.0,veh11,9.71,0
21.0,veh7,11.1,1
21.0,veh15,13.88,1
22.0,veh20,6.93,0
22.0,veh3,6.92,0
22.0,veh1,6.94,0
22.0,veh8,14.94,1
22.0,veh16,15.55,1
22.0,veh13,15.27,1
22.0,veh4,20.83,0
22.0,veh5,11.1,0
22.0,veh14,11.11,0
22.0,veh18,13.87,1
22.0,veh17,5.55,0
22.0,veh2,20.82,1
22.0,veh19,6.94,0
22.0,veh9,6.92,0
22.0,veh10,6.93,1
22.0,veh6,8.33,0
22.0,veh12,6.93,0
22.0,veh11,9.7,0
22.0,veh7,11.09,1
22.0,veh15,13.89,1
23.0,veh20,6.92,0
23.0,veh3,6.93,0
23.0,veh1,6.94,0
23.0,veh8,15.05,1
23.0,veh16,15.46,1
23.0,veh13,15.27,1
23.0,veh4,20.81,0
23.0,veh5,11.1,0
23.0,veh14,11.1,0
23.0,veh18,13.87,1
23.0,veh17,5.55,0
23.0,veh2,20.83,1
23.0,veh19,6.94,0
23.0,veh9,6.92,0
23.0,veh10,6.93,1
23.0,veh6,4.16,0
23.0,veh7,5.54,0
23.0,veh12,6.92,0
23.0,veh11,9.7,0
23.0,veh15,13.88,1
24.0,veh20,6.93,0
24.0,veh3,6.93,0
24.0,veh1,6.94,0
24.0,veh8,15.12,1
24.0,veh16,15.41,1
24.0,veh13,15.27,1
24.0,veh4,20.82,0
24.0,veh5,11.1,0
24.0,veh14,11.11,0
24.0,veh18,13.87,1
24.0,veh17,5.54,0
24.0,veh19,6.93,0
24.0,veh9,6.93,0
24.0,veh10,6.94,1
24.0,veh6,4.15,0
24.0,veh7,5.54,0
24.0,veh12,6.92,0
24.0,veh11,9.71,0
24.0,veh2,20.82,1
24.0,veh15,13.89,1
25.0,veh20,6.93,0
25.0,veh3,6.93,0
25.0,veh1,6.92,0
25.0,veh13,15.26,0
25.0,veh8,16.12,1
25.0,veh16,16.66,1
25.0,veh4,20.83,0
25.0,veh5,11.09,0
25.0,veh14,11.11,0
25.0,veh18,13.87,1
25.0,veh17,5.71,0
25.0,veh19,6.93,0
25.0,veh9,6.93,0
25.0,veh10,6.94,1
25.0,veh6,4.15,0
25.0,veh7,5.55,0
25.0,veh12,4.31,0
25.0,veh11,9.7,0
25.0,veh2,20.82,1
25.0,veh15,13.87,1
26.0,veh20,6.92,0
26.0,veh3,6.92,0
26.0,veh1,6.93,0
26.0,veh13,15.27,0
26.0,veh8,16.26,1
26.0,veh16,16.66,1
26.0,veh5,11.09,0
26.0,veh14,11.1,0
26.0,veh18,13.88,0
26.0,veh17,8.67,0
26.0,veh4,20.82,0
26.0,veh19,6.93,0
26.0,veh9,6.93,0
26.0,veh10,6.94,1
26.0,veh6,4.16,0
26.0,veh7,5.54,0
26.0,veh12,3.46,0
26.0,veh11,9.71,0
26.0,veh2,20.82,1
26.0,veh15,13.87,1
27.0,veh20,6.92,0
27.0,veh3,6.93,0
27.0,veh1,6.93,0
27.0,veh13,15.25,0
27.0,veh8,16.37,1
27.0,veh16,16.64,1
27.0,veh9,6.93,0
27.0,veh5,11.11,0
27.0,veh14,11.1,0
27.0,veh18,13.88,0
