tx_id,rx_id,distance,rssi,snr
8,1,94.8541,-92.9514,17.8835
8,2,271.728,-91.5893,29.6292
8,3,6.44693,-55.4635,65.755
8,4,250.214,-87.5334,33.685
8,5,229.475,-86.0484,35.1701
8,6,244.68,-99.0673,29.6326
8,7,94.6326,-80.0825,41.136
8,9,266.573,-94.4466,26.7719
8,10,245.37,-90.3142,30.9043
8,11,235.85,-86.4092,34.8092
8,12,250.773,-87.42,18.6874
12,1,229.405,-86.9192,12.844
12,2,22.2508,-65.4818,26.105
12,4,80.9095,-76.0991,11.4965
12,5,94.8402,-79.0243,7.02709
12,6,6.49815,-53.4641,38.7858
12,9,15.8308,-64.2929,30.1498
12,10,83.3751,-76.9394,13.3678
12,11,94.6234,-78.7275,7.68181
9,1,244.488,-87.8678,33.3507
9,2,8.40157,-66.9957,54.2228
9,3,260.514,-88.3622,32.8563
9,4,83.9948,-78.0967,43.1218
9,5,101.337,-80.544,40.6745
9,6,22.1503,-68.8731,52.3454
9,7,251.013,-106.789,22.7742
9,8,266.575,-97.7748,26.7719
9,10,87.3725,-78.3727,42.8458
9,11,100.17,-76.7405,44.478
9,12,15.8375,-64.2929,56.9256
12,8,250.773,nan,30.2218
12,3,244.667,-91.654,29.5645
12,7,235.922,-90.666,25.187
1,2,251.609,-93.7504,32.8062
1,3,94.6249,-82.6619,38.5566
1,4,259.145,-88.3605,32.858
1,5,245.269,-96.4648,24.9335
1,6,222.39,-107.146,14.887
1,7,6.77304,-51.4394,69.7791
1,8,94.8639,-95.9844,22.1989
1,9,244.232,-87.8591,33.3594
1,10,255.675,-99.7654,21.4531
1,11,251.281,-94.6309,26.5876
1,12,229.116,-86.9087,34.3098
5,1,245.284,-94.9557,21.3786
5,2,98.6659,-89.9645,30.5184
5,3,222.535,-89.7319,23.9198
5,4,26.0892,-78.9166,42.3019
5,6,94.6329,-77.5041,43.7144
5,7,251.433,-96.6694,24.5491
5,8,229.213,-86.0382,35.1803
