time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
11.0283,veh5,lane0_slowdown,2,71.1333,0,0,0,5.555
11.1283,veh5,lane0_slowdown,2,68.4706,0,0,0,5.555
11.3283,veh5,lane0_slowdown,2,66.6531,0,0,0,5.555
11.5283,veh5,lane0_slowdown,2,64.5445,0,0,0,5.555
11.7283,veh5,lane0_slowdown,2,62.2376,0,0,0,5.555
11.9283,veh5,lane0_slowdown,2,60.0126,0,0,0,5.555
12.2431,veh5,lane0_slowdown,2,56.941,0,0,0,5.555
12.5431,veh5,lane0_slowdown,2,53.9328,0,0,0,5.555
12.8431,veh5,lane0_slowdown,2,51.0977,0,0,0,5.555
13.1306,veh5,lane0_slowdown,2,48.3573,0,0,0,5.555
13.4306,veh5,lane0_slowdown,2,45.8209,0,0,0,5.555
13.7306,veh5,lane0_slowdown,2,43.4413,0,0,0,5.555
14.0278,veh5,lane0_slowdown,2,41.2034,0,0,0,5.555
14.3278,veh5,lane0_slowdown,2,39.2006,0,0,0,5.555
14.6278,veh5,lane0_slowdown,2,37.3869,0,0,0,5.555
14.9431,veh5,lane0_slowdown,2,35.8392,0,0,0,5.555
15.2431,veh5,lane0_slowdown,2,34.34,0,0,0,5.555
15.5431,veh5,lane0_slowdown,2,32.9819,0,0,0,5.555
15.8393,veh5,lane0_slowdown,2,31.7109,0,0,0,5.555
16.1393,veh5,lane0_slowdown,2,30.6199,0,0,0,5.555
16.5381,veh5,lane0_slowdown,2,29.3511,0,0,0,5.555
16.9381,veh5,lane0_slowdown,2,28.3019,0,0,0,5.555
17.1381,veh5,lane0_slowdown,2,27.558,0,0,0,5.555
17.3381,veh5,lane0_slowdown,2,26.6895,0,0,0,5.555
17.5381,veh5,lane0_slowdown,2,25.7039,0,0,0,5.555
17.7381,veh5,lane0_slowdown,2,24.6015,0,0,0,5.555
17.9311,veh5,lane0_slowdown,2,23.3994,0,0,0,5.555
18.1311,veh5,lane0_slowdown,2,22.1745,0,0,0,5.555
18.3311,veh5,lane0_slowdown,2,20.9659,0,0,0,5.555
18.7311,veh5,lane0_slowdown,2,18.57,0,0,0,5.555
19.1291,veh5,lane0_slowdown,2,16.1687,0,0,0,5.555
19.5291,veh5,lane0_slowdown,2,13.856,0,0,0,5.555
19.9291,veh5,lane0_slowdown,2,11.5931,0,0,0,5.555
20.3293,veh5,lane0_slowdown,2,9.37471,0,0,0,5.555
20.7446,veh5,lane0_slowdown,2,7.34183,0,0,0,5.555
21.1446,veh5,lane0_slowdown,2,5.34866,0,0,0,5.555
21.5446,veh5,lane0_slowdown,2,3.69549,0,0,0,5.555
21.9446,veh5,lane0_slowdown,2,2.99671,0,0,0,5.555
22.3258,veh5,lane0_slowdown,2,3.86299,0,0,0,5.555
22.7258,veh5,lane0_slowdown,2,5.54616,0,0,0,5.555
23.1401,veh5,lane0_slowdown,2,7.4131,0,0,0,5.555
23.5381,veh5,lane0_slowdown,2,9.53884,0,0,0,5.555
23.9381,veh5,lane0_slowdown,2,11.7099,0,0,0,5.555
24.1381,veh5,lane0_slowdown,2,12.9325,0,0,0,5.555
24.3401,veh5,lane0_slowdown,2,14.2281,0,0,0,5.555
24.5401,veh5,lane0_slowdown,2,15.7004,0,0,0,5.555
24.7401,veh5,lane0_slowdown,2,17.2939,0,0,0,5.555
24.9358,veh5,lane0_slowdown,2,19.0714,0,0,0,5.555
25.1358,veh5,lane0_slowdown,2,20.921,0,0,0,5.555
25.3358,veh5,lane0_slowdown,2,22.8926,0,0,0,5.555
25.5358,veh5,lane0_slowdown,2,24.982,0,0,0,5.555
25.7358,veh5,lane0_slowdown,2,27.193,0,0,0,5.555
25.9358,veh5,lane0_slowdown,2,29.5242,0,0,0,5.555
26.1358,veh5,lane0_slowdown,2,31.9811,0,0,0,5.555
26.3293,veh5,lane0_slowdown,2,34.6037,0,0,0,5.555
26.5293,veh5,lane0_slowdown,2,37.2915,0,0,0,5.555
26.7293,veh5,lane0_slowdown,2,40.0898,0,0,0,5.555
26.9293,veh5,lane0_slowdown,2,43.007,0,0,0,5.555
27.1293,veh5,lane0_slowdown,2,46.0032,0,0,0,5.555
27.3293,veh5,lane0_slowdown,2,49.0001,0,0,0,5.555
27.4276,veh5,lane0_slowdown,2,54.606,10.2,0,0,5.555
27.5276,veh5,lane0_slowdown,2,55.8847,16.7,0,0,5.555
27.6276,veh5,lane0_slowdown,2,57.1898,23.2,0,0,5.555
27.7276,veh5,lane0_slowdown,2,58.5121,33.7,0,0,5.555
27.8276,veh5,lane0_slowdown,2,59.8448,33.7,0,0,5.555
27.9276,veh5,lane0_slowdown,2,61.1984,33.7,0,0,5.555
28.0276,veh5,lane0_slowdown,2,62.5659,33.7,0,0,5.555
28.1298,veh5,lane0_slowdown,2,63.9391,33.7,0,0,5.555
28.3298,veh5,lane0_slowdown,2,66.7374,33.7,0,0,5.555
28.5298,veh5,lane0_slowdown,2,69.5709,33.7,0,0,5.555
28.7298,veh5,lane0_slowdown,2,72.4511,33.7,0,0,5.555
