vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh16,2624,,2.63233,1,CAM,2,16,2624
veh16,2641,,2.64308,0,CAM_DROP_APP,3,16,2641
veh16,2683,,2.68608,0,CAM_DROP_APP,5,16,2683
veh16,2734,,2.74658,1,CAM,6,16,2734
veh16,2744,,2.75083,0,CAM_DROP_APP,12,16,2744
veh16,2742,,2.75158,1,CAM,1,16,2742
veh16,2769,,2.77208,1,CAM,7,16,2769
veh16,2819,,2.82133,1,CAM,8,16,2819
veh16,2824,,2.83233,1,CAM,2,16,2824
veh16,2841,,2.84308,1,CAM,3,16,2841
veh16,2840,,2.84733,1,CAM,10,16,2840
veh16,2883,,2.88608,0,CAM_DROP_APP,5,16,2883
veh16,2893,,2.90333,1,CAM,13,16,2893
veh16,2934,,2.93683,1,CAM,6,16,2934
veh16,2944,,2.95083,1,CAM,12,16,2944
veh16,2969,,2.97208,0,CAM_DROP_APP,7,16,2969
veh16,3019,,3.02133,1,CAM,8,16,3019
veh16,3024,,3.03233,0,CAM_DROP_APP,2,16,3024
veh16,3040,,3.04733,1,CAM,10,16,3040
veh16,3083,,3.09883,1,CAM,5,16,3083
veh16,3093,,3.10333,0,CAM_DROP_APP,13,16,3093
veh16,3125,,3.13108,0,CAM_DROP_APP,4,16,3125
veh16,3134,,3.13683,1,CAM,6,16,3134
veh16,3144,,3.15083,1,CAM,12,16,3144
veh16,3169,,3.17208,1,CAM,7,16,3169
veh16,3219,,3.22133,0,CAM_DROP_APP,8,16,3219
veh16,3224,,3.23233,1,CAM,2,16,3224
veh16,3240,,3.24733,0,CAM_DROP_APP,10,16,3240
veh16,3283,,3.29883,1,CAM,5,16,3283
veh16,3299,3.29952,,0,CAM,16,,3299
veh16,3293,,3.30333,0,CAM_DROP_APP,13,16,3293
veh16,3344,,3.35083,1,CAM,12,16,3344
veh16,3342,,3.35158,0,CAM_DROP_APP,1,16,3342
veh16,3369,,3.37208,0,CAM_DROP_APP,7,16,3369
veh16,3419,,3.42133,1,CAM,8,16,3419
veh16,3424,,3.43683,1,CAM,2,16,3424
veh16,3441,,3.44308,0,CAM_DROP_APP,3,16,3441
veh16,3440,,3.44733,0,CAM_DROP_APP,10,16,3440
