messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,3,2041,45.0523,7.65783,270,6.3,2.3
2,5,2083,45.0522,7.655,90,6.43,3.1
2,4,2125,45.0523,7.65472,303.6,5.54,1.6
2,6,2134,45.0531,7.65498,90,6.7,2.5
2,1,2142,45.0532,7.6578,270,6.8,3
2,4,2325,45.0523,7.65471,303.6,5.53,-1.7
2,12,2344,45.0531,7.65489,90,1.45,3.6
2,1,2342,45.0532,7.65778,270,6.92,-0.8
2,6,2534,45.0531,7.65502,90,7.9,3
2,12,2544,45.0531,7.6549,90,2.15,3.9
2,7,2569,45.0532,7.65788,270,2.26,3
2,2,2624,45.053,7.65456,236.9,8.01,2
2,5,2683,45.0522,7.65505,90,8.15,2.4
2,6,2734,45.0531,7.65504,90,8.32,0.9
2,12,2744,45.0531,7.65491,90,2.83,2.7
2,1,2742,45.0532,7.65775,270,6.92,-0.7
2,7,2769,45.0531,7.65788,270,2.96,3.6
2,2,2824,45.053,7.65455,236.9,8.62,3.9
2,3,2841,45.0523,7.65776,270,6.92,0.8
2,10,2840,45.0523,7.65475,303.6,3.12,3.9
2,13,2893,45.0532,7.65789,270,0.96,3.7
2,10,3040,45.0523,7.65474,303.6,3.72,2.4
2,5,3083,45.0522,7.65509,90,9.39,2.6
2,13,3093,45.0532,7.65789,270,1.7,3.2
2,4,3125,45.0524,7.65467,303.6,5.53,-0.4
2,7,3169,45.0531,7.65786,270,4.19,3.6
2,2,3224,45.053,7.6545,236.9,9.83,3.5
2,5,3283,45.0522,7.65512,90,9.98,2.7
2,13,3293,45.0532,7.65788,270,2.41,3.9
2,12,3344,45.0531,7.65493,90,4.67,2.8
2,1,3342,45.0532,7.6577,270,6.92,-0.2
2,7,3369,45.0531,7.65785,270,4.77,3
2,2,3424,45.053,7.65448,236.9,10.45,3.4
2,3,3441,45.0523,7.65771,270,6.93,0.8
2,10,3440,45.0523,7.65472,303.6,4.92,2.8
2,13,3493,45.0532,7.65787,270,3.06,3.1
2,16,3499,45.0523,7.65477,303.6,3.03,3.2
2,12,3544,45.0531,7.65495,90,5.32,2.1
2,7,3569,45.0531,7.65783,270,5.43,2.1
2,2,3624,45.053,7.65446,236.9,11.05,2.3
2,10,3640,45.0523,7.65471,303.6,5.52,2.1
2,5,3683,45.0522,7.65517,90,11.1,-0.2
2,16,3699,45.0523,7.65477,303.6,3.67,2.7
2,2,3824,45.053,7.65443,236.9,11.67,3.3
2,10,3840,45.0523,7.6547,303.6,6.1,2.1
2,4,3925,45.0524,7.65463,303.6,5.54,1.2
2,12,3944,45.0531,7.65498,90,6.47,3.8
2,7,3969,45.0531,7.6578,270,6.58,3.8
2,5,3883,45.0522,7.6552,90,11.09,0.5
2,2,4024,45.053,7.65441,236.9,12.31,2.7
2,3,4041,45.0523,7.65766,270,6.92,-0.2
2,10,4040,45.0523,7.65469,303.6,6.7,3.6
2,13,4093,45.0532,7.65784,270,4.88,3.8
2,16,4099,45.0523,7.65475,303.6,4.84,3.6
2,18,4117,45.0531,7.65489,90,1.11,3.5
2,12,4144,45.0531,7.65499,90,6.93,-0.4
2,2,4224,45.0529,7.65438,236.9,12.94,3.9
2,10,4240,45.0523,7.65468,303.6,6.92,-0.6
2,5,4283,45.0522,7.65526,90,11.1,-0.1
2,16,4299,45.0523,7.65474,303.6,5.42,3.6
2,18,4317,45.0531,7.6549,90,1.81,3.5
2,2,4324,45.0529,7.65437,230.5,13.25,3.5
2,7,4369,45.0531,7.65777,270,7.81,2.1
2,10,4440,45.0523,7.65466,303.6,6.92,-1.3
2,16,4499,45.0523,7.65473,303.6,6.04,3.1
2,18,4517,45.0531,7.6549,90,2.48,3.1
2,2,4524,45.0529,7.65437,210.8,13.86,2.7
2,15,4538,45.0531,7.65469,236.9,2.61,2.8
2,1,4542,45.0532,7.65759,270,6.93,0.9
2,7,4569,45.0531,7.65775,270,8.4,2.8
2,2,4624,45.0529,7.65436,200.7,14.15,2.2
2,6,4634,45.0531,7.65524,90,8.32,1
2,3,4641,45.0523,7.6576,270,6.92,0
2,13,4693,45.0532,7.6578,270,6.69,2.6
2,16,4699,45.0523,7.65472,303.6,6.62,2.9
2,2,4724,45.0529,7.65436,191.3,14.45,2.7
2,4,4725,45.0524,7.65458,303.6,5.53,-1.1
2,15,4738,45.0531,7.65468,236.9,3.26,2.9
2,13,4893,45.0532,7.65778,270,7.33,2.9
2,16,4899,45.0524,7.6547,303.6,6.68,0.7
2,18,4917,45.0531,7.65492,90,3.78,3.3
2,2,5024,45.0528,7.65435,191.3,15.34,2
2,13,5093,45.0532,7.65776,270,7.93,2
2,16,5099,45.0524,7.65469,303.6,6.57,-0.3
2,1,5142,45.0532,7.65754,270,6.93,1.2
2,6,5134,45.0531,7.65529,90,8.31,-1
2,12,5144,45.0531,7.65508,90,6.93,0
2,15,5138,45.0531,7.65466,236.9,4.5,2.3
2,7,5169,45.0531,7.65768,270,10.18,2.8
2,3,5241,45.0523,7.65755,270,6.92,0.2
2,13,5293,45.0532,7.65774,270,8.51,3.5
2,16,5299,45.0524,7.65468,303.6,6.45,-0.4
2,10,5240,45.0524,7.65461,303.6,6.93,-0.7
2,15,5338,45.0531,7.65465,236.9,5.08,2
2,2,5424,45.0528,7.65433,191.3,16.54,3.4
2,13,5493,45.0532,7.65772,270,8.86,0
2,15,5538,45.0531,7.65464,236.9,5.7,3.7
2,7,5569,45.0531,7.65762,270,11.1,1
2,2,5624,45.0528,7.65433,191.3,17.18,3.3
2,6,5634,45.0531,7.65534,90,8.32,0.7
2,13,5693,45.0532,7.6577,270,8.69,-1.2
2,18,5717,45.0531,7.65497,90,6.23,3.5
2,12,5744,45.0531,7.65513,90,6.92,-1
2,15,5738,45.0531,7.65463,236.9,6.37,2.9
2,3,5841,45.0523,7.6575,270,6.92,0.2
