vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh10,2065,,2.06908,0,CAM_DROP_APP,1,10,2065
veh10,2178,,2.18208,0,CAM_DROP_APP,3,10,2178
veh10,2265,,2.27283,0,CAM_DROP_APP,1,10,2265
veh10,2287,,2.29233,0,CAM_DROP_APP,11,10,2287
veh10,2358,,2.36308,0,CAM_DROP_APP,12,10,2358
veh10,2378,,2.38208,1,CAM,3,10,2378
veh10,2465,,2.46908,0,CAM_DROP_APP,1,10,2465
veh10,2487,,2.49233,0,CAM_DROP_APP,11,10,2487
veh10,2558,,2.56308,0,CAM_DROP_APP,12,10,2558
veh10,2578,,2.59208,0,CAM_DROP_APP,3,10,2578
veh10,2665,,2.66908,0,CAM_DROP_APP,1,10,2665
veh10,2687,,2.69233,0,CAM_DROP_APP,11,10,2687
veh10,2748,2.7485,,0,CAM,10,,2748
veh10,2749,,2.75958,0,CAM_DROP_APP,7,10,2749
veh10,2758,,2.76308,0,CAM_DROP_APP,12,10,2758
veh10,2778,,2.78208,0,CAM_DROP_APP,3,10,2778
veh10,2822,,2.82883,0,CAM_DROP_APP,8,10,2822
veh10,2887,,2.89233,0,CAM_DROP_APP,11,10,2887
veh10,2948,2.9485,,0,CAM,10,,2948
veh10,2949,,2.95958,0,CAM_DROP_APP,7,10,2949
veh10,2958,,2.96308,0,CAM_DROP_APP,12,10,2958
veh10,3022,,3.02883,0,CAM_DROP_APP,8,10,3022
veh10,3087,,3.09208,0,CAM_DROP_APP,11,10,3087
veh10,3077,,3.09658,0,CAM_DROP_APP,14,10,3077
veh10,3148,3.1485,,0,CAM,10,,3148
veh10,3149,,3.15958,0,CAM_DROP_APP,7,10,3149
veh10,3158,,3.17633,0,CAM_DROP_APP,12,10,3158
veh10,3222,,3.22883,0,CAM_DROP_APP,8,10,3222
veh10,3265,,3.27283,0,CAM_DROP_APP,1,10,3265
veh10,3287,,3.29208,0,CAM_DROP_APP,11,10,3287
veh10,3277,,3.29658,0,CAM_DROP_APP,14,10,3277
