messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,11,2487,45.0522,7.65492,90,1.9,3.5
2,1,2665,45.0532,7.65775,270,6.92,0.7
2,11,2687,45.0522,7.65492,90,2.6,3.5
2,11,2887,45.0522,7.65493,90,3.22,3.6
2,10,3348,45.0523,7.65473,303.6,4.63,3.8
2,12,3558,45.0531,7.65495,90,5.35,2.5
2,11,3687,45.0522,7.65498,90,5.65,3.8
2,13,3684,45.0532,7.65787,270,3.65,3.6
2,12,3758,45.0531,7.65496,90,5.92,3.7
2,1,3865,45.0532,7.65765,270,6.93,-0.1
2,18,3917,45.0531,7.65489,90,0.35,3.8
2,18,4117,45.0531,7.65489,90,1.11,3.5
2,13,4284,45.0532,7.65783,270,5.47,3.4
2,11,4287,45.0522,7.65503,90,7.53,2.2
2,8,4422,45.0523,7.65778,270,7.83,2.3
2,14,4477,45.0523,7.65783,270,6.05,2.8
2,10,4548,45.0523,7.65465,303.6,6.93,1.6
2,15,4613,45.0531,7.65471,236.9,2.88,3
2,14,4677,45.0523,7.65782,270,6.62,2.8
2,18,4717,45.0531,7.65491,90,3.15,2.6
2,19,4736,45.0532,7.65789,270,0.89,3.9
2,1,5065,45.0532,7.65755,270,6.92,0.9
2,13,5084,45.0532,7.65776,270,7.91,3.1
2,17,5115,45.0522,7.65495,90,4.34,2.9
2,19,5136,45.0532,7.65788,270,2.33,3.1
2,8,5222,45.0523,7.65769,270,10.21,3.4
2,18,5317,45.0531,7.65494,90,4.97,2.3
2,10,5348,45.0524,7.6546,303.6,6.93,1.5
2,17,5515,45.0522,7.65497,90,5.55,3.9
2,18,5717,45.0531,7.65497,90,6.23,3.5
2,17,5715,45.0522,7.65499,90,6.15,3.2
2,3,5778,45.0523,7.65751,270,6.93,0.2
2,15,5813,45.053,7.65465,236.9,6.58,3
