messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,8,3822,45.0523,7.65784,270,6.03,2.4
2,1,3865,45.0532,7.65765,270,6.93,-0.1
2,11,3887,45.0522,7.65499,90,6.29,3.7
2,14,3877,45.0523,7.65787,270,4.31,2.5
2,13,3884,45.0532,7.65786,270,4.24,3.2
2,18,3917,45.0531,7.65489,90,0.35,3.8
2,10,3948,45.0523,7.6547,303.6,6.39,2
2,7,3949,45.0531,7.65781,270,6.52,3.6
2,12,3958,45.0531,7.65498,90,6.49,2.6
2,3,3978,45.0523,7.65766,270,6.93,-0.6
2,8,4022,45.0523,7.65782,270,6.62,3.6
2,13,4084,45.0532,7.65784,270,4.84,3.6
2,11,4087,45.0522,7.65501,90,6.95,3.4
2,14,4077,45.0523,7.65786,270,4.88,3.3
2,18,4117,45.0531,7.65489,90,1.11,3.5
2,10,4148,45.0523,7.65468,303.6,6.92,0.3
2,7,4149,45.0531,7.65779,270,7.11,2
2,12,4158,45.0531,7.65499,90,6.93,-0.2
2,8,4222,45.0523,7.6578,270,7.22,3.6
2,13,4284,45.0532,7.65783,270,5.47,3.4
2,11,4287,45.0522,7.65503,90,7.53,2.2
2,14,4277,45.0523,7.65785,270,5.51,3.4
2,17,4315,45.0522,7.65492,90,1.81,3.3
2,18,4317,45.0531,7.6549,90,1.81,3.5
2,10,4348,45.0523,7.65467,303.6,6.92,0.8
2,7,4349,45.0531,7.65777,270,7.75,3.1
2,12,4358,45.0531,7.65501,90,6.92,0.1
2,8,4422,45.0523,7.65778,270,7.83,2.3
2,1,4465,45.0532,7.6576,270,6.93,0.8
2,13,4484,45.0532,7.65782,270,6.05,2.9
2,14,4477,45.0523,7.65783,270,6.05,2.8
2,11,4487,45.0522,7.65505,90,8.16,3.2
2,17,4515,45.0522,7.65492,90,2.49,3.7
2,18,4517,45.0531,7.6549,90,2.48,3.1
2,19,4536,45.0532,7.65789,270,0.11,3.9
2,10,4548,45.0523,7.65465,303.6,6.93,1.6
2,7,4549,45.0531,7.65775,270,8.34,3.9
2,12,4558,45.0531,7.65503,90,6.92,0.1
2,3,4578,45.0523,7.65761,270,6.92,-1.6
2,8,4622,45.0523,7.65776,270,8.4,2.4
2,13,4684,45.0532,7.6578,270,6.66,2.5
2,14,4677,45.0523,7.65782,270,6.62,2.8
2,11,4687,45.0522,7.65507,90,8.77,3.6
2,17,4715,45.0522,7.65493,90,3.16,3.7
2,18,4717,45.0531,7.65491,90,3.15,2.6
2,19,4736,45.0532,7.65789,270,0.89,3.9
2,10,4748,45.0523,7.65464,303.6,6.93,1.4
2,7,4749,45.0531,7.65773,270,8.93,2.3
2,8,4822,45.0523,7.65774,270,9.02,2.3
2,13,4884,45.0532,7.65778,270,7.3,2.7
2,14,4877,45.0523,7.6578,270,7.26,3.9
2,11,4887,45.0522,7.65509,90,9.39,3.6
2,17,4915,45.0522,7.65494,90,3.76,3.4
2,18,4917,45.0531,7.65492,90,3.78,3.3
2,19,4936,45.0532,7.65789,270,1.62,3.9
2,7,4949,45.0531,7.6577,270,9.56,2.4
2,8,5022,45.0523,7.65772,270,9.61,3.2
2,1,5065,45.0532,7.65755,270,6.92,0.9
2,13,5084,45.0532,7.65776,270,7.91,3.1
2,14,5077,45.0523,7.65778,270,7.83,2.2
2,11,5087,45.0522,7.65511,90,9.71,-0.5
2,17,5115,45.0522,7.65495,90,4.34,2.9
2,18,5117,45.0531,7.65493,90,4.39,2.5
2,19,5136,45.0532,7.65788,270,2.33,3.1
2,7,5149,45.0531,7.65768,270,10.12,3.6
2,12,5158,45.0531,7.65508,90,6.93,0.1
2,3,5178,45.0523,7.65756,270,6.92,0.7
2,8,5222,45.0523,7.65769,270,10.21,3.4
2,14,5277,45.0523,7.65776,270,8.43,2.2
2,13,5284,45.0532,7.65774,270,8.48,3.2
2,11,5287,45.0522,7.65514,90,9.71,0.6
2,17,5315,45.0522,7.65496,90,4.96,2.2
2,18,5317,45.0531,7.65494,90,4.97,2.3
2,19,5336,45.0532,7.65787,270,3.01,3.6
2,7,5349,45.0531,7.65765,270,10.67,3.3
2,10,5348,45.0524,7.6546,303.6,6.93,1.5
2,8,5422,45.0523,7.65767,270,10.83,3.7
2,14,5477,45.0523,7.65774,270,8.73,-0.2
2,13,5484,45.0532,7.65772,270,8.85,-3
2,11,5487,45.0522,7.65516,90,9.7,-0.9
2,17,5515,45.0522,7.65497,90,5.55,3.9
2,18,5517,45.0531,7.65495,90,5.63,3.8
2,19,5536,45.0532,7.65787,270,3.67,2.3
2,7,5549,45.0531,7.65763,270,11.1,0.8
2,8,5622,45.0523,7.65764,270,11.46,3.5
2,1,5665,45.0532,7.65749,270,6.93,1.4
2,14,5677,45.0523,7.65772,270,8.55,-1.4
2,13,5684,45.0532,7.6577,270,8.7,0.2
2,18,5717,45.0531,7.65497,90,6.23,3.5
2,17,5715,45.0522,7.65499,90,6.15,3.2
2,19,5736,45.0532,7.65786,270,4.28,2.6
2,12,5758,45.0531,7.65513,90,6.92,0.3
2,7,5749,45.0531,7.6576,270,11.1,1
2,3,5778,45.0523,7.65751,270,6.93,0.2
2,8,5822,45.0523,7.65761,270,12.09,3.4
2,14,5877,45.0523,7.6577,270,8.41,0.2
