vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh17,3865,,3.86908,1,CAM,1,17,3865
veh17,3887,,3.89208,1,CAM,11,17,3887
veh17,3877,,3.89658,1,CAM,14,17,3877
veh17,3884,,3.90408,1,CAM,13,17,3884
veh17,3917,,3.92408,1,CAM,18,17,3917
veh17,3948,,3.95458,1,CAM,10,17,3948
veh17,3949,,3.95508,1,CAM,7,17,3949
veh17,3958,,3.97633,1,CAM,12,17,3958
veh17,3978,,3.97983,1,CAM,3,17,3978
veh17,4022,,4.02883,1,CAM,8,17,4022
veh17,4087,,4.09208,1,CAM,11,17,4087
veh17,4077,,4.09458,1,CAM,14,17,4077
veh17,4084,,4.10258,1,CAM,13,17,4084
veh17,4117,,4.12408,1,CAM,18,17,4117
veh17,4148,,4.15458,1,CAM,10,17,4148
veh17,4149,,4.15508,1,CAM,7,17,4149
veh17,4158,,4.17633,1,CAM,12,17,4158
veh17,4222,,4.23808,1,CAM,8,17,4222
veh17,4284,,4.28733,1,CAM,13,17,4284
veh17,4287,,4.29208,1,CAM,11,17,4287
veh17,4277,,4.29458,1,CAM,14,17,4277
veh17,4315,4.31503,,0,CAM,17,,4315
veh17,4317,,4.32408,1,CAM,18,17,4317
veh17,4348,,4.35083,1,CAM,10,17,4348
veh17,4349,,4.35508,1,CAM,7,17,4349
veh17,4358,,4.37633,1,CAM,12,17,4358
veh17,4413,,4.42558,1,CAM,15,17,4413
veh17,4422,,4.43808,1,CAM,8,17,4422
veh17,4465,,4.46908,1,CAM,1,17,4465
veh17,4484,,4.48733,1,CAM,13,17,4484
veh17,4477,,4.49458,1,CAM,14,17,4477
veh17,4487,,4.50783,1,CAM,11,17,4487
veh17,4515,4.51503,,0,CAM,17,,4515
veh17,4517,,4.52408,1,CAM,18,17,4517
veh17,4536,,4.54608,1,CAM,19,17,4536
veh17,4548,,4.55083,1,CAM,10,17,4548
veh17,4549,,4.55508,1,CAM,7,17,4549
veh17,4558,,4.57233,1,CAM,12,17,4558
veh17,4578,,4.59833,1,CAM,3,17,4578
veh17,4613,,4.62558,1,CAM,15,17,4613
veh17,4622,,4.63808,1,CAM,8,17,4622
veh17,4684,,4.68733,1,CAM,13,17,4684
veh17,4677,,4.69008,1,CAM,14,17,4677
veh17,4687,,4.70783,1,CAM,11,17,4687
veh17,4715,4.71503,,0,CAM,17,,4715
veh17,4717,,4.72408,1,CAM,18,17,4717
veh17,4736,,4.74608,1,CAM,19,17,4736
veh17,4748,,4.75083,1,CAM,10,17,4748
veh17,4749,,4.75508,1,CAM,7,17,4749
veh17,4813,,4.81858,1,CAM,15,17,4813
veh17,4822,,4.83808,1,CAM,8,17,4822
veh17,4884,,4.88733,1,CAM,13,17,4884
veh17,4877,,4.89008,1,CAM,14,17,4877
veh17,4887,,4.90783,1,CAM,11,17,4887
veh17,4915,4.91503,,0,CAM,17,,4915
veh17,4917,,4.92408,1,CAM,18,17,4917
veh17,4936,,4.94608,1,CAM,19,17,4936
veh17,4949,,4.95508,1,CAM,7,17,4949
veh17,5013,,5.01858,1,CAM,15,17,5013
veh17,5022,,5.03808,1,CAM,8,17,5022
veh17,5065,,5.06658,1,CAM,1,17,5065
veh17,5084,,5.08733,1,CAM,13,17,5084
veh17,5077,,5.09008,1,CAM,14,17,5077
veh17,5087,,5.10783,1,CAM,11,17,5087
veh17,5115,5.11503,,0,CAM,17,,5115
veh17,5117,,5.12408,1,CAM,18,17,5117
veh17,5136,,5.14608,1,CAM,19,17,5136
veh17,5149,,5.15508,1,CAM,7,17,5149
veh17,5158,,5.17233,1,CAM,12,17,5158
veh17,5178,,5.19833,1,CAM,3,17,5178
veh17,5213,,5.21858,1,CAM,15,17,5213
veh17,5222,,5.23483,1,CAM,8,17,5222
veh17,5277,,5.28583,1,CAM,14,17,5277
veh17,5284,,5.29108,1,CAM,13,17,5284
veh17,5287,,5.30733,1,CAM,11,17,5287
veh17,5315,5.31503,,0,CAM,17,,5315
veh17,5317,,5.32458,1,CAM,18,17,5317
veh17,5336,,5.34608,1,CAM,19,17,5336
veh17,5349,,5.35183,1,CAM,7,17,5349
veh17,5348,,5.36183,1,CAM,10,17,5348
veh17,5413,,5.41858,1,CAM,15,17,5413
veh17,5422,,5.43483,1,CAM,8,17,5422
veh17,5477,,5.48583,1,CAM,14,17,5477
veh17,5484,,5.49108,1,CAM,13,17,5484
veh17,5487,,5.50733,1,CAM,11,17,5487
veh17,5515,5.51503,,0,CAM,17,,5515
veh17,5517,,5.52458,1,CAM,18,17,5517
veh17,5536,,5.54333,1,CAM,19,17,5536
veh17,5549,,5.55183,1,CAM,7,17,5549
veh17,5613,,5.61858,1,CAM,15,17,5613
veh17,5622,,5.63483,1,CAM,8,17,5622
veh17,5665,,5.66658,1,CAM,1,17,5665
veh17,5677,,5.68583,1,CAM,14,17,5677
veh17,5684,,5.69108,1,CAM,13,17,5684
veh17,5715,5.71503,,0,CAM,17,,5715
veh17,5717,,5.72458,1,CAM,18,17,5717
veh17,5736,,5.74333,1,CAM,19,17,5736
veh17,5758,,5.76408,1,CAM,12,17,5758
veh17,5749,,5.76908,1,CAM,7,17,5749
veh17,5778,,5.79783,1,CAM,3,17,5778
veh17,5813,,5.83183,1,CAM,15,17,5813
veh17,5822,,5.83483,1,CAM,8,17,5822
veh17,5877,,5.88583,1,CAM,14,17,5877
