vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh3,405,0.405521,,0,CAM,3,,405
veh3,605,0.605521,,0,CAM,3,,605
veh3,805,0.805521,,0,CAM,3,,805
veh3,1005,1.00552,,0,CAM,3,,1005
veh3,1205,1.20552,,0,CAM,3,,1205
veh3,1405,1.40552,,0,CAM,3,,1405
veh3,1605,1.60552,,0,CAM,3,,1605
veh3,1805,1.80552,,0,CAM,3,,1805
veh3,2005,2.00552,,0,CAM,3,,2005
veh3,2010,,2.01683,1,CAM,7,3,2010
veh3,2082,,2.08358,1,CAM,11,3,2082
veh3,2125,,2.14108,1,CAM,1,3,2125
veh3,2163,,2.17608,1,CAM,2,3,2163
veh3,2205,2.20552,,0,CAM,3,,2205
veh3,2210,,2.21683,1,CAM,7,3,2210
veh3,2282,,2.28358,1,CAM,11,3,2282
veh3,2325,,2.34108,1,CAM,1,3,2325
veh3,2349,,2.36783,1,CAM,4,3,2349
veh3,2368,,2.37083,1,CAM,12,3,2368
veh3,2363,,2.37608,1,CAM,2,3,2363
veh3,2390,,2.39583,1,CAM,10,3,2390
veh3,2405,2.40552,,0,CAM,3,,2405
veh3,2410,,2.41683,1,CAM,7,3,2410
veh3,2482,,2.48358,1,CAM,11,3,2482
