vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh17,4077,,4.09458,1,CAM,14,17,4077
veh17,4222,,4.23808,1,CAM,8,17,4222
veh17,4315,4.31503,,0,CAM,17,,4315
veh17,4317,,4.32408,1,CAM,18,17,4317
veh17,4358,,4.37633,1,CAM,12,17,4358
veh17,4465,,4.46908,1,CAM,1,17,4465
veh17,4484,,4.48733,1,CAM,13,17,4484
veh17,4515,4.51503,,0,CAM,17,,4515
veh17,4517,,4.52408,1,CAM,18,17,4517
veh17,4677,,4.69008,1,CAM,14,17,4677
veh17,4715,4.71503,,0,CAM,17,,4715
veh17,4717,,4.72408,1,CAM,18,17,4717
veh17,4748,,4.75083,1,CAM,10,17,4748
veh17,4822,,4.83808,1,CAM,8,17,4822
veh17,4915,4.91503,,0,CAM,17,,4915
veh17,5065,,5.06658,1,CAM,1,17,5065
veh17,5115,5.11503,,0,CAM,17,,5115
veh17,5136,,5.14608,1,CAM,19,17,5136
veh17,5213,,5.21858,1,CAM,15,17,5213
veh17,5277,,5.28583,1,CAM,14,17,5277
veh17,5315,5.31503,,0,CAM,17,,5315
veh17,5317,,5.32458,1,CAM,18,17,5317
veh17,5422,,5.43483,1,CAM,8,17,5422
veh17,5477,,5.48583,1,CAM,14,17,5477
veh17,5515,5.51503,,0,CAM,17,,5515
veh17,5613,,5.61858,1,CAM,15,17,5613
veh17,5715,5.71503,,0,CAM,17,,5715
veh17,5717,,5.72458,1,CAM,18,17,5717
