messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,1,2265,45.0532,7.65779,270,6.92,-1.3
2,12,2558,45.0531,7.6549,90,2.19,3.7
2,11,2687,45.0522,7.65492,90,2.6,3.5
2,8,2822,45.0523,7.65789,270,3.1,2.6
2,7,2949,45.0531,7.65787,270,3.5,2.7
2,10,3148,45.0523,7.65474,303.6,4.03,3.7
2,7,3349,45.0531,7.65785,270,4.72,2.9
2,12,3358,45.0531,7.65493,90,4.69,2
2,13,3484,45.0532,7.65787,270,3.03,2.7
2,7,3549,45.0531,7.65784,270,5.37,3.9
2,13,3684,45.0532,7.65787,270,3.65,3.6
2,10,3748,45.0523,7.65471,303.6,5.83,3.8
2,10,3948,45.0523,7.6547,303.6,6.39,2
2,7,3949,45.0531,7.65781,270,6.52,3.6
2,12,3958,45.0531,7.65498,90,6.49,2.6
2,8,4022,45.0523,7.65782,270,6.62,3.6
2,14,4077,45.0523,7.65786,270,4.88,3.3
2,18,4117,45.0531,7.65489,90,1.11,3.5
2,10,4148,45.0523,7.65468,303.6,6.92,0.3
2,12,4158,45.0531,7.65499,90,6.93,-0.2
2,8,4222,45.0523,7.6578,270,7.22,3.6
2,14,4277,45.0523,7.65785,270,5.51,3.4
2,10,4348,45.0523,7.65467,303.6,6.92,0.8
2,1,4465,45.0532,7.6576,270,6.93,0.8
2,13,4484,45.0532,7.65782,270,6.05,2.9
2,14,4477,45.0523,7.65783,270,6.05,2.8
2,14,4677,45.0523,7.65782,270,6.62,2.8
2,13,5084,45.0532,7.65776,270,7.91,3.1
2,17,5115,45.0522,7.65495,90,4.34,2.9
2,12,5158,45.0531,7.65508,90,6.93,0.1
2,10,5348,45.0524,7.6546,303.6,6.93,1.5
2,15,5413,45.0531,7.65467,236.9,5.4,3.6
2,19,5536,45.0532,7.65787,270,3.67,2.3
2,7,5549,45.0531,7.65763,270,11.1,0.8
2,8,5622,45.0523,7.65764,270,11.46,3.5
2,13,5684,45.0532,7.6577,270,8.7,0.2
2,18,5717,45.0531,7.65497,90,6.23,3.5
2,12,5758,45.0531,7.65513,90,6.92,0.3
2,14,5877,45.0523,7.6577,270,8.41,0.2
