vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh6,224,0.224227,,0,CAM,6,,224
veh6,424,0.424227,,0,CAM,6,,424
veh6,624,0.624227,,0,CAM,6,,624
veh6,824,0.824227,,0,CAM,6,,824
veh6,1024,1.02423,,0,CAM,6,,1024
veh6,1224,1.22423,,0,CAM,6,,1224
veh6,1424,1.42423,,0,CAM,6,,1424
veh6,1624,1.62423,,0,CAM,6,,1624
veh6,1824,1.82423,,0,CAM,6,,1824
veh6,2006,,2.00858,1,CAM,1,6,2006
veh6,2024,2.02423,,0,CAM,6,,2024
veh6,2024,,2.02858,1,CAM,12,6,2024
veh6,2023,,2.03258,1,CAM,4,6,2023
veh6,2080,,2.08833,1,CAM,2,6,2080
veh6,2097,,2.10158,1,CAM,3,6,2097
veh6,2109,,2.11158,1,CAM,8,6,2109
veh6,2164,,2.16658,1,CAM,5,6,2164
veh6,2206,,2.20858,1,CAM,1,6,2206
veh6,2211,,2.21583,1,CAM,10,6,2211
veh6,2224,2.22423,,0,CAM,6,,2224
veh6,2224,,2.22858,1,CAM,12,6,2224
veh6,2223,,2.23258,1,CAM,4,6,2223
veh6,2280,,2.28833,1,CAM,2,6,2280
veh6,2297,,2.30158,1,CAM,3,6,2297
veh6,2309,,2.31158,1,CAM,8,6,2309
veh6,2364,,2.36658,1,CAM,5,6,2364
veh6,2406,,2.40858,1,CAM,1,6,2406
veh6,2411,,2.41583,1,CAM,10,6,2411
veh6,2424,2.42423,,0,CAM,6,,2424
veh6,2424,,2.42858,1,CAM,12,6,2424
veh6,2480,,2.48833,1,CAM,2,6,2480
veh6,2497,,2.50158,1,CAM,3,6,2497
veh6,2509,,2.51158,1,CAM,8,6,2509
veh6,2564,,2.56658,1,CAM,5,6,2564
veh6,2606,,2.60858,1,CAM,1,6,2606
veh6,2611,,2.61583,1,CAM,10,6,2611
veh6,2624,2.62423,,0,CAM,6,,2624
veh6,2624,,2.62858,1,CAM,12,6,2624
veh6,2680,,2.68833,1,CAM,2,6,2680
veh6,2697,,2.70158,1,CAM,3,6,2697
veh6,2709,,2.71158,1,CAM,8,6,2709
veh6,2764,,2.76658,1,CAM,5,6,2764
veh6,2806,,2.80858,1,CAM,1,6,2806
veh6,2811,,2.81583,1,CAM,10,6,2811
veh6,2824,2.82423,,0,CAM,6,,2824
veh6,2824,,2.82858,1,CAM,12,6,2824
veh6,2880,,2.88833,1,CAM,2,6,2880
veh6,2895,,2.90333,1,CAM,13,6,2895
veh6,2909,,2.91158,1,CAM,8,6,2909
veh6,2911,,2.91433,1,CAM,7,6,2911
veh6,2964,,2.96658,1,CAM,5,6,2964
veh6,3011,,3.01583,1,CAM,10,6,3011
veh6,3024,3.02423,,0,CAM,6,,3024
veh6,3024,,3.02858,1,CAM,12,6,3024
veh6,3023,,3.03258,1,CAM,4,6,3023
veh6,3080,,3.08833,1,CAM,2,6,3080
veh6,3095,,3.10333,1,CAM,13,6,3095
veh6,3109,,3.11158,1,CAM,8,6,3109
veh6,3111,,3.11433,1,CAM,7,6,3111
veh6,3164,,3.16658,1,CAM,5,6,3164
veh6,3166,,3.17283,1,CAM,16,6,3166
veh6,3211,,3.21583,1,CAM,10,6,3211
veh6,3224,3.22423,,0,CAM,6,,3224
veh6,3224,,3.22858,1,CAM,12,6,3224
veh6,3280,,3.28833,1,CAM,2,6,3280
veh6,3295,,3.30333,1,CAM,13,6,3295
veh6,3309,,3.31158,1,CAM,8,6,3309
veh6,3311,,3.31433,1,CAM,7,6,3311
veh6,3297,,3.31458,1,CAM,3,6,3297
veh6,3364,,3.36658,1,CAM,5,6,3364
veh6,3366,,3.37208,1,CAM,16,6,3366
veh6,3411,,3.41583,1,CAM,10,6,3411
veh6,3406,,3.41933,1,CAM,1,6,3406
veh6,3424,,3.44283,1,CAM,12,6,3424
veh6,3480,,3.49283,1,CAM,2,6,3480
veh6,3495,,3.50333,1,CAM,13,6,3495
veh6,3511,,3.51433,1,CAM,7,6,3511
veh6,3509,,3.52908,1,CAM,8,6,3509
veh6,3566,,3.57208,1,CAM,16,6,3566
veh6,3564,,3.57933,1,CAM,5,6,3564
veh6,3611,,3.61583,1,CAM,10,6,3611
veh6,3624,,3.64283,1,CAM,12,6,3624
veh6,3680,,3.69283,1,CAM,2,6,3680
veh6,3695,,3.70333,1,CAM,13,6,3695
veh6,3724,3.72423,,0,CAM,6,,3724
veh6,3709,,3.72908,1,CAM,8,6,3709
veh6,3711,,3.74033,1,CAM,7,6,3711
veh6,3766,,3.77208,1,CAM,16,6,3766
veh6,3764,,3.77933,1,CAM,5,6,3764
veh6,3811,,3.81283,1,CAM,10,6,3811
veh6,3823,,3.82483,1,CAM,4,6,3823
veh6,3824,,3.84283,1,CAM,12,6,3824
veh6,3880,,3.89283,1,CAM,2,6,3880
veh6,3895,,3.89758,1,CAM,13,6,3895
