tx_id,rx_id,distance,rssi,snr
9,1,244.488,-103.957,17.2616
9,2,8.40157,-91.5558,29.6627
9,4,83.9948,-95.1817,26.0368
9,6,22.1503,-86.2357,34.9828
9,10,87.3725,-96.9012,24.3173
9,11,100.17,-101.549,19.6693
9,12,15.8375,-84.4228,36.7957
12,1,229.405,-105.895,15.3235
12,2,22.2508,-84.7067,36.5118
12,3,244.725,-112.727,8.49144
12,4,80.9095,-105.37,18.4813
12,5,94.8402,-97.9258,23.2927
12,6,6.49815,-72.6898,48.5287
12,7,235.926,-104.267,16.951
12,8,250.777,-111.803,9.41578
12,9,15.8308,-84.4228,36.7957
12,10,83.3751,-111.734,8.26514
12,11,94.6234,-107.54,15.6362
9,3,260.456,nan,6.43942
9,5,101.351,nan,4.7661
8,1,94.8586,-95.7052,25.5133
8,2,271.769,-112.155,9.06381
8,3,6.50957,-76.8411,44.3774
8,4,250.256,-112.272,9.82665
8,5,229.412,-108.263,12.9551
8,6,244.621,-108.756,13.5136
8,7,94.6326,-96.2659,24.9526
8,10,245.372,-117.992,15.9017
8,12,250.769,-111.802,9.41603
8,9,266.576,nan,2.55559
2,1,251.619,-104.829,16.3897
2,4,79.5217,-94.7275,26.491
2,5,98.654,-97.4634,23.7551
2,6,29.2324,-87.2389,33.9796
2,8,271.877,-112.158,9.06023
2,9,8.66582,-91.8078,29.4106
2,10,83.428,-103.508,17.7103
2,11,96.9065,-97.9191,23.2994
2,12,22.502,-84.8009,36.4175
1,2,251.667,-104.829,16.39
1,3,94.6249,-100.207,21.0111
1,6,222.325,-117.794,10.978
1,7,6.76725,-75.9696,45.2489
1,8,94.8635,-95.7068,25.5117
1,9,244.237,-103.946,17.2724
1,12,229.11,-105.882,15.3367
5,2,98.6474,-97.4635,23.755
5,3,222.471,-114.5,10.2858
5,4,26.1388,-96.4349,24.7836
5,6,94.633,-98.8778,22.3407
5,8,229.207,-108.253,12.9654
5,9,101.394,-115.979,7.62806
5,10,20.1503,-93.0516,28.1669
5,11,6.60487,-74.108,47.1105
5,12,94.8646,-97.9276,23.2909
3,1,94.6324,-100.207,21.0111
3,7,94.8709,-101.739,19.4792
3,8,6.68023,-77.1482,44.0703
3,11,229.132,-115.689,11.1668
3,12,244.463,-112.716,8.50274
4,7,265.521,-119.698,8.55364
4,10,5.94264,-89.4587,15.1626
4,11,21.0547,-86.9001,10.9969
6,2,29.2806,-87.275,28.9745
6,4,82.3002,-94.4351,22.6121
6,5,94.6221,-98.8778,15.4178
6,9,22.4111,-86.3651,27.5183
6,10,84.4144,-95.646,25.4206
6,11,94.8588,-96.1733,16.23
6,12,6.72006,-73.0794,39.5752
5,1,245.225,-119.214,2.00406
5,7,251.428,-117.995,3.22377
4,2,79.5041,-94.7207,26.4978
4,5,26.143,-96.4349,24.7836
4,6,82.345,-94.4351,26.7833
4,8,250.364,-110.724,10.6165
4,9,83.8823,-95.1659,26.0526
