vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh15,3838,,3.84033,1,CAM,11,15,3838
veh15,3827,,3.84358,1,CAM,10,15,3827
veh15,3855,,3.86908,1,CAM,6,15,3855
veh15,3869,,3.88308,1,CAM,5,15,3869
veh15,3898,,3.90583,1,CAM,3,15,3898
veh15,3885,,3.91108,1,CAM,9,15,3885
veh15,3907,,3.91308,1,CAM,16,15,3907
veh15,3928,,3.93358,1,CAM,8,15,3928
veh15,3972,,3.98708,1,CAM,13,15,3972
veh15,3978,,3.99008,1,CAM,4,15,3978
veh15,3973,,3.99208,1,CAM,12,15,3973
veh15,4038,,4.04033,1,CAM,11,15,4038
veh15,4027,,4.04358,1,CAM,10,15,4027
veh15,4069,,4.08308,1,CAM,5,15,4069
veh15,4085,,4.09108,1,CAM,9,15,4085
veh15,4107,,4.11308,1,CAM,16,15,4107
veh15,4128,,4.13358,1,CAM,8,15,4128
veh15,4172,,4.18708,1,CAM,13,15,4172
veh15,4173,,4.19208,1,CAM,12,15,4173
veh15,4225,4.22562,,0,CAM,15,,4225
veh15,4238,,4.24033,1,CAM,11,15,4238
veh15,4227,,4.24358,1,CAM,10,15,4227
veh15,4269,,4.28483,1,CAM,5,15,4269
veh15,4285,,4.29108,1,CAM,9,15,4285
veh15,4307,,4.31308,1,CAM,16,15,4307
veh15,4328,,4.33358,1,CAM,8,15,4328
veh15,4355,,4.36908,1,CAM,6,15,4355
veh15,4372,,4.38708,1,CAM,13,15,4372
veh15,4373,,4.39208,1,CAM,12,15,4373
veh15,4425,4.42562,,0,CAM,15,,4425
veh15,4427,,4.44358,1,CAM,10,15,4427
veh15,4438,,4.45633,1,CAM,11,15,4438
veh15,4485,,4.49108,1,CAM,9,15,4485
veh15,4499,,4.50558,1,CAM,18,15,4499
veh15,4498,,4.50758,1,CAM,3,15,4498
veh15,4507,,4.51333,1,CAM,16,15,4507
veh15,4528,,4.53358,1,CAM,8,15,4528
veh15,4572,,4.58708,1,CAM,13,15,4572
veh15,4573,,4.59208,1,CAM,12,15,4573
veh15,4625,4.62562,,0,CAM,15,,4625
veh15,4627,,4.63983,1,CAM,10,15,4627
veh15,4636,,4.64008,1,CAM,17,15,4636
veh15,4638,,4.65633,1,CAM,11,15,4638
veh15,4699,,4.70558,1,CAM,18,15,4699
veh15,4685,,4.70558,1,CAM,9,15,4685
veh15,4728,,4.73358,1,CAM,8,15,4728
veh15,4772,,4.77783,1,CAM,13,15,4772
veh15,4669,,4.78483,1,CAM,5,15,4669
veh15,4778,,4.79133,1,CAM,4,15,4778
veh15,4825,4.82562,,0,CAM,15,,4825
