time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
4.20458,veh15,lane0_slowdown,2,30.0626,0.00724887,0,0,6.945
4.30458,veh15,lane0_slowdown,2,31.0802,5.90725,0,0,6.945
4.40458,veh15,lane0_slowdown,2,31.993,15.4072,0,0,6.945
4.49658,veh15,lane0_slowdown,2,33.0671,25.6072,0,0,6.945
4.59658,veh15,lane0_slowdown,2,34.069,35.8072,0,0,6.945
11.1033,veh15,lane1_speedup,2,17.6228,0.00709197,1,0,20.835
12.0981,veh15,lane1_speedup,2,5.10464,0.00709197,1,0,20.835
13.1056,veh15,lane0_slowdown,2,16.4615,20.7538,0,0,6.945
13.3056,veh15,lane0_slowdown,2,20.0009,20.7538,0,0,6.945
13.5056,veh15,lane0_slowdown,2,22.9659,20.7538,0,0,6.945
13.7028,veh15,lane0_slowdown,2,25.353,20.7538,0,0,6.945
13.9028,veh15,lane0_slowdown,2,27.1776,20.7538,0,0,6.945
14.1028,veh15,lane0_slowdown,2,27.9394,19.9538,0,0,6.945
14.3028,veh15,lane0_slowdown,2,28.5977,16.7538,0,0,6.945
14.5028,veh15,lane0_slowdown,2,28.8504,12.9538,0,0,6.945
14.6981,veh15,lane0_slowdown,2,28.2213,8.65381,0,0,6.945
14.8981,veh15,lane0_slowdown,2,27.923,8.91555,0,0,6.945
15.0981,veh15,lane0_slowdown,2,27.1804,18.0369,0,0,6.945
15.2943,veh15,lane0_slowdown,2,26.3421,31.5088,0,0,6.945
15.4943,veh15,lane0_slowdown,2,25.4214,44.157,0,0,6.945
17.2861,veh15,lane0_slowdown,2,14.8814,33.8012,0,0,6.945
17.4041,veh15,lane0_slowdown,2,14.7743,22.1012,0,0,6.945
17.5041,veh15,lane0_slowdown,2,13.9484,10.4012,0,0,6.945
17.6041,veh15,lane0_slowdown,2,13.1023,0.0988492,0,0,6.945
17.7041,veh15,lane0_slowdown,2,12.2302,0.0988492,0,0,6.945
17.8041,veh15,lane0_slowdown,2,11.3264,0.0988492,0,0,6.945
17.9043,veh15,lane0_slowdown,2,10.3942,0.0988492,0,0,6.945
18.2043,veh15,lane0_slowdown,2,7.51894,0.0988492,0,0,6.945
18.4043,veh15,lane0_slowdown,2,5.57298,0.0988492,0,0,6.945
18.6043,veh15,lane0_slowdown,2,3.84571,0.0988492,0,0,6.945
18.7996,veh15,lane0_slowdown,2,3.07994,0.0988492,0,0,6.945
18.9996,veh15,lane0_slowdown,2,4.41678,0.0988492,0,0,6.945
19.1996,veh15,lane0_slowdown,2,11.0078,10.0988,0,0,6.945
19.2996,veh15,lane0_slowdown,2,12.3986,16.5988,0,0,6.945
19.3996,veh15,lane0_slowdown,2,13.8108,23.0988,0,0,6.945
19.5008,veh15,lane0_slowdown,2,14.6389,33.6988,0,0,6.945
19.6008,veh15,lane0_slowdown,2,16.0922,33.6988,0,0,6.945
19.7008,veh15,lane0_slowdown,2,17.5512,33.6988,0,0,6.945
19.8008,veh15,lane0_slowdown,2,13.494,24.1536,0,0,6.945
20.0008,veh15,lane0_slowdown,2,16.1581,20.0057,0,0,6.945
20.2008,veh15,lane0_slowdown,2,18.8416,15.807,0,0,6.945
20.4008,veh15,lane0_slowdown,2,21.5528,11.5907,0,0,6.945
20.5951,veh15,lane0_slowdown,2,24.922,9.44121,0,0,6.945
20.7951,veh15,lane0_slowdown,2,27.6393,0,0,0,6.945
20.9951,veh15,lane0_slowdown,2,30.3346,0,0,0,6.945
21.1951,veh15,lane0_slowdown,2,33.0765,0,0,0,6.945
21.3931,veh15,lane0_slowdown,2,35.7982,0,0,0,6.945
21.5931,veh15,lane0_slowdown,2,38.529,0,0,0,6.945
21.7931,veh15,lane0_slowdown,2,41.257,0,0,0,6.945
21.9931,veh15,lane0_slowdown,2,43.9661,0,0,0,6.945
22.1951,veh15,lane0_slowdown,2,46.6862,0,0,0,6.945
22.3951,veh15,lane0_slowdown,2,49.4049,0,0,0,6.945
22.5951,veh15,lane0_slowdown,2,52.1297,0,0,0,6.945
22.7951,veh15,lane0_slowdown,2,54.8429,0,0,0,6.945
22.9951,veh15,lane0_slowdown,2,57.5755,0,0,0,6.945
23.1908,veh15,lane0_slowdown,2,60.2881,0,0,0,6.945
23.3908,veh15,lane0_slowdown,2,63.0176,0,0,0,6.945
23.5908,veh15,lane0_slowdown,2,65.7188,0,0,0,6.945
23.8043,veh15,lane0_slowdown,2,67.7851,0,0,0,6.945
24.0043,veh15,lane0_slowdown,2,70.5186,0,0,0,6.945
24.2043,veh15,lane0_slowdown,2,73.2477,0,0,0,6.945
