vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh9,28401,,28.4148,1,CAM,7,9,28401
veh9,28451,,28.4603,1,CAM,3,9,28451
veh9,28479,,28.4991,1,CAM,8,9,28479
veh9,28507,,28.5151,1,CAM,5,9,28507
veh9,28549,,28.5568,1,CAM,4,9,28549
veh9,28601,,28.6148,1,CAM,7,9,28601
veh9,28651,,28.6603,1,CAM,3,9,28651
veh9,28679,,28.6991,1,CAM,8,9,28679
veh9,28707,,28.7168,1,CAM,5,9,28707
veh9,28749,,28.7568,1,CAM,4,9,28749
veh9,28788,,28.7901,1,CAM,2,9,28788
veh9,28801,,28.8148,1,CAM,7,9,28801
veh9,28851,,28.8603,1,CAM,3,9,28851
veh9,28879,,28.8991,1,CAM,8,9,28879
veh9,28907,,28.9168,1,CAM,5,9,28907
veh9,28949,,28.9568,1,CAM,4,9,28949
veh9,29001,,29.0036,1,CAM,7,9,29001
veh9,29051,,29.0603,1,CAM,3,9,29051
veh9,29079,,29.0991,1,CAM,8,9,29079
veh9,29107,,29.1168,1,CAM,5,9,29107
veh9,29149,,29.1573,1,CAM,4,9,29149
veh9,29168,29.1689,,0,CAM,9,,29168
veh9,29201,,29.2036,1,CAM,7,9,29201
veh9,29251,,29.2603,1,CAM,3,9,29251
veh9,29279,,29.2991,1,CAM,8,9,29279
veh9,29307,,29.3186,1,CAM,5,9,29307
veh9,29349,,29.3573,1,CAM,4,9,29349
veh9,29368,29.3689,,0,CAM,9,,29368
veh9,29401,,29.4036,1,CAM,7,9,29401
veh9,29451,,29.4603,1,CAM,3,9,29451
veh9,29479,,29.4976,1,CAM,8,9,29479
veh9,29507,,29.5186,1,CAM,5,9,29507
veh9,29549,,29.5573,1,CAM,4,9,29549
veh9,29568,29.5689,,0,CAM,9,,29568
veh9,29601,,29.6036,1,CAM,7,9,29601
veh9,29651,,29.6543,1,CAM,3,9,29651
veh9,29679,,29.6976,1,CAM,8,9,29679
veh9,29707,,29.7186,1,CAM,5,9,29707
veh9,29749,,29.7573,1,CAM,4,9,29749
veh9,29768,29.7689,,0,CAM,9,,29768
veh9,29801,,29.8036,1,CAM,7,9,29801
veh9,29788,,29.8063,1,CAM,2,9,29788
veh9,29851,,29.8543,1,CAM,3,9,29851
veh9,29879,,29.8976,1,CAM,8,9,29879
