vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh9,-1,,28.4148,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.4603,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.4991,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.5151,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.5568,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.6148,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.6603,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.6991,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.7168,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.7568,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.7901,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.8148,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.8603,0,CAM_DROP_PHY,-1,9,-1
veh9,28879,,28.8991,1,CAM,8,9,28879
veh9,-1,,28.9168,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,28.9568,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.0036,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.0603,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.0991,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.1168,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.1573,0,CAM_DROP_PHY,-1,9,-1
veh9,29168,29.1689,,0,CAM,9,,29168
veh9,-1,,29.2036,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.2603,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.2991,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.3186,0,CAM_DROP_PHY,-1,9,-1
veh9,29349,,29.3573,1,CAM,4,9,29349
veh9,29368,29.3689,,0,CAM,9,,29368
veh9,-1,,29.4036,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.4603,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.4976,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.5186,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.5573,0,CAM_DROP_PHY,-1,9,-1
veh9,29568,29.5689,,0,CAM,9,,29568
veh9,29601,,29.6036,1,CAM,7,9,29601
veh9,-1,,29.6543,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.6976,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.7186,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.7573,0,CAM_DROP_PHY,-1,9,-1
veh9,29768,29.7689,,0,CAM,9,,29768
veh9,-1,,29.8036,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.8063,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.8543,0,CAM_DROP_PHY,-1,9,-1
veh9,-1,,29.8976,0,CAM_DROP_PHY,-1,9,-1
