vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh10,906,0.906154,,0,CAM,10,,906
veh10,1006,1.00615,,0,CAM,10,,1006
veh10,1106,1.10615,,0,CAM,10,,1106
veh10,1206,1.20615,,0,CAM,10,,1206
veh10,1306,1.30615,,0,CAM,10,,1306
veh10,1406,1.40615,,0,CAM,10,,1406
veh10,1506,1.50615,,0,CAM,10,,1506
veh10,1706,1.70615,,0,CAM,10,,1706
veh10,1906,1.90615,,0,CAM,10,,1906
veh10,2034,,2.03808,1,CAM,11,10,2034
veh10,2090,,2.09208,1,CAM,2,10,2090
veh10,2106,2.10615,,0,CAM,10,,2106
veh10,2134,,2.13808,1,CAM,11,10,2134
veh10,2234,,2.23808,1,CAM,11,10,2234
veh10,2290,,2.29208,1,CAM,2,10,2290
veh10,2306,2.30615,,0,CAM,10,,2306
veh10,2334,,2.33808,1,CAM,11,10,2334
veh10,2490,,2.49208,1,CAM,2,10,2490
veh10,2506,2.50615,,0,CAM,10,,2506
veh10,2534,,2.53808,1,CAM,11,10,2534
veh10,2547,,2.54983,1,CAM,12,10,2547
veh10,2647,,2.64983,1,CAM,12,10,2647
veh10,2690,,2.69208,1,CAM,2,10,2690
veh10,2706,2.70615,,0,CAM,10,,2706
veh10,2734,,2.73808,1,CAM,11,10,2734
veh10,2747,,2.74983,1,CAM,12,10,2747
veh10,2847,,2.84983,1,CAM,12,10,2847
veh10,2890,,2.90283,1,CAM,2,10,2890
veh10,2934,,2.93808,1,CAM,11,10,2934
veh10,2947,,2.94983,1,CAM,12,10,2947
veh10,3006,3.00615,,0,CAM,10,,3006
veh10,3047,,3.04983,1,CAM,12,10,3047
veh10,3090,,3.10283,1,CAM,2,10,3090
veh10,3134,,3.15108,1,CAM,11,10,3134
veh10,3147,,3.16208,1,CAM,12,10,3147
veh10,3290,,3.30033,1,CAM,2,10,3290
veh10,3306,3.30615,,0,CAM,10,,3306
veh10,3334,,3.35108,1,CAM,11,10,3334
veh10,3347,,3.36208,1,CAM,12,10,3347
veh10,3406,3.40615,,0,CAM,10,,3406
veh10,3490,,3.50033,1,CAM,2,10,3490
veh10,3506,3.50615,,0,CAM,10,,3506
veh10,3534,,3.55108,1,CAM,11,10,3534
veh10,3547,,3.56208,1,CAM,12,10,3547
veh10,3606,3.60615,,0,CAM,10,,3606
veh10,3690,,3.70033,1,CAM,2,10,3690
veh10,3706,3.70615,,0,CAM,10,,3706
veh10,3734,,3.75108,1,CAM,11,10,3734
veh10,3747,,3.76208,1,CAM,12,10,3747
veh10,3806,3.80615,,0,CAM,10,,3806
veh10,3890,,3.90033,1,CAM,2,10,3890
veh10,3947,,3.96208,1,CAM,12,10,3947
veh10,4034,,4.05108,1,CAM,11,10,4034
veh10,4090,,4.09908,1,CAM,2,10,4090
veh10,4106,4.10615,,0,CAM,10,,4106
veh10,4134,,4.15108,1,CAM,11,10,4134
veh10,4147,,4.15758,1,CAM,12,10,4147
veh10,4234,,4.25108,1,CAM,11,10,4234
veh10,4290,,4.29908,1,CAM,2,10,4290
veh10,4334,,4.35108,1,CAM,11,10,4334
veh10,4347,,4.35758,1,CAM,12,10,4347
veh10,4406,4.40615,,0,CAM,10,,4406
veh10,4434,,4.45108,1,CAM,11,10,4434
veh10,4490,,4.49583,1,CAM,2,10,4490
veh10,4534,,4.54483,1,CAM,11,10,4534
veh10,4634,,4.64483,1,CAM,11,10,4634
veh10,4647,,4.65758,1,CAM,12,10,4647
veh10,4690,,4.69583,1,CAM,2,10,4690
veh10,4706,4.70615,,0,CAM,10,,4706
veh10,4890,,4.89583,1,CAM,2,10,4890
veh10,4906,4.90615,,0,CAM,10,,4906
veh10,4934,,4.94483,1,CAM,11,10,4934
veh10,4947,,4.95758,1,CAM,12,10,4947
veh10,5006,5.00615,,0,CAM,10,,5006
veh10,5047,,5.05758,1,CAM,12,10,5047
veh10,5090,,5.09583,1,CAM,2,10,5090
veh10,5106,5.10615,,0,CAM,10,,5106
veh10,5147,,5.15758,1,CAM,12,10,5147
veh10,5206,5.20615,,0,CAM,10,,5206
