vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh3,863,0.863342,,0,CAM,3,,863
veh3,1063,1.06334,,0,CAM,3,,1063
veh3,1263,1.26334,,0,CAM,3,,1263
veh3,1463,1.46334,,0,CAM,3,,1463
veh3,1663,1.66334,,0,CAM,3,,1663
veh3,1863,1.86334,,0,CAM,3,,1863
veh3,2025,,2.02758,1,CAM,6,3,2025
veh3,2042,,2.04683,1,CAM,4,3,2042
veh3,2046,,2.05033,1,CAM,11,3,2046
veh3,2063,2.06334,,0,CAM,3,,2063
veh3,2064,,2.07108,1,CAM,7,3,2064
veh3,2094,,2.09958,1,CAM,2,3,2094
veh3,2115,,2.11983,1,CAM,9,3,2115
veh3,2125,,2.12758,1,CAM,6,3,2125
veh3,2147,,2.15608,1,CAM,10,3,2147
veh3,2180,,2.19458,1,CAM,5,3,2180
veh3,2196,,2.22658,1,CAM,8,3,2196
veh3,2242,,2.24683,1,CAM,4,3,2242
veh3,2263,2.26334,,0,CAM,3,,2263
veh3,2264,,2.27108,1,CAM,7,3,2264
veh3,2294,,2.29958,1,CAM,2,3,2294
veh3,2315,,2.31983,1,CAM,9,3,2315
veh3,2325,,2.32758,1,CAM,6,3,2325
veh3,2346,,2.35033,1,CAM,11,3,2346
veh3,2347,,2.35608,1,CAM,10,3,2347
veh3,2380,,2.39458,1,CAM,5,3,2380
veh3,2396,,2.41358,1,CAM,8,3,2396
veh3,2442,,2.44683,1,CAM,4,3,2442
veh3,2463,2.46334,,0,CAM,3,,2463
veh3,2464,,2.47108,1,CAM,7,3,2464
veh3,2494,,2.49958,1,CAM,2,3,2494
veh3,2515,,2.51983,1,CAM,9,3,2515
veh3,2525,,2.52758,1,CAM,6,3,2525
veh3,2546,,2.55033,1,CAM,11,3,2546
veh3,2547,,2.56933,1,CAM,10,3,2547
veh3,2580,,2.59458,1,CAM,5,3,2580
veh3,2596,,2.61358,1,CAM,8,3,2596
veh3,2615,,2.61983,1,CAM,9,3,2615
veh3,2642,,2.65983,1,CAM,4,3,2642
veh3,2663,2.66334,,0,CAM,3,,2663
veh3,2664,,2.67108,1,CAM,7,3,2664
veh3,2694,,2.69958,1,CAM,2,3,2694
veh3,2715,,2.71983,1,CAM,9,3,2715
veh3,2725,,2.72758,1,CAM,6,3,2725
veh3,2746,,2.75033,1,CAM,11,3,2746
veh3,2747,,2.75608,1,CAM,10,3,2747
veh3,2763,2.76334,,0,CAM,3,,2763
