vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh11,1634,1.63409,,0,CAM,11,,1634
veh11,1734,1.73409,,0,CAM,11,,1734
veh11,1834,1.83409,,0,CAM,11,,1834
veh11,1934,1.93409,,0,CAM,11,,1934
veh11,2034,2.03409,,0,CAM,11,,2034
veh11,2069,,2.07683,1,CAM,10,11,2069
veh11,2072,,2.08108,1,CAM,2,11,2072
veh11,2134,2.13409,,0,CAM,11,,2134
veh11,2234,2.23409,,0,CAM,11,,2234
veh11,2269,,2.27683,1,CAM,10,11,2269
veh11,2334,2.33409,,0,CAM,11,,2334
veh11,2372,,2.47283,1,CAM,2,11,2372
veh11,2469,,2.47683,1,CAM,10,11,2469
veh11,2534,2.53409,,0,CAM,11,,2534
veh11,2669,,2.67683,1,CAM,10,11,2669
veh11,2734,2.73409,,0,CAM,11,,2734
veh11,2869,,2.88133,1,CAM,10,11,2869
veh11,2934,2.93409,,0,CAM,11,,2934
veh11,2872,,2.98108,1,CAM,2,11,2872
veh11,3134,3.13409,,0,CAM,11,,3134
veh11,3169,,3.18133,1,CAM,10,11,3169
veh11,3269,,3.28133,1,CAM,10,11,3269
veh11,3172,,3.29658,1,CAM,2,11,3172
veh11,3272,,3.29658,1,CAM,2,11,3272
veh11,3334,3.33409,,0,CAM,11,,3334
veh11,3369,,3.38133,1,CAM,10,11,3369
veh11,3469,,3.48133,1,CAM,10,11,3469
veh11,3534,3.53409,,0,CAM,11,,3534
veh11,3552,,3.56983,1,CAM,12,11,3552
veh11,3569,,3.58133,1,CAM,10,11,3569
veh11,3472,,3.59658,1,CAM,2,11,3472
veh11,3669,,3.68133,1,CAM,10,11,3669
veh11,3734,3.73409,,0,CAM,11,,3734
veh11,3752,,3.76983,1,CAM,12,11,3752
veh11,3952,,3.96208,1,CAM,12,11,3952
veh11,3969,,3.98133,1,CAM,10,11,3969
veh11,4034,4.03409,,0,CAM,11,,4034
veh11,4134,4.13409,,0,CAM,11,,4134
veh11,4152,,4.16208,1,CAM,12,11,4152
veh11,4072,,4.19183,1,CAM,2,11,4072
veh11,4234,4.23409,,0,CAM,11,,4234
veh11,4269,,4.27408,1,CAM,10,11,4269
veh11,4334,4.33409,,0,CAM,11,,4334
veh11,4352,,4.36208,1,CAM,12,11,4352
veh11,4272,,4.39183,1,CAM,2,11,4272
veh11,4434,4.43409,,0,CAM,11,,4434
veh11,4534,4.53409,,0,CAM,11,,4534
veh11,4552,,4.56208,1,CAM,12,11,4552
veh11,4569,,4.57408,1,CAM,10,11,4569
veh11,4472,,4.59183,1,CAM,2,11,4472
veh11,4572,,4.59183,1,CAM,2,11,4572
veh11,4634,4.63409,,0,CAM,11,,4634
veh11,4672,,4.69183,1,CAM,2,11,4672
veh11,4752,,4.75758,1,CAM,12,11,4752
veh11,4769,,4.77408,1,CAM,10,11,4769
veh11,4772,,4.79183,1,CAM,2,11,4772
veh11,4869,,4.88608,1,CAM,10,11,4869
veh11,4872,,4.89183,1,CAM,2,11,4872
veh11,4934,4.93409,,0,CAM,11,,4934
veh11,4969,,4.98608,1,CAM,10,11,4969
veh11,5052,,5.05758,1,CAM,12,11,5052
veh11,5069,,5.08608,1,CAM,10,11,5069
veh11,5152,,5.15758,1,CAM,12,11,5152
veh11,5169,,5.18608,1,CAM,10,11,5169
veh11,5072,,5.19183,1,CAM,2,11,5072
veh11,5172,,5.19183,1,CAM,2,11,5172
veh11,5234,5.23409,,0,CAM,11,,5234
veh11,5252,,5.25758,1,CAM,12,11,5252
veh11,5269,,5.28608,1,CAM,10,11,5269
