messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,2,2272,45.0526,7.65433,170.5,24,0
2,2,4372,45.0523,7.6546,123.6,13.2,-9
2,2,5472,45.0523,7.65471,123.6,4.5,-9
2,2,5672,45.0523,7.65472,123.6,3.1,-7
2,12,6952,45.0527,7.65837,188.5,15.95,0
2,12,8452,45.0525,7.65833,189.4,15.98,0.1
2,12,8952,45.0525,7.65827,236.3,15.97,-0.2
2,10,12069,45.0523,7.65733,270,15.94,0
2,10,21669,45.0523,7.65541,270,15.97,0.2
2,2,24672,45.0522,7.65489,107,5.28,-7
2,2,25372,45.0522,7.65491,102.2,0.38,-6.9
2,12,27052,45.0523,7.65475,303.6,15.97,0.2
2,12,32552,45.0529,7.65453,55.7,15.97,0
2,12,33452,45.053,7.65466,56.8,15.95,-0.3
2,12,34052,45.053,7.65475,56.8,15.98,0.4
2,10,34369,45.0531,7.6552,90,15.96,0
