vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh11,1634,1.63409,,0,CAM,11,,1634
veh11,1734,1.73409,,0,CAM,11,,1734
veh11,1834,1.83409,,0,CAM,11,,1834
veh11,1934,1.93409,,0,CAM,11,,1934
veh11,2034,2.03409,,0,CAM,11,,2034
veh11,-1,,2.07683,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,2.08108,0,CAM_DROP_PHY,-1,11,-1
veh11,2134,2.13409,,0,CAM,11,,2134
veh11,-1,,2.18108,0,CAM_DROP_PHY,-1,11,-1
veh11,2234,2.23409,,0,CAM,11,,2234
veh11,-1,,2.27683,0,CAM_DROP_PHY,-1,11,-1
veh11,2272,,2.28108,1,CAM,2,11,2272
veh11,2334,2.33409,,0,CAM,11,,2334
veh11,-1,,2.47683,0,CAM_DROP_PHY,-1,11,-1
veh11,2534,2.53409,,0,CAM,11,,2534
veh11,-1,,2.67683,0,CAM_DROP_PHY,-1,11,-1
veh11,2734,2.73409,,0,CAM,11,,2734
veh11,-1,,2.78108,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,2.88133,0,CAM_DROP_PHY,-1,11,-1
veh11,2934,2.93409,,0,CAM,11,,2934
veh11,3134,3.13409,,0,CAM,11,,3134
veh11,-1,,3.18133,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.28133,0,CAM_DROP_PHY,-1,11,-1
veh11,3334,3.33409,,0,CAM,11,,3334
veh11,-1,,3.38133,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.48133,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.49658,0,CAM_DROP_PHY,-1,11,-1
veh11,3534,3.53409,,0,CAM,11,,3534
veh11,-1,,3.56983,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.58133,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.68133,0,CAM_DROP_PHY,-1,11,-1
veh11,3734,3.73409,,0,CAM,11,,3734
veh11,-1,,3.76983,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.79658,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.96208,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,3.98133,0,CAM_DROP_PHY,-1,11,-1
veh11,4034,4.03409,,0,CAM,11,,4034
veh11,4134,4.13409,,0,CAM,11,,4134
veh11,-1,,4.16208,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.19183,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.19183,0,CAM_DROP_PHY,-1,11,-1
veh11,4234,4.23409,,0,CAM,11,,4234
veh11,-1,,4.27408,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.29183,0,CAM_DROP_PHY,-1,11,-1
veh11,4334,4.33409,,0,CAM,11,,4334
veh11,-1,,4.36208,0,CAM_DROP_PHY,-1,11,-1
veh11,4372,,4.39183,1,CAM,2,11,4372
veh11,4434,4.43409,,0,CAM,11,,4434
veh11,-1,,4.49183,0,CAM_DROP_PHY,-1,11,-1
veh11,4534,4.53409,,0,CAM,11,,4534
veh11,-1,,4.56208,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.57408,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.58108,0,CAM_DROP_PHY,-1,11,-1
veh11,4634,4.63409,,0,CAM,11,,4634
veh11,-1,,4.68108,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.75758,0,CAM_DROP_PHY,-1,11,-1
veh11,-1,,4.77408,0,CAM_DROP_PHY,-1,11,-1
