vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh8,796,0.796934,,0,CAM,8,,796
veh8,996,0.996934,,0,CAM,8,,996
veh8,1196,1.19693,,0,CAM,8,,1196
veh8,1396,1.39693,,0,CAM,8,,1396
veh8,1596,1.59693,,0,CAM,8,,1596
veh8,1796,1.79693,,0,CAM,8,,1796
veh8,1996,1.99693,,0,CAM,8,,1996
veh8,2025,,2.02758,1,CAM,6,8,2025
veh8,2042,,2.04683,1,CAM,4,8,2042
veh8,2046,,2.05033,1,CAM,11,8,2046
veh8,2064,,2.07108,1,CAM,7,8,2064
veh8,2063,,2.07658,1,CAM,3,8,2063
veh8,2094,,2.09958,1,CAM,2,8,2094
veh8,2115,,2.11983,1,CAM,9,8,2115
veh8,2125,,2.12758,1,CAM,6,8,2125
veh8,2147,,2.15608,1,CAM,10,8,2147
veh8,2180,,2.19458,1,CAM,5,8,2180
veh8,2196,2.19693,,0,CAM,8,,2196
veh8,2242,,2.24683,1,CAM,4,8,2242
veh8,2264,,2.27108,1,CAM,7,8,2264
veh8,2263,,2.27658,1,CAM,3,8,2263
veh8,2294,,2.29958,1,CAM,2,8,2294
veh8,2315,,2.31983,1,CAM,9,8,2315
veh8,2346,,2.35033,1,CAM,11,8,2346
veh8,2347,,2.35608,1,CAM,10,8,2347
veh8,2380,,2.39458,1,CAM,5,8,2380
veh8,2396,2.39693,,0,CAM,8,,2396
veh8,2442,,2.44683,1,CAM,4,8,2442
veh8,2464,,2.47108,1,CAM,7,8,2464
veh8,2463,,2.47658,1,CAM,3,8,2463
veh8,2494,,2.49958,1,CAM,2,8,2494
veh8,2515,,2.51983,1,CAM,9,8,2515
veh8,2546,,2.55033,1,CAM,11,8,2546
veh8,2547,,2.55608,1,CAM,10,8,2547
veh8,2580,,2.59458,1,CAM,5,8,2580
veh8,2596,2.59693,,0,CAM,8,,2596
veh8,2594,,2.59958,1,CAM,2,8,2594
veh8,2615,,2.61983,1,CAM,9,8,2615
veh8,2642,,2.65983,1,CAM,4,8,2642
veh8,2664,,2.67108,1,CAM,7,8,2664
veh8,2663,,2.67658,1,CAM,3,8,2663
veh8,2694,,2.69958,1,CAM,2,8,2694
veh8,2715,,2.71983,1,CAM,9,8,2715
veh8,2725,,2.72758,1,CAM,6,8,2725
veh8,2746,,2.75033,1,CAM,11,8,2746
veh8,2747,,2.75608,1,CAM,10,8,2747
veh8,2763,,2.78108,1,CAM,3,8,2763
veh8,2780,,2.79458,1,CAM,5,8,2780
veh8,2796,2.79693,,0,CAM,8,,2796
veh8,2794,,2.79958,1,CAM,2,8,2794
veh8,2815,,2.83408,1,CAM,9,8,2815
veh8,2842,,2.85983,1,CAM,4,8,2842
veh8,2863,,2.88108,1,CAM,3,8,2863
veh8,2864,,2.88133,1,CAM,7,8,2864
veh8,2894,,2.89958,1,CAM,2,8,2894
veh8,2915,,2.93408,1,CAM,9,8,2915
veh8,2946,,2.94733,1,CAM,11,8,2946
veh8,2963,,2.98108,1,CAM,3,8,2963
veh8,2980,,2.98683,1,CAM,5,8,2980
veh8,2996,2.99693,,0,CAM,8,,2996
veh8,2994,,2.99958,1,CAM,2,8,2994
veh8,3025,,3.04033,1,CAM,6,8,3025
veh8,3047,,3.05358,1,CAM,10,8,3047
veh8,3063,,3.08108,1,CAM,3,8,3063
veh8,3064,,3.08133,1,CAM,7,8,3064
veh8,3094,,3.09958,1,CAM,2,8,3094
veh8,3115,,3.13408,1,CAM,9,8,3115
veh8,3146,,3.14733,1,CAM,11,8,3146
veh8,3142,,3.15983,1,CAM,4,8,3142
veh8,3163,,3.18108,1,CAM,3,8,3163
veh8,3164,,3.18133,1,CAM,7,8,3164
veh8,3180,,3.18683,1,CAM,5,8,3180
veh8,3196,3.19693,,0,CAM,8,,3196
veh8,3194,,3.19958,1,CAM,2,8,3194
veh8,3263,,3.28108,1,CAM,3,8,3263
veh8,3264,,3.28133,1,CAM,7,8,3264
veh8,3294,,3.29958,1,CAM,2,8,3294
veh8,3315,,3.33408,1,CAM,9,8,3315
veh8,3325,,3.34033,1,CAM,6,8,3325
veh8,3346,,3.34733,1,CAM,11,8,3346
veh8,3347,,3.35358,1,CAM,10,8,3347
veh8,3363,,3.38108,1,CAM,3,8,3363
veh8,3364,,3.38133,1,CAM,7,8,3364
veh8,3366,,3.38283,1,CAM,12,8,3366
veh8,3380,,3.38683,1,CAM,5,8,3380
veh8,3396,3.39693,,0,CAM,8,,3396
veh8,3394,,3.41033,1,CAM,2,8,3394
veh8,3447,,3.45358,1,CAM,10,8,3447
veh8,3442,,3.45983,1,CAM,4,8,3442
veh8,3463,,3.48108,1,CAM,3,8,3463
veh8,3464,,3.48133,1,CAM,7,8,3464
veh8,3494,,3.51033,1,CAM,2,8,3494
veh8,3515,,3.53408,1,CAM,9,8,3515
veh8,3546,,3.54733,1,CAM,11,8,3546
veh8,3547,,3.55358,1,CAM,10,8,3547
veh8,3563,,3.58108,1,CAM,3,8,3563
veh8,3564,,3.58133,1,CAM,7,8,3564
veh8,3566,,3.58208,1,CAM,12,8,3566
