time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.00858,veh12,cam_drop_reaction,1,2006,95,-1,-1,0,0,3.47
2.01383,veh12,drop_decision_no_action,2,2006,94,-1,-1,-1,-1,-1
2.02758,veh12,drop_decision_no_action,3,2023,108,-1,-1,-1,-1,-1
2.04758,veh12,drop_decision_no_action,3,2041,124,-1,-1,-1,-1,-1
2.05383,veh12,drop_decision_no_action,2,2041,123,-1,-1,-1,-1,-1
2.06233,veh12,drop_decision_no_action,5,2059,139,-1,-1,-1,-1,-1
2.11383,veh12,cpm_drop_reaction,2,2106,186,-1,-1,0,0,3.47
2.14658,veh12,drop_decision_no_action,4,2134,208,-1,-1,-1,-1,-1
2.14758,veh12,drop_decision_no_action,3,2141,215,-1,-1,-1,-1,-1
2.18233,veh12,drop_decision_no_action,5,2171,251,-1,-1,-1,-1,-1
2.18858,veh12,drop_decision_no_action,1,2183,261,-1,-1,-1,-1,-1
2.19358,veh12,drop_decision_no_action,9,2191,272,-1,-1,-1,-1,-1
2.19408,veh12,drop_decision_no_action,6,2185,262,-1,-1,-1,-1,-1
2.21383,veh12,cpm_drop_reaction,2,2206,294,-1,-1,0,0,3.47
2.24258,veh12,drop_decision_no_action,10,2238,335,-1,-1,-1,-1,-1
2.24658,veh12,drop_decision_no_action,4,2234,329,-1,-1,-1,-1,-1
2.24758,veh12,drop_decision_no_action,3,2241,338,-1,-1,-1,-1,-1
2.25383,veh12,drop_decision_no_action,2,2241,337,-1,-1,-1,-1,-1
2.25408,veh12,drop_decision_no_action,6,2236,331,-1,-1,-1,-1,-1
2.26658,veh12,drop_decision_no_action,4,2257,372,-1,-1,-1,-1,-1
2.28858,veh12,drop_decision_no_action,1,2283,408,-1,-1,-1,-1,-1
2.31383,veh12,cpm_drop_reaction,2,2306,432,-1,-1,0,0,3.47
2.34658,veh12,drop_decision_no_action,4,2334,471,-1,-1,-1,-1,-1
2.34758,veh12,drop_decision_no_action,3,2341,482,-1,-1,-1,-1,-1
2.36658,veh12,drop_decision_no_action,4,2357,514,-1,-1,-1,-1,-1
2.39358,veh12,drop_decision_no_action,9,2391,566,-1,-1,-1,-1,-1
2.40858,veh12,drop_decision_no_action,1,2406,602,-1,-1,-1,-1,-1
2.41383,veh12,drop_decision_no_action,2,2406,597,-1,-1,-1,-1,-1
