time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.09408,veh1,cpm_drop_reaction,6,2085,165,-1,-1,0,0,3.47
2.12508,veh1,drop_decision_no_action,2,2106,186,-1,-1,-1,-1,-1
2.12758,veh1,drop_decision_no_action,3,2123,196,-1,-1,-1,-1,-1
2.14658,veh1,drop_decision_no_action,4,2134,208,-1,-1,-1,-1,-1
2.14758,veh1,drop_decision_no_action,3,2141,215,-1,-1,-1,-1,-1
2.15408,veh1,drop_decision_no_action,6,2136,210,-1,-1,-1,-1,-1
2.16658,veh1,drop_decision_no_action,4,2157,237,-1,-1,-1,-1,-1
2.18233,veh1,drop_decision_no_action,5,2171,251,-1,-1,-1,-1,-1
2.20683,veh1,cam_drop_reaction,9,2191,272,-1,-1,0,0,3.47
2.22508,veh1,drop_decision_no_action,2,2206,294,-1,-1,-1,-1,-1
2.22758,veh1,drop_decision_no_action,3,2223,316,-1,-1,-1,-1,-1
2.24258,veh1,drop_decision_no_action,10,2238,335,-1,-1,-1,-1,-1
2.24658,veh1,drop_decision_no_action,4,2234,329,-1,-1,-1,-1,-1
2.26233,veh1,drop_decision_no_action,5,2259,378,-1,-1,-1,-1,-1
2.26508,veh1,drop_decision_no_action,2,2241,337,-1,-1,-1,-1,-1
2.32733,veh1,cam_drop_reaction,12,2323,452,-1,-1,0,0,3.47
2.32758,veh1,drop_decision_no_action,3,2323,453,-1,-1,-1,-1,-1
2.34758,veh1,drop_decision_no_action,3,2341,482,-1,-1,-1,-1,-1
2.35408,veh1,drop_decision_no_action,6,2336,475,-1,-1,-1,-1,-1
2.38233,veh1,drop_decision_no_action,5,2371,539,-1,-1,-1,-1,-1
2.39408,veh1,drop_decision_no_action,6,2385,554,-1,-1,-1,-1,-1
2.40683,veh1,drop_decision_no_action,9,2391,566,-1,-1,-1,-1,-1
2.42758,veh1,cam_drop_reaction,3,2423,624,-1,-1,0,0,3.47
2.44258,veh1,drop_decision_no_action,10,2438,645,-1,-1,-1,-1,-1
2.44658,veh1,drop_decision_no_action,4,2434,639,-1,-1,-1,-1,-1
2.44758,veh1,drop_decision_no_action,3,2441,648,-1,-1,-1,-1,-1
2.45408,veh1,drop_decision_no_action,6,2436,641,-1,-1,-1,-1,-1
2.46233,veh1,drop_decision_no_action,5,2459,691,-1,-1,-1,-1,-1
2.46658,veh1,drop_decision_no_action,4,2457,685,-1,-1,-1,-1,-1
2.49408,veh1,drop_decision_no_action,6,2485,726,-1,-1,-1,-1,-1
2.51583,veh1,drop_decision_no_action,8,2512,760,-1,-1,-1,-1,-1
2.52733,veh1,drop_decision_no_action,12,2523,779,-1,-1,-1,-1,-1
2.54658,veh1,cam_drop_reaction,4,2534,804,-1,-1,0,0,3.47
2.54758,veh1,drop_decision_no_action,3,2541,815,-1,-1,-1,-1,-1
2.56233,veh1,drop_decision_no_action,5,2559,849,-1,-1,-1,-1,-1
2.56508,veh1,drop_decision_no_action,2,2441,647,-1,-1,-1,-1,-1
2.56658,veh1,drop_decision_no_action,4,2557,843,-1,-1,-1,-1,-1
2.58233,veh1,drop_decision_no_action,5,2571,867,-1,-1,-1,-1,-1
2.64258,veh1,drop_decision_no_action,10,2638,961,-1,-1,-1,-1,-1
2.66658,veh1,cpm_drop_reaction,4,2657,995,-1,-1,0,0,3.47
2.72508,veh1,drop_decision_no_action,2,2606,913,-1,-1,-1,-1,-1
2.72733,veh1,drop_decision_no_action,12,2723,1088,-1,-1,-1,-1,-1
2.74758,veh1,drop_decision_no_action,3,2741,1111,-1,-1,-1,-1,-1
2.76658,veh1,cpm_drop_reaction,4,2757,1132,-1,-1,0,0,3.47
2.77508,veh1,drop_decision_no_action,5,2759,1138,-1,-1,-1,-1,-1
2.81583,veh1,drop_decision_no_action,8,2812,1213,-1,-1,-1,-1,-1
2.82508,veh1,drop_decision_no_action,2,2706,1064,-1,-1,-1,-1,-1
2.86658,veh1,drop_decision_no_action,4,2857,1275,-1,-1,-1,-1,-1
2.87508,veh1,cpm_drop_reaction,5,2859,1276,-1,-1,0,0,3.47
2.95333,veh1,drop_decision_no_action,17,2950,1373,-1,-1,-1,-1,-1
2.96258,veh1,drop_decision_no_action,10,2958,1383,-1,-1,-1,-1,-1
2.97508,veh1,cam_drop_reaction,5,2971,1384,-1,-1,0,0,3.47
2.98733,veh1,drop_decision_no_action,12,2979,1419,-1,-1,-1,-1,-1
2.99408,veh1,drop_decision_no_action,6,2985,1425,-1,-1,-1,-1,-1
3.02508,veh1,drop_decision_no_action,2,2906,1329,-1,-1,-1,-1,-1
