vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh18,4241,,4.25833,1,CAM,2,18,4241,-1
veh18,4250,,4.25958,0,CPM_DROP_PHY,17,18,4250,3292
veh18,4259,,4.26758,0,CPM_DROP_PHY,5,18,4259,3311
veh18,4272,,4.27658,0,CPM_DROP_PHY,9,18,4272,3341
veh18,4265,,4.27958,0,CAM_DROP_PHY,17,18,4265,3324
veh18,4285,,4.30333,0,CPM_DROP_PHY,6,18,4285,3370
veh18,4306,,4.31833,0,CPM_DROP_PHY,2,18,4306,3401
veh18,4323,,4.34158,0,CAM_DROP_PHY,12,18,4323,3427
veh18,4341,,4.35833,0,CAM_DROP_PHY,2,18,4341,3445
veh18,4350,,4.35958,0,CPM_DROP_PHY,17,18,4350,3454
veh18,4358,,4.35958,0,CPM_DROP_PHY,10,18,4358,3471
veh18,4359,,4.36758,0,CPM_DROP_PHY,5,18,4359,3479
veh18,4283,,4.39683,0,CPM_DROP_PHY,1,18,4283,3369
veh18,4406,,4.41833,0,CPM_DROP_PHY,2,18,4406,3554
veh18,4434,,4.44208,0,CPM_DROP_PHY,13,18,4434,3588
veh18,4441,,4.45833,0,CAM_DROP_PHY,2,18,4441,3596
veh18,4450,,4.45958,0,CPM_DROP_PHY,17,18,4450,3602
veh18,4472,,4.47658,0,CPM_DROP_PHY,9,18,4472,3644
veh18,4465,,4.47958,0,CAM_DROP_PHY,17,18,4465,3635
veh18,4541,,4.55108,0,CAM_DROP_PHY,2,18,4541,3742
veh18,4534,,4.55433,1,CAM,4,18,4534,-1
veh18,4579,,4.58158,0,CPM_DROP_PHY,12,18,4579,3812
veh18,4572,,4.58708,0,CPM_DROP_PHY,9,18,4572,3798
veh18,4576,,4.59133,0,CPM_DROP_PHY,8,18,4576,3808
veh18,4585,,4.60333,0,CPM_DROP_PHY,6,18,4585,3818
veh18,4623,,4.63433,1,CAM,3,18,4623,-1
veh18,4638,,4.63958,0,CAM_DROP_PHY,10,18,4638,3895
veh18,4641,,4.65108,0,CAM_DROP_PHY,2,18,4641,3903
veh18,4665,,4.67958,0,CAM_DROP_PHY,17,18,4665,3949
veh18,4679,,4.68158,0,CPM_DROP_PHY,12,18,4679,3976
veh18,4676,,4.69133,0,CPM_DROP_PHY,8,18,4676,3970
veh18,4685,,4.70333,0,CPM_DROP_PHY,6,18,4685,3983
veh18,4736,,4.74333,0,CAM_DROP_PHY,6,18,4736,4067
veh18,4741,,4.75108,1,CAM,2,18,4741,-1
veh18,4758,,4.75958,0,CPM_DROP_PHY,10,18,4758,4108
veh18,4771,,4.77633,0,CAM_DROP_PHY,5,18,4771,4133
veh18,4779,,4.78158,0,CPM_DROP_PHY,12,18,4779,4150
veh18,4776,,4.79133,0,CPM_DROP_PHY,8,18,4776,4147
veh18,4791,,4.80708,0,CAM_DROP_PHY,9,18,4791,4172
veh18,4806,,4.81683,1,CAM,1,18,4806,-1
veh18,4834,,4.84083,0,CPM_DROP_PHY,13,18,4834,4239
veh18,4841,,4.85108,1,CAM,2,18,4841,-1
veh18,4850,,4.85958,0,CPM_DROP_PHY,17,18,4850,4257
veh18,4858,,4.85958,0,CPM_DROP_PHY,10,18,4858,4276
veh18,4859,,4.87633,0,CPM_DROP_PHY,5,18,4859,4284
veh18,4879,,4.88158,0,CPM_DROP_PHY,12,18,4879,4321
veh18,4876,,4.89133,0,CPM_DROP_PHY,8,18,4876,4317
veh18,4883,,4.89683,0,CPM_DROP_PHY,1,18,4883,4331
veh18,4906,,4.91108,0,CPM_DROP_PHY,2,18,4906,4379
veh18,4934,,4.94083,0,CPM_DROP_PHY,13,18,4934,4415
veh18,4941,,4.95108,0,CAM_DROP_PHY,2,18,4941,4425
veh18,4958,,4.95958,0,CPM_DROP_PHY,10,18,4958,4453
veh18,4957,,4.97433,0,CPM_DROP_PHY,4,18,4957,4452
veh18,4976,,4.98758,0,CPM_DROP_PHY,8,18,4976,4495
veh18,4983,,4.99683,0,CPM_DROP_PHY,1,18,4983,4509
veh18,5008,5.00851,,0,CAM,18,,5008,-1
veh18,5006,,5.01108,0,CPM_DROP_PHY,2,18,5006,4553
veh18,5012,,5.02758,1,CAM,8,18,5012,-1
veh18,5034,,5.04083,0,CPM_DROP_PHY,13,18,5034,4599
veh18,5041,,5.05108,0,CAM_DROP_PHY,2,18,5041,4611
veh18,5041,,5.05433,0,CPM_DROP_PHY,3,18,5041,4613
veh18,5050,,5.05958,0,CPM_DROP_PHY,17,18,5050,4622
veh18,5058,,5.05958,0,CPM_DROP_PHY,10,18,5058,4641
veh18,5058,,5.06083,0,CAM_DROP_PHY,13,18,5058,4640
veh18,5057,,5.07433,0,CPM_DROP_PHY,4,18,5057,4639
veh18,5059,,5.07633,0,CPM_DROP_PHY,5,18,5059,4649
veh18,5072,,5.08708,0,CPM_DROP_PHY,9,18,5072,4677
veh18,5083,,5.09683,0,CPM_DROP_PHY,1,18,5083,4701
veh18,5085,,5.10333,0,CPM_DROP_PHY,6,18,5085,4704
veh18,5106,,5.11108,0,CPM_DROP_PHY,2,18,5106,4743
veh18,5134,,5.14083,0,CPM_DROP_PHY,13,18,5134,4782
veh18,5141,,5.15033,0,CPM_DROP_PHY,3,18,5141,4792
veh18,5150,,5.15958,0,CPM_DROP_PHY,17,18,5150,4804
veh18,5158,,5.17283,0,CPM_DROP_PHY,10,18,5158,4816
veh18,5157,,5.17433,0,CPM_DROP_PHY,4,18,5157,4815
veh18,5179,,5.18158,0,CPM_DROP_PHY,12,18,5179,4853
veh18,5172,,5.18708,0,CPM_DROP_PHY,9,18,5172,4834
veh18,5176,,5.18758,0,CPM_DROP_PHY,8,18,5176,4849
veh18,5206,,5.21108,0,CPM_DROP_PHY,2,18,5206,4911
veh18,5241,,5.25033,0,CPM_DROP_PHY,3,18,5241,4956
veh18,5241,,5.25108,0,CAM_DROP_PHY,2,18,5241,4953
veh18,5259,,5.27633,0,CPM_DROP_PHY,5,18,5259,4989
veh18,5279,,5.28408,0,CPM_DROP_PHY,12,18,5279,5020
veh18,5272,,5.28708,0,CPM_DROP_PHY,9,18,5272,5005
veh18,5276,,5.28758,0,CPM_DROP_PHY,8,18,5276,5017
veh18,5285,,5.30183,0,CPM_DROP_PHY,6,18,5285,5033
veh18,5306,,5.31108,0,CPM_DROP_PHY,2,18,5306,5073
veh18,5323,,5.32408,0,CAM_DROP_PHY,12,18,5323,5098
veh18,5341,,5.35033,0,CPM_DROP_PHY,3,18,5341,5126
veh18,5350,,5.35858,0,CPM_DROP_PHY,17,18,5350,5139
veh18,5357,,5.37183,0,CPM_DROP_PHY,4,18,5357,5149
veh18,5359,,5.37633,0,CPM_DROP_PHY,5,18,5359,5153
veh18,5379,,5.38408,0,CPM_DROP_PHY,12,18,5379,5182
veh18,5383,,5.39683,0,CPM_DROP_PHY,1,18,5383,5193
veh18,5406,,5.42308,0,CPM_DROP_PHY,2,18,5406,5238
veh18,5441,,5.44308,0,CAM_DROP_PHY,2,18,5441,5275
veh18,5446,,5.45258,0,CAM_DROP_PHY,20,18,5446,5284
veh18,5450,,5.45858,0,CPM_DROP_PHY,17,18,5450,5293
veh18,5457,,5.47183,0,CPM_DROP_PHY,4,18,5457,5307
veh18,5458,,5.47283,0,CPM_DROP_PHY,10,18,5458,5309
veh18,5459,,5.47633,0,CPM_DROP_PHY,5,18,5459,5314
veh18,5465,,5.47858,1,CAM,17,18,5465,-1
veh18,5479,,5.48408,0,CPM_DROP_PHY,12,18,5479,5352
veh18,5472,,5.48708,0,CPM_DROP_PHY,9,18,5472,5337
veh18,5541,,5.55033,0,CPM_DROP_PHY,3,18,5541,5456
veh18,5534,,5.55183,0,CAM_DROP_PHY,4,18,5534,5449
veh18,5550,,5.55858,0,CPM_DROP_PHY,17,18,5550,5467
veh18,5557,,5.57183,0,CPM_DROP_PHY,4,18,5557,5479
veh18,5558,,5.57283,0,CPM_DROP_PHY,10,18,5558,5480
veh18,5559,,5.57633,0,CPM_DROP_PHY,5,18,5559,5484
veh18,5571,,5.57633,0,CAM_DROP_PHY,5,18,5571,5484
veh18,5579,,5.58408,0,CPM_DROP_PHY,12,18,5579,5521
veh18,5583,,5.59558,0,CPM_DROP_PHY,1,18,5583,5533
veh18,5595,,5.60458,0,CAM_DROP_PHY,16,18,5595,5563
veh18,5606,,5.62308,0,CPM_DROP_PHY,2,18,5606,5586
veh18,5623,,5.63033,0,CAM_DROP_PHY,3,18,5623,5609
veh18,5634,,5.64083,0,CPM_DROP_PHY,13,18,5634,5626
veh18,5641,,5.64308,0,CAM_DROP_PHY,2,18,5641,5638
veh18,5641,,5.65033,0,CPM_DROP_PHY,3,18,5641,5641
veh18,5638,,5.65283,0,CAM_DROP_PHY,10,18,5638,5633
veh18,5658,,5.67283,0,CPM_DROP_PHY,10,18,5658,5676
veh18,5679,,5.68408,0,CPM_DROP_PHY,12,18,5679,5713
veh18,5672,,5.68708,0,CPM_DROP_PHY,9,18,5672,5702
veh18,5683,,5.69558,0,CPM_DROP_PHY,1,18,5683,5721
veh18,5708,5.70851,,0,CAM,18,,5708,-1
veh18,5706,,5.72308,0,CPM_DROP_PHY,2,18,5706,5772
veh18,5736,,5.74183,1,CAM,6,18,5736,-1
veh18,5750,,5.75858,0,CPM_DROP_PHY,17,18,5750,5841
veh18,5758,,5.76908,0,CPM_DROP_PHY,10,18,5758,5859
veh18,5772,,5.78708,0,CPM_DROP_PHY,9,18,5772,5887
veh18,5783,,5.79558,0,CPM_DROP_PHY,1,18,5783,5902
veh18,5791,,5.80708,0,CAM_DROP_PHY,9,18,5791,5934
veh18,5806,,5.81558,0,CAM_DROP_PHY,1,18,5806,5960
veh18,5841,,5.84308,1,CAM,2,18,5841,-1
