time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
4.45958,veh19,cpm_drop_reaction,10,4458,2942,-1,-1,0,0,3.47
4.47433,veh19,drop_decision_no_action,4,4457,2937,-1,-1,-1,-1,-1
4.49133,veh19,drop_decision_no_action,8,4476,2976,-1,-1,-1,-1,-1
4.51833,veh19,drop_decision_no_action,2,4506,3019,-1,-1,-1,-1,-1
4.55958,veh19,drop_decision_no_action,10,4558,3090,-1,-1,-1,-1,-1
4.58708,veh19,cpm_drop_reaction,9,4572,3110,-1,-1,0,0,3.47
4.59133,veh19,drop_decision_no_action,8,4576,3120,-1,-1,-1,-1,-1
4.61108,veh19,drop_decision_no_action,2,4606,3169,-1,-1,-1,-1,-1
4.63433,veh19,drop_decision_no_action,3,4623,3193,-1,-1,-1,-1,-1
4.63958,veh19,drop_decision_no_action,10,4638,3206,-1,-1,-1,-1,-1
4.65108,veh19,drop_decision_no_action,2,4641,3213,-1,-1,-1,-1,-1
4.65958,veh19,drop_decision_no_action,10,4658,3239,-1,-1,-1,-1,-1
4.67433,veh19,drop_decision_no_action,4,4657,3238,-1,-1,-1,-1,-1
4.67633,veh19,drop_decision_no_action,5,4659,3243,-1,-1,-1,-1,-1
4.68708,veh19,cpm_drop_reaction,9,4672,3256,-1,-1,0,0,3.47
4.69133,veh19,drop_decision_no_action,8,4676,3268,-1,-1,-1,-1,-1
4.69683,veh19,drop_decision_no_action,1,4683,3282,-1,-1,-1,-1,-1
4.70283,veh19,drop_decision_no_action,15,4682,3278,-1,-1,-1,-1,-1
4.70333,veh19,drop_decision_no_action,6,4685,3284,-1,-1,-1,-1,-1
4.71108,veh19,drop_decision_no_action,2,4706,3328,-1,-1,-1,-1,-1
4.71333,veh19,drop_decision_no_action,18,4708,3333,-1,-1,-1,-1,-1
4.77633,veh19,drop_decision_no_action,5,4771,3418,-1,-1,-1,-1,-1
4.78158,veh19,drop_decision_no_action,12,4779,3451,-1,-1,-1,-1,-1
4.79133,veh19,cpm_drop_reaction,8,4776,3448,-1,-1,0,0,3.47
4.81108,veh19,drop_decision_no_action,2,4806,3504,-1,-1,-1,-1,-1
4.85433,veh19,drop_decision_no_action,3,4841,3557,-1,-1,-1,-1,-1
4.85958,veh19,drop_decision_no_action,10,4858,3580,-1,-1,-1,-1,-1
4.87433,veh19,drop_decision_no_action,4,4857,3579,-1,-1,-1,-1,-1
4.88158,veh19,drop_decision_no_action,12,4879,3622,-1,-1,-1,-1,-1
4.89133,veh19,cpm_drop_reaction,8,4876,3618,-1,-1,0,0,3.47
4.90333,veh19,drop_decision_no_action,6,4885,3637,-1,-1,-1,-1,-1
4.95433,veh19,drop_decision_no_action,3,4941,3741,-1,-1,-1,-1,-1
4.98158,veh19,drop_decision_no_action,12,4979,3800,-1,-1,-1,-1,-1
4.98758,veh19,drop_decision_no_action,8,4976,3797,-1,-1,-1,-1,-1
5.02758,veh19,cam_drop_reaction,8,5012,3863,-1,-1,0,0,3.47
