vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh20,4741,,4.75108,1,CAM,2,20,4741,-1
veh20,4771,,4.77633,1,CAM,5,20,4771,-1
veh20,4779,,4.78158,0,CPM_DROP_PHY,12,20,4779,3451
veh20,4772,,4.78708,0,CPM_DROP_PHY,9,20,4772,3435
veh20,4776,,4.79133,0,CPM_DROP_PHY,8,20,4776,3448
veh20,4791,,4.80708,0,CAM_DROP_PHY,9,20,4791,3477
veh20,4806,,4.81683,1,CAM,1,20,4806,-1
veh20,4841,,4.85108,0,CAM_DROP_PHY,2,20,4841,3556
veh20,4841,,4.85433,0,CPM_DROP_PHY,3,20,4841,3557
veh20,4858,,4.85958,0,CPM_DROP_PHY,10,20,4858,3580
veh20,4868,,4.87408,1,CAM,19,20,4868,-1
veh20,4857,,4.87433,0,CPM_DROP_PHY,4,20,4857,3579
veh20,4883,,4.89683,0,CPM_DROP_PHY,1,20,4883,3634
veh20,4885,,4.90333,0,CPM_DROP_PHY,6,20,4885,3637
veh20,4908,,4.91333,1,CAM,18,20,4908,-1
veh20,4941,,4.95108,1,CAM,2,20,4941,-1
veh20,4941,,4.95433,0,CPM_DROP_PHY,3,20,4941,3741
veh20,4958,,4.95958,0,CPM_DROP_PHY,10,20,4958,3765
veh20,4979,,4.98158,0,CPM_DROP_PHY,12,20,4979,3800
veh20,4972,,4.98708,0,CPM_DROP_PHY,9,20,4972,3786
veh20,4985,,5.00333,0,CPM_DROP_PHY,6,20,4985,3808
veh20,5012,,5.02758,0,CAM_DROP_PHY,8,20,5012,3863
veh20,5041,,5.05108,1,CAM,2,20,5041,-1
veh20,5041,,5.05433,0,CPM_DROP_PHY,3,20,5041,3895
veh20,5058,,5.05958,0,CPM_DROP_PHY,10,20,5058,3920
veh20,5068,,5.07408,1,CAM,19,20,5068,-1
veh20,5057,,5.07433,0,CPM_DROP_PHY,4,20,5057,3919
veh20,5059,,5.07633,0,CPM_DROP_PHY,5,20,5059,3925
veh20,5079,,5.08158,0,CPM_DROP_PHY,12,20,5079,3963
veh20,5072,,5.08708,0,CPM_DROP_PHY,9,20,5072,3943
veh20,5076,,5.08758,0,CPM_DROP_PHY,8,20,5076,3959
veh20,5083,,5.09158,0,CPM_DROP_PHY,18,20,5083,3976
veh20,5083,,5.09683,0,CPM_DROP_PHY,1,20,5083,3975
veh20,5108,,5.12758,1,CAM,18,20,5108,-1
veh20,5158,,5.17283,0,CPM_DROP_PHY,10,20,5158,4096
veh20,5157,,5.17433,0,CPM_DROP_PHY,4,20,5157,4095
veh20,5176,,5.18758,0,CPM_DROP_PHY,8,20,5176,4122
veh20,5183,,5.19683,0,CPM_DROP_PHY,1,20,5183,4137
veh20,5182,,5.20283,1,CAM,15,20,5182,-1
veh20,5241,,5.25033,0,CPM_DROP_PHY,3,20,5241,4230
veh20,5241,,5.25108,0,CAM_DROP_PHY,2,20,5241,4228
veh20,5258,,5.27283,0,CPM_DROP_PHY,10,20,5258,4258
veh20,5268,,5.27408,0,CAM_DROP_PHY,19,20,5268,4269
veh20,5259,,5.27633,0,CPM_DROP_PHY,5,20,5259,4259
veh20,5323,,5.32408,0,CAM_DROP_PHY,12,20,5323,4387
veh20,5308,,5.32758,1,CAM,18,20,5308,-1
veh20,5341,,5.35033,0,CPM_DROP_PHY,3,20,5341,4417
veh20,5372,,5.38708,0,CPM_DROP_PHY,9,20,5372,4452
veh20,5376,,5.38758,0,CPM_DROP_PHY,8,20,5376,4461
veh20,5383,,5.39683,0,CPM_DROP_PHY,1,20,5383,4473
