vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh3,52067,0.733792,,0,CAM,3,,52067,-1
veh3,52243,0.933792,,0,CAM,3,,52243,-1
veh3,52453,1.13379,,0,CAM,3,,52453,-1
veh3,52790,1.33379,,0,CAM,3,,52790,-1
veh3,53023,1.53379,,0,CAM,3,,53023,-1
veh3,53272,1.73379,,0,CAM,3,,53272,-1
veh3,53532,1.93379,,0,CAM,3,,53532,-1
veh3,53897,2.13379,,0,CAM,3,,53897,-1
veh3,54163,2.33379,,0,CAM,3,,54163,-1
veh3,54446,2.53379,,0,CAM,3,,54446,-1
veh3,54600,2.63379,,0,CAM,3,,54600,-1
veh3,54854,2.73379,,0,CAM,3,,54854,-1
veh3,55008,2.83379,,0,CAM,3,,55008,-1
veh3,55153,2.93379,,0,CAM,3,,55153,-1
veh3,55309,3.03379,,0,CAM,3,,55309,-1
veh3,55614,3.23379,,0,CAM,3,,55614,-1
veh3,56024,3.43379,,0,CAM,3,,56024,-1
veh3,56336,3.63379,,0,CAM,3,,56336,-1
veh3,56656,3.83379,,0,CAM,3,,56656,-1
veh3,57079,4.03379,,0,CAM,3,,57079,-1
veh3,57402,4.23379,,0,CAM,3,,57402,-1
veh3,57725,4.43379,,0,CAM,3,,57725,-1
veh3,58142,4.63379,,0,CAM,3,,58142,-1
veh3,58614,4.93379,,0,CAM,3,,58614,-1
veh3,58771,5.03379,,0,CAM,3,,58771,-1
veh3,59031,5.13379,,0,CAM,3,,59031,-1
veh3,59184,5.23379,,0,CAM,3,,59184,-1
veh3,59341,5.33379,,0,CAM,3,,59341,-1
veh3,59642,5.53379,,0,CAM,3,,59642,-1
veh3,60046,5.73379,,0,CAM,3,,60046,-1
veh3,60514,6.03379,,0,CAM,3,,60514,-1
veh3,61078,6.33379,,0,CAM,3,,61078,-1
veh3,61514,6.63379,,0,CAM,3,,61514,-1
veh3,62073,6.93379,,0,CAM,3,,62073,-1
veh3,62542,7.23379,,0,CAM,3,,62542,-1
veh3,63094,7.53379,,0,CAM,3,,63094,-1
veh3,63542,7.83379,,0,CAM,3,,63542,-1
veh3,64164,8.13379,,0,CAM,3,,64164,-1
veh3,64590,8.43379,,0,CAM,3,,64590,-1
veh3,65021,8.73379,,0,CAM,3,,65021,-1
veh3,3,9.03379,,0,CAM,3,,3,-1
veh3,425,9.33379,,0,CAM,3,,425,-1
veh3,936,9.63379,,0,CAM,3,,936,-1
veh3,1354,9.93379,,0,CAM,3,,1354,-1
veh3,699539166865,,10.0446,0,CPM_DROP_PHY,7,3,699539166865,1390
veh3,1654,,10.0446,0,CAM_DROP_PHY,7,3,1654,1390
veh3,1677,,10.0546,0,CAM_DROP_PHY,9,3,1677,1404
veh3,699539167052,,10.0703,0,CPM_DROP_PHY,4,3,699539167052,1426
veh3,699539167037,,10.0746,0,CPM_DROP_PHY,9,3,699539167037,1419
veh3,1763,,10.0901,1,CAM,10,3,1763,-1
veh3,1793,,10.0986,1,CAM,2,3,1793,-1
veh3,1804,,10.1026,1,CAM,11,3,1804,-1
veh3,1899,,10.1116,0,CAM_DROP_PHY,5,3,1899,1495
veh3,1888,,10.1136,0,CAM_DROP_PHY,12,3,1888,1478
veh3,1928,,10.1303,0,CAM_DROP_PHY,4,3,1928,1522
veh3,1960,10.1338,,0,CAM,3,,1960,-1
veh3,1946,,10.1491,1,CAM,8,3,1946,-1
veh3,2001,,10.1546,1,CAM,9,3,2001,-1
veh3,2008,,10.1638,1,CAM,6,3,2008,-1
veh3,699539167342,,10.1638,0,CPM_DROP_PHY,6,3,699539167342,1590
veh3,699539167354,,10.1703,0,CPM_DROP_PHY,4,3,699539167354,1621
veh3,2077,,10.1986,1,CAM,2,3,2077,-1
veh3,2083,,10.2026,0,CAM_DROP_PHY,11,3,2083,1669
veh3,699539167521,,10.2316,0,CPM_DROP_PHY,5,3,699539167521,1708
veh3,2238,,10.2491,0,CAM_DROP_PHY,7,3,2238,1729
veh3,699539167575,,10.2536,0,CPM_DROP_PHY,12,3,699539167575,1754
veh3,699539167588,,10.2638,0,CPM_DROP_PHY,6,3,699539167588,1767
veh3,699539167597,,10.2703,0,CPM_DROP_PHY,4,3,699539167597,1774
veh3,2303,,10.2901,0,CAM_DROP_PHY,10,3,2303,1797
veh3,2323,,10.2986,0,CAM_DROP_PHY,2,3,2323,1819
veh3,2328,,10.3026,1,CAM,11,3,2328,-1
veh3,2423,,10.3116,1,CAM,5,3,2423,-1
veh3,699539167754,,10.3186,0,CPM_DROP_PHY,2,3,699539167754,1847
veh3,2449,,10.3303,0,CAM_DROP_PHY,4,3,2449,1864
veh3,699539167796,,10.3446,0,CPM_DROP_PHY,7,3,699539167796,1893
veh3,2465,,10.3491,0,CAM_DROP_PHY,8,3,2465,1886
veh3,2499,,10.3546,0,CAM_DROP_PHY,9,3,2499,1919
veh3,2506,,10.3638,0,CAM_DROP_PHY,6,3,2506,1922
veh3,699539167979,,10.3891,0,CPM_DROP_PHY,8,3,699539167979,1977
veh3,2672,,10.3986,0,CAM_DROP_PHY,2,3,2672,1987
veh3,2679,,10.4026,0,CAM_DROP_PHY,11,3,2679,1985
veh3,2766,,10.4136,1,CAM,12,3,2766,-1
veh3,699539168102,,10.4186,0,CPM_DROP_PHY,2,3,699539168102,2012
veh3,2823,10.4338,,0,CAM,3,,2823,-1
veh3,699539168189,,10.4638,0,CPM_DROP_PHY,6,3,699539168189,2085
veh3,2898,,10.4901,1,CAM,10,3,2898,-1
veh3,2916,,10.4986,0,CAM_DROP_PHY,2,3,2916,2126
veh3,2922,,10.5026,1,CAM,11,3,2922,-1
veh3,699539168340,,10.5101,0,CPM_DROP_PHY,10,3,699539168340,2147
veh3,3017,,10.5116,1,CAM,5,3,3017,-1
veh3,699539168348,,10.5186,0,CPM_DROP_PHY,2,3,699539168348,2154
veh3,3038,,10.5303,1,CAM,4,3,3038,-1
veh3,699539168364,,10.5316,0,CPM_DROP_PHY,5,3,699539168364,2177
veh3,3054,,10.5491,1,CAM,8,3,3054,-1
veh3,699539168419,,10.5536,0,CPM_DROP_PHY,12,3,699539168419,2233
veh3,3095,,10.5546,1,CAM,9,3,3095,-1
veh3,3103,,10.5638,0,CAM_DROP_PHY,6,3,3103,2234
veh3,699539168445,,10.5703,0,CPM_DROP_PHY,4,3,699539168445,2265
veh3,3176,,10.5986,1,CAM,2,3,3176,-1
veh3,3182,,10.6026,0,CAM_DROP_PHY,11,3,3182,2314
veh3,3268,,10.6136,1,CAM,12,3,3268,-1
