messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,7,1654,45.0522,7.6553,90,17.64,-1.4
2,2,1793,45.0522,7.65724,90,6.97,-7
2,3,1960,45.0522,7.65602,90,15.93,-1.3
2,8,1946,45.0522,7.65516,90,18.37,3.9
2,6,2008,45.0522,7.6555,90,17.66,3.6
2,2,2077,45.0522,7.65725,90,6.27,-7
2,11,2083,45.0523,7.65789,270,14.73,-7
2,7,2238,45.0522,7.65534,90,18.28,3.4
2,2,2323,45.0522,7.65726,90,5.39,-8.9
2,8,2465,45.0522,7.6552,90,19.17,3.9
2,11,2679,45.0523,7.65786,270,13.33,-7
2,2,2916,45.0522,7.65727,90,3.59,-8.9
2,9,3095,45.0522,7.65504,90,20.48,3.8
2,5,3512,45.0522,7.6558,90,19.44,3.8
2,9,3697,45.0522,7.6551,90,21.25,3.8
2,6,3705,45.0522,7.65564,90,19.87,3.7
2,11,4009,45.0523,7.65778,270,9.83,-7
2,12,4097,45.0523,7.65791,270,16.34,2.6
2,5,4106,45.0522,7.65585,90,20.22,3.8
2,8,4148,45.0522,7.65536,90,21.55,3.4
2,11,4502,45.0523,7.65776,270,8.43,-7
2,9,4783,45.0522,7.65521,90,22.65,3.3
2,2,4856,45.0522,7.65728,90,0,-0.5
2,12,5201,45.0523,7.65783,270,16.66,2.9
2,5,5207,45.0522,7.65596,90,21.77,3.8
2,6,5300,45.0522,7.6558,90,22.12,3.7
2,10,5578,45.0523,7.65744,270,19.87,2.8
2,5,5789,45.0522,7.65601,90,22.55,3.8
2,6,5885,45.0522,7.65585,90,22.82,-1.8
2,11,5945,45.0523,7.65771,270,7.99,-0.1
2,12,6038,45.0523,7.65777,270,16.68,2.7
2,7,6098,45.0522,7.65566,90,17.53,-1.3
2,10,6161,45.0523,7.65739,270,19.15,-7
2,5,6289,45.0523,7.65607,90,22.47,-1.8
2,8,6336,45.0522,7.65559,90,23.23,-1.8
2,6,6376,45.0522,7.65591,90,22.46,-1.8
2,2,6680,45.0522,7.65728,90,0.1,0
2,12,6881,45.0523,7.6577,270,16.66,2.9
2,5,6887,45.0523,7.65613,90,22.11,-1.8
2,6,6985,45.0522,7.65597,90,22.1,-1.8
2,9,6977,45.0522,7.65544,90,23.19,-1.8
2,7,6953,45.0522,7.65573,90,17.13,-1.3
2,11,7055,45.0523,7.65767,270,7.99,0
2,8,7414,45.0522,7.6557,90,22.51,-1.8
2,10,7511,45.0523,7.65728,270,15.65,-7
2,7,7693,45.0522,7.65579,90,16.72,-1.3
2,3,8026,45.0522,7.65642,90,12.89,-1.3
2,6,8070,45.0523,7.65608,90,21.38,-1.8
2,12,8223,45.0523,7.6576,270,16.14,-5
2,10,8340,45.0523,7.65723,270,13.55,-7
2,12,8456,45.0523,7.65758,270,15.64,-5
2,8,8505,45.0522,7.65581,90,21.79,-1.8
2,7,8541,45.0522,7.65586,90,16.32,-1.3
2,10,8616,45.0523,7.65721,270,12.85,-7
2,10,8867,45.0523,7.65719,270,12.15,-7
2,2,8988,45.0522,7.65728,90,0,-0.5
2,12,9348,45.0523,7.65752,270,14.14,-5
2,9,9688,45.0522,7.65572,90,21.39,-1.8
2,6,9696,45.0523,7.65623,90,20.3,-1.8
2,11,9762,45.0523,7.65757,270,7.99,0.4
2,12,9864,45.0523,7.65749,270,13.14,-5
2,2,10803,45.0522,7.65728,90,0.05,-0.5
2,12,11005,45.0523,7.65747,270,12.55,-7
2,8,11058,45.0522,7.65597,90,20.71,-1.8
2,10,11171,45.0523,7.65713,270,8.65,-7
2,8,11558,45.0522,7.65602,90,20.35,-1.8
2,8,12209,45.0523,7.65607,90,19.99,-1.8
2,12,12442,45.0523,7.65741,270,9.05,-7
2,7,12761,45.0522,7.65609,90,14.72,-1.3
2,9,12773,45.0522,7.65593,90,19.95,-1.8
2,6,12789,45.0523,7.65643,90,18.86,-1.8
2,8,13116,45.0523,7.65615,90,19.45,-1.8
2,12,13624,45.0523,7.65737,270,7.99,-0.4
2,2,13480,45.0522,7.65728,90,0.1,0
2,10,13756,45.0523,7.65704,270,7.99,-0.2
2,9,14084,45.0522,7.65602,90,19.23,-1.8
2,12,14300,45.0523,7.65735,270,7.99,0.3
2,11,14156,45.0523,7.65747,270,6.09,0.5
2,5,14581,45.0523,7.65672,90,17.79,-1.8
2,7,14648,45.0522,7.6562,90,13.92,-1.3
2,8,14929,45.0523,7.65629,90,18.37,-1.8
2,11,15136,45.0523,7.65745,270,6.34,0.9
2,9,16120,45.0523,7.65616,90,18.15,-1.8
2,11,16185,45.0523,7.65742,270,6.54,0.4
2,10,16497,45.0523,7.65696,270,7.99,0.1
2,3,17491,45.0522,7.6568,90,9.11,-1.3
2,5,17779,45.0523,7.65692,90,16.17,-1.8
2,7,17849,45.0522,7.65635,90,12.73,-1.3
2,6,17873,45.0523,7.65676,90,16.16,-1.8
2,9,18307,45.0523,7.6563,90,17.07,-1.8
2,11,18371,45.0523,7.65737,270,6.87,0.8
2,5,18939,45.0523,7.65697,90,15.63,-1.8
2,7,19012,45.0522,7.65639,90,12.33,-1.3
2,12,19395,45.0523,7.65721,270,7.99,0.3
2,9,19477,45.0523,7.65636,90,16.53,-1.8
2,5,20119,45.0523,7.65703,90,15.09,-1.8
2,7,20186,45.0522,7.65644,90,11.94,-1.3
2,6,20199,45.0523,7.65687,90,15.08,-1.8
2,8,20612,45.0523,7.65661,90,15.67,-1.8
2,3,20617,45.0522,7.65689,90,8.04,-1.3
2,12,21293,45.0523,7.65716,270,7.99,0
2,6,21386,45.0523,7.65693,90,15,0
2,2,21903,45.0522,7.65728,90,0.1,0
2,3,22179,45.0522,7.65693,90,7.51,-1.3
2,11,22292,45.0523,7.65728,270,7.25,0.5
2,5,22536,45.0523,7.65715,90,15,0
2,6,22626,45.0523,7.65699,90,15,0
2,10,22767,45.0523,7.6568,270,7.99,0.2
2,9,23125,45.0523,7.65654,90,15,0
2,12,23901,45.0523,7.65709,270,7.99,0
2,8,24340,45.0523,7.65678,90,15,0
2,5,25155,45.0523,7.65726,90,15,0
2,10,26182,45.0523,7.65672,270,7.99,0.1
2,11,26580,45.0523,7.65719,270,7.5,0.1
2,8,26862,45.0523,7.65689,90,15,0
2,5,27734,45.0523,7.65737,90,15,0
2,10,27471,45.0523,7.65669,270,7.99,0.1
2,6,29091,45.0523,7.65727,90,15,0
2,11,29270,45.0523,7.65714,270,7.6,0.2
2,12,29850,45.0523,7.65695,270,7.99,0.1
2,7,29919,45.0523,7.65674,90,11.27,3.9
2,6,30427,45.0523,7.65732,90,15,0
2,3,30742,45.0522,7.65708,90,4.89,-1.2
2,11,30864,45.0523,7.6571,270,7.66,0
2,12,31540,45.0523,7.65691,270,7.99,-0.3
2,7,31605,45.0523,7.6568,90,12.87,3.9
2,3,32374,45.0522,7.6571,90,4.37,-1.2
2,6,32768,45.0523,7.65744,90,15,0
2,2,32830,45.0522,7.65729,90,0.1,0
2,9,33099,45.0523,7.65699,90,15,0
2,12,33457,45.0523,7.65686,270,7.99,-0.2
2,7,33860,45.0523,7.65691,90,15,-0.1
2,6,33876,45.0523,7.65749,90,15,0
2,10,33932,45.0523,7.65653,270,7.99,0.2
2,12,34532,45.0523,7.65683,270,7.99,0.4
2,5,34862,45.0523,7.65771,90,15,0
2,11,35007,45.0523,7.65699,270,7.78,0.3
2,6,35964,45.0523,7.65761,90,15,0
2,8,36215,45.0523,7.65734,90,15,0
2,9,36241,45.0523,7.65716,90,15,0
2,6,36901,45.0523,7.65766,90,15,0
2,2,37245,45.0522,7.65729,90,0,-0.5
2,12,37384,45.0523,7.65674,270,7.99,0.3
2,10,38427,45.0523,7.65639,270,7.99,0
2,7,38744,45.0523,7.65719,90,15,0
2,6,38759,45.0523,7.65777,90,15,0
2,12,38946,45.0523,7.65669,270,7.99,-0.2
2,9,39007,45.0523,7.65732,90,15,0
2,6,39521,45.0523,7.65783,90,15,0
2,5,39787,45.0523,7.65806,72.5,15,0
2,2,39912,45.0522,7.65729,90,0.05,-0.5
2,6,40319,45.0523,7.65789,90,15,0
2,12,40487,45.0523,7.65663,270,7.99,0
2,5,40493,45.0523,7.6581,56.3,15,0
2,3,40543,45.0523,7.6572,90,3.09,4
2,7,41080,45.0523,7.65736,90,15,0
2,8,41287,45.0523,7.65768,90,15,0
2,3,41525,45.0523,7.65722,90,4.69,4
2,6,41547,45.0523,7.65803,80.4,15,0
2,11,41603,45.0523,7.65676,270,7.9,-0.1
2,12,41997,45.0523,7.65657,270,7.99,0
2,8,42049,45.0523,7.65773,90,15,0
2,9,42090,45.0523,7.65755,90,15,0
2,3,42453,45.0523,7.65725,90,6.29,4
2,7,42472,45.0523,7.65747,90,15,0
2,6,42489,45.0523,7.65809,56.3,15,0
2,5,42650,45.0524,7.65824,56.3,15,0
2,8,42689,45.0523,7.65779,90,15,0
2,6,42728,45.0523,7.65811,56.3,15,0
2,6,43710,45.0523,7.65813,56.3,15,0
2,10,43849,45.0523,7.65621,270,7.99,0.3
2,6,44035,45.0523,7.65814,56.3,15,0
2,8,44211,45.0523,7.65785,90,15,0
2,9,44248,45.0523,7.65766,90,15,0
2,5,44895,45.0524,7.65834,56.3,15,0
2,8,44930,45.0523,7.6579,90,15,0
2,10,45172,45.0523,7.65615,270,7.99,0.1
2,12,45465,45.0523,7.65645,270,7.99,0
2,5,45662,45.0525,7.65839,50.8,15,0
2,2,46028,45.0522,7.65729,90,0.1,0
2,5,46115,45.0525,7.6584,21.7,15,0
2,9,46188,45.0523,7.65783,90,15,0
2,3,46344,45.0523,7.65741,90,11.89,3.9
2,11,46446,45.0523,7.65659,270,7.95,0.2
2,3,46744,45.0523,7.65744,90,12.69,3.9
2,2,47089,45.0522,7.65729,90,0.1,0
2,7,47228,45.0523,7.65781,90,15,0
2,3,47571,45.0523,7.6575,90,14.29,3.9
2,11,47640,45.0523,7.65653,270,7.95,-0.1
2,7,47760,45.0523,7.65787,90,15,0
2,3,48032,45.0523,7.65754,90,15,0
2,6,48057,45.0525,7.6584,14.3,15,0
2,7,48423,45.0523,7.65792,90,15,0
2,3,48604,45.0523,7.6576,90,15,0
2,6,48627,45.0525,7.65841,9.4,15,0
2,8,48779,45.0524,7.65826,56.3,15,0
2,9,48809,45.0523,7.65811,56.3,15,0
2,3,49259,45.0523,7.65765,90,15,0
2,5,49411,45.0527,7.65844,9.4,15,0
2,7,49452,45.0523,7.65806,69.8,15,0
2,2,49536,45.0522,7.65729,90,0.05,-0.5
2,6,49665,45.0526,7.65842,9.4,15,0
2,3,49811,45.0523,7.65771,90,15,0
2,8,50083,45.0524,7.65836,56.3,15,0
2,5,50429,45.0528,7.65844,354.1,15,0
2,7,50473,45.0523,7.65814,56.3,15,0
2,9,50490,45.0524,7.65824,56.3,15,0
2,5,50636,45.0528,7.65844,348.7,15,0
2,8,50658,45.0525,7.65839,45,15,0
2,8,50825,45.0525,7.6584,30.2,15,0
2,8,51102,45.0525,7.6584,15.9,15,0
2,7,51120,45.0524,7.65819,56.3,15,0
2,7,51695,45.0524,7.65823,56.3,15,0
2,3,51683,45.0523,7.65788,90,15,0
2,9,51712,45.0524,7.65833,56.3,15,0
