time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0316,veh9,cpm_drop_reaction,5,699539166838,1381,-1,-1,0,1,45
10.1068,veh9,drop_decision_no_action,2,1793,1470,-1,-1,-1,-1,-1
10.1101,veh9,drop_decision_no_action,10,699539167223,1496,-1,-1,-1,-1,-1
10.1116,veh9,drop_decision_no_action,5,1899,1495,-1,-1,-1,-1,-1
10.1283,veh9,drop_decision_no_action,12,1888,1478,-1,-1,-1,-1,-1
10.1303,veh9,drop_decision_no_action,4,1928,1522,-1,-1,-1,-1,-1
10.1316,veh9,drop_decision_no_action,5,699539167256,1529,-1,-1,-1,-1,-1
10.1491,veh9,drop_decision_no_action,8,1946,1548,-1,-1,-1,-1,-1
10.1536,veh9,drop_decision_no_action,12,699539167325,1589,-1,-1,-1,-1,-1
10.1638,veh9,drop_decision_no_action,6,2008,1590,-1,-1,-1,-1,-1
10.1638,veh9,drop_decision_no_action,6,699539167342,1590,-1,-1,-1,-1,-1
10.2026,veh9,drop_decision_no_action,11,2083,1669,-1,-1,-1,-1,-1
10.2068,veh9,drop_decision_no_action,2,2077,1665,-1,-1,-1,-1,-1
10.2101,veh9,drop_decision_no_action,10,699539167496,1686,-1,-1,-1,-1,-1
10.2638,veh9,drop_decision_no_action,6,699539167588,1767,-1,-1,-1,-1,-1
10.2901,veh9,drop_decision_no_action,10,2303,1797,-1,-1,-1,-1,-1
10.2986,veh9,drop_decision_no_action,2,2323,1819,-1,-1,-1,-1,-1
10.3026,veh9,drop_decision_no_action,11,2328,1817,-1,-1,-1,-1,-1
10.3101,veh9,drop_decision_no_action,10,699539167747,1840,-1,-1,-1,-1,-1
10.3303,veh9,drop_decision_no_action,4,2449,1864,-1,-1,-1,-1,-1
10.3536,veh9,drop_decision_no_action,12,699539167823,1921,-1,-1,-1,-1,-1
10.3638,veh9,drop_decision_no_action,6,2506,1922,-1,-1,-1,-1,-1
10.3638,veh9,drop_decision_no_action,6,699539167842,1922,-1,-1,-1,-1,-1
10.3891,veh9,drop_decision_no_action,8,699539167979,1977,-1,-1,-1,-1,-1
10.4026,veh9,drop_decision_no_action,11,2679,1985,-1,-1,-1,-1,-1
10.4136,veh9,drop_decision_no_action,12,2766,1994,-1,-1,-1,-1,-1
10.4186,veh9,drop_decision_no_action,2,699539168102,2012,-1,-1,-1,-1,-1
10.4416,veh9,drop_decision_no_action,3,2823,2049,-1,-1,-1,-1,-1
10.4416,veh9,drop_decision_no_action,3,699539168147,2049,-1,-1,-1,-1,-1
