pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
1373,10.0101,CPM_DROP_PHY,699538266676,10,12.0,10.0101,cpm_drop_reaction,0,1,24,veh12,0.0,True
1373,10.0101,CPM_DROP_PHY,699538266676,10,4.0,10.0101,cpm_drop_reaction,0,1,45,veh4,0.0,True
1373,10.0101,CPM_DROP_PHY,699538266676,10,8.0,10.0101,cpm_drop_reaction,0,1,45,veh8,0.0,True
1379,10.0316,CPM_DROP_PHY,699538266708,5,10.0,10.0316,cpm_drop_reaction,0,1,24,veh10,0.0,True
1379,10.0316,CPM_DROP_PHY,699538266708,5,12.0,10.0316,drop_decision_no_action,-1,-1,-1,veh12,0.0,False
1379,10.0316,CPM_DROP_PHY,699538266708,5,4.0,10.0316,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1379,10.0316,CPM_DROP_PHY,699538266708,5,6.0,10.0316,cpm_drop_reaction,0,1,45,veh6,0.0,True
1379,10.0316,CPM_DROP_PHY,699538266708,5,9.0,10.0316,cpm_drop_reaction,0,1,45,veh9,0.0,True
1388,10.0416,CAM_DROP_PHY,18915,3,10.0,10.0416,drop_decision_no_action,-1,-1,-1,veh10,0.0,False
1388,10.0416,CAM_DROP_PHY,18915,3,12.0,10.0416,drop_decision_no_action,-1,-1,-1,veh12,0.0,False
1388,10.0416,CAM_DROP_PHY,18915,3,2.0,10.0416,drop_decision_no_action,-1,-1,-1,veh2,0.0,False
1388,10.0416,CAM_DROP_PHY,18915,3,4.0,10.0416,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1388,10.0416,CAM_DROP_PHY,18915,3,5.0,10.0416,cam_drop_reaction,0,1,45,veh5,0.0,True
1388,10.0416,CAM_DROP_PHY,18915,3,6.0,10.0416,drop_decision_no_action,-1,-1,-1,veh6,0.0,False
1389,10.0463,CPM_DROP_PHY,699538266737,7,3.0,10.0463,cpm_drop_reaction,0,1,45,veh3,0.0,True
1389,10.0491,CPM_DROP_PHY,699538266737,7,11.0,10.0491,drop_decision_no_action,-1,-1,-1,veh11,0.0,False
1389,10.0491,CPM_DROP_PHY,699538266737,7,2.0,10.0491,drop_decision_no_action,-1,-1,-1,veh2,0.0,False
1389,10.0491,CPM_DROP_PHY,699538266737,7,5.0,10.0491,drop_decision_no_action,-1,-1,-1,veh5,0.0,False
1409,10.0536,CPM_DROP_PHY,699538266775,12,10.0,10.0536,drop_decision_no_action,-1,-1,-1,veh10,0.0,False
