time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0316,veh10,cpm_drop_reaction,5,699538266708,1379,-1,-1,0,1,24
10.0416,veh10,drop_decision_no_action,3,18915,1388,-1,-1,-1,-1,-1
10.0536,veh10,drop_decision_no_action,12,699538266775,1409,-1,-1,-1,-1,-1
10.0546,veh10,drop_decision_no_action,9,18953,1406,-1,-1,-1,-1,-1
10.0638,veh10,drop_decision_no_action,6,699538266804,1425,-1,-1,-1,-1,-1
10.0703,veh10,drop_decision_no_action,4,699538266823,1433,-1,-1,-1,-1,-1
10.0746,veh10,drop_decision_no_action,9,699538266808,1426,-1,-1,-1,-1,-1
10.0891,veh10,drop_decision_no_action,8,699538266863,1465,-1,-1,-1,-1,-1
10.0986,veh10,drop_decision_no_action,2,19067,1478,-1,-1,-1,-1,-1
10.1026,veh10,drop_decision_no_action,11,19077,1482,-1,-1,-1,-1,-1
10.1116,veh10,drop_decision_no_action,5,19172,1504,-1,-1,-1,-1,-1
10.1136,veh10,drop_decision_no_action,12,19160,1486,-1,-1,-1,-1,-1
10.1491,veh10,drop_decision_no_action,7,19243,1558,-1,-1,-1,-1,-1
10.1491,veh10,drop_decision_no_action,8,19212,1550,-1,-1,-1,-1,-1
10.1536,veh10,drop_decision_no_action,12,699538267080,1591,-1,-1,-1,-1,-1
10.1546,veh10,drop_decision_no_action,9,19261,1588,-1,-1,-1,-1,-1
10.1638,veh10,drop_decision_no_action,6,19266,1592,-1,-1,-1,-1,-1
10.1746,veh10,drop_decision_no_action,9,699538267100,1614,-1,-1,-1,-1,-1
10.1986,veh10,drop_decision_no_action,2,19322,1656,-1,-1,-1,-1,-1
10.2026,veh10,drop_decision_no_action,11,19328,1660,-1,-1,-1,-1,-1
10.2316,veh10,drop_decision_no_action,5,699538267263,1694,-1,-1,-1,-1,-1
10.2416,veh10,drop_decision_no_action,3,699538267286,1713,-1,-1,-1,-1,-1
10.2491,veh10,drop_decision_no_action,7,699538267289,1716,-1,-1,-1,-1,-1
10.2536,veh10,drop_decision_no_action,12,699538267313,1740,-1,-1,-1,-1,-1
10.2746,veh10,drop_decision_no_action,9,699538267328,1754,-1,-1,-1,-1,-1
10.2986,veh10,drop_decision_no_action,2,19562,1805,-1,-1,-1,-1,-1
10.3116,veh10,drop_decision_no_action,5,19659,1825,-1,-1,-1,-1,-1
10.3303,veh10,drop_decision_no_action,4,19686,1850,-1,-1,-1,-1,-1
10.3446,veh10,drop_decision_no_action,7,19722,1879,-1,-1,-1,-1,-1
10.3536,veh10,drop_decision_no_action,12,699538267556,1908,-1,-1,-1,-1,-1
10.3638,veh10,drop_decision_no_action,6,19743,1909,-1,-1,-1,-1,-1
10.3986,veh10,drop_decision_no_action,2,19806,1970,-1,-1,-1,-1,-1
10.4026,veh10,drop_decision_no_action,11,19812,1974,-1,-1,-1,-1,-1
10.4136,veh10,drop_decision_no_action,12,19897,1975,-1,-1,-1,-1,-1
10.5026,veh10,drop_decision_no_action,11,20052,2129,-1,-1,-1,-1,-1
10.5116,veh10,drop_decision_no_action,5,20144,2145,-1,-1,-1,-1,-1
10.5303,veh10,drop_decision_no_action,4,20163,2167,-1,-1,-1,-1,-1
10.5416,veh10,drop_decision_no_action,3,20189,2190,-1,-1,-1,-1,-1
10.5491,veh10,drop_decision_no_action,7,699538268011,2193,-1,-1,-1,-1,-1
10.5491,veh10,drop_decision_no_action,7,20207,2193,-1,-1,-1,-1,-1
10.5491,veh10,drop_decision_no_action,8,20178,2184,-1,-1,-1,-1,-1
10.5546,veh10,drop_decision_no_action,9,20222,2223,-1,-1,-1,-1,-1
10.5638,veh10,drop_decision_no_action,6,20229,2227,-1,-1,-1,-1,-1
10.5746,veh10,drop_decision_no_action,9,699538268062,2249,-1,-1,-1,-1,-1
10.5986,veh10,drop_decision_no_action,2,20293,2295,-1,-1,-1,-1,-1
10.6136,veh10,drop_decision_no_action,12,20383,2302,-1,-1,-1,-1,-1
10.6186,veh10,drop_decision_no_action,2,699538268218,2324,-1,-1,-1,-1,-1
10.6746,veh10,drop_decision_no_action,9,699538268294,2405,-1,-1,-1,-1,-1
10.7026,veh10,drop_decision_no_action,11,20535,2460,-1,-1,-1,-1,-1
10.7116,veh10,drop_decision_no_action,5,20629,2476,-1,-1,-1,-1,-1
10.7136,veh10,drop_decision_no_action,12,20621,2462,-1,-1,-1,-1,-1
10.7303,veh10,drop_decision_no_action,4,20655,2504,-1,-1,-1,-1,-1
10.7491,veh10,drop_decision_no_action,8,20670,2530,-1,-1,-1,-1,-1
10.7536,veh10,drop_decision_no_action,12,699538268521,2564,-1,-1,-1,-1,-1
10.7546,veh10,drop_decision_no_action,9,20701,2561,-1,-1,-1,-1,-1
10.7548,veh10,drop_decision_no_action,7,699538268498,2539,-1,-1,-1,-1,-1
10.7638,veh10,drop_decision_no_action,6,20708,2565,-1,-1,-1,-1,-1
10.7746,veh10,drop_decision_no_action,9,699538268545,2590,-1,-1,-1,-1,-1
10.8026,veh10,drop_decision_no_action,11,20783,2642,-1,-1,-1,-1,-1
10.8136,veh10,drop_decision_no_action,12,20866,2650,-1,-1,-1,-1,-1
10.8316,veh10,drop_decision_no_action,5,699538268715,2688,-1,-1,-1,-1,-1
10.8416,veh10,drop_decision_no_action,3,20914,2709,-1,-1,-1,-1,-1
10.8616,veh10,drop_decision_no_action,3,699538268734,2709,-1,-1,-1,-1,-1
10.8638,veh10,drop_decision_no_action,6,699538268769,2744,-1,-1,-1,-1,-1
10.8986,veh10,drop_decision_no_action,2,21005,2801,-1,-1,-1,-1,-1
10.9238,veh10,drop_decision_no_action,5,699538268950,2824,-1,-1,-1,-1,-1
10.9536,veh10,drop_decision_no_action,12,699538268997,2902,-1,-1,-1,-1,-1
10.9638,veh10,drop_decision_no_action,6,21185,2905,-1,-1,-1,-1,-1
10.9746,veh10,drop_decision_no_action,9,699538269023,2928,-1,-1,-1,-1,-1
10.9986,veh10,drop_decision_no_action,2,21255,2982,-1,-1,-1,-1,-1
11.0128,veh10,drop_decision_no_action,12,21350,2991,-1,-1,-1,-1,-1
11.0548,veh10,drop_decision_no_action,7,699538269214,3044,-1,-1,-1,-1,-1
11.0638,veh10,drop_decision_no_action,6,699538269248,3072,-1,-1,-1,-1,-1
11.1186,veh10,drop_decision_no_action,2,699538269417,3156,-1,-1,-1,-1,-1
11.1238,veh10,drop_decision_no_action,5,21594,3152,-1,-1,-1,-1,-1
11.1303,veh10,drop_decision_no_action,4,21611,3167,-1,-1,-1,-1,-1
11.1461,veh10,drop_decision_no_action,3,21633,3190,-1,-1,-1,-1,-1
11.1461,veh10,drop_decision_no_action,3,699538269453,3190,-1,-1,-1,-1,-1
11.1491,veh10,drop_decision_no_action,8,21628,3185,-1,-1,-1,-1,-1
11.1546,veh10,drop_decision_no_action,9,21671,3219,-1,-1,-1,-1,-1
11.1548,veh10,drop_decision_no_action,7,699538269456,3194,-1,-1,-1,-1,-1
11.1638,veh10,drop_decision_no_action,6,21677,3225,-1,-1,-1,-1,-1
11.1986,veh10,drop_decision_no_action,2,21729,3287,-1,-1,-1,-1,-1
11.2538,veh10,drop_decision_no_action,7,699538269682,3341,-1,-1,-1,-1,-1
11.2996,veh10,drop_decision_no_action,11,21735,3291,-1,-1,-1,-1,-1
11.3238,veh10,drop_decision_no_action,5,22037,3424,-1,-1,-1,-1,-1
11.3438,veh10,drop_decision_no_action,5,699538269871,3424,-1,-1,-1,-1,-1
11.3461,veh10,drop_decision_no_action,3,699538269885,3456,-1,-1,-1,-1,-1
11.3491,veh10,drop_decision_no_action,8,22063,3449,-1,-1,-1,-1,-1
11.3538,veh10,drop_decision_no_action,7,699538269888,3457,-1,-1,-1,-1,-1
11.3546,veh10,drop_decision_no_action,9,22099,3481,-1,-1,-1,-1,-1
11.3566,veh10,drop_decision_no_action,6,22104,3487,-1,-1,-1,-1,-1
11.3746,veh10,drop_decision_no_action,9,699538269939,3513,-1,-1,-1,-1,-1
11.4238,veh10,drop_decision_no_action,5,699538270094,3582,-1,-1,-1,-1,-1
11.4528,veh10,drop_decision_no_action,12,699538270146,3629,-1,-1,-1,-1,-1
11.4538,veh10,drop_decision_no_action,7,699538270123,3606,-1,-1,-1,-1,-1
11.4766,veh10,drop_decision_no_action,6,699538270162,3647,-1,-1,-1,-1,-1
11.4996,veh10,drop_decision_no_action,11,699538269976,3553,-1,-1,-1,-1,-1
11.5093,veh10,drop_decision_no_action,2,22397,3701,-1,-1,-1,-1,-1
11.5128,veh10,drop_decision_no_action,12,22484,3704,-1,-1,-1,-1,-1
11.5238,veh10,drop_decision_no_action,5,22490,3711,-1,-1,-1,-1,-1
11.5566,veh10,cam_drop_reaction,6,22567,3790,-1,-1,1,1,8
11.5833,veh10,drop_decision_no_action,4,699538270398,3807,-1,-1,-1,-1,-1
11.5996,veh10,drop_decision_no_action,11,22626,3851,-1,-1,-1,-1,-1
11.7046,veh10,drop_decision_no_action,8,699538270429,3834,-1,-1,-1,-1,-1
11.7233,veh10,drop_decision_no_action,4,22946,3992,-1,-1,-1,-1,-1
11.7238,veh10,drop_decision_no_action,5,699538270768,3977,-1,-1,-1,-1,-1
11.7293,veh10,drop_decision_no_action,2,699538270756,3983,-1,-1,-1,-1,-1
11.7766,veh10,drop_decision_no_action,6,699538270843,4072,-1,-1,-1,-1,-1
11.7833,veh10,drop_decision_no_action,4,699538270848,4078,-1,-1,-1,-1,-1
11.8128,veh10,drop_decision_no_action,12,23167,4132,-1,-1,-1,-1,-1
