vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,4812,0.331005,,0,CAM,8,,4812,-1
veh8,5014,0.531005,,0,CAM,8,,5014,-1
veh8,5213,0.731005,,0,CAM,8,,5213,-1
veh8,5929,0.931005,,0,CAM,8,,5929,-1
veh8,6134,1.131,,0,CAM,8,,6134,-1
veh8,6362,1.331,,0,CAM,8,,6362,-1
veh8,6597,1.531,,0,CAM,8,,6597,-1
veh8,6834,1.731,,0,CAM,8,,6834,-1
veh8,7092,1.931,,0,CAM,8,,7092,-1
veh8,7351,2.131,,0,CAM,8,,7351,-1
veh8,7612,2.331,,0,CAM,8,,7612,-1
veh8,7889,2.531,,0,CAM,8,,7889,-1
veh8,8194,2.731,,0,CAM,8,,8194,-1
veh8,8491,2.931,,0,CAM,8,,8491,-1
veh8,8782,3.131,,0,CAM,8,,8782,-1
veh8,9085,3.331,,0,CAM,8,,9085,-1
veh8,9392,3.531,,0,CAM,8,,9392,-1
veh8,9701,3.731,,0,CAM,8,,9701,-1
veh8,10007,3.931,,0,CAM,8,,10007,-1
veh8,10319,4.131,,0,CAM,8,,10319,-1
veh8,10478,4.231,,0,CAM,8,,10478,-1
veh8,10639,4.331,,0,CAM,8,,10639,-1
veh8,10789,4.431,,0,CAM,8,,10789,-1
veh8,10952,4.531,,0,CAM,8,,10952,-1
veh8,11265,4.731,,0,CAM,8,,11265,-1
veh8,11571,4.931,,0,CAM,8,,11571,-1
veh8,11879,5.131,,0,CAM,8,,11879,-1
veh8,12180,5.331,,0,CAM,8,,12180,-1
veh8,12469,5.531,,0,CAM,8,,12469,-1
veh8,12612,5.631,,0,CAM,8,,12612,-1
veh8,12755,5.731,,0,CAM,8,,12755,-1
veh8,12894,5.831,,0,CAM,8,,12894,-1
veh8,13054,5.931,,0,CAM,8,,13054,-1
veh8,13344,6.131,,0,CAM,8,,13344,-1
veh8,13639,6.331,,0,CAM,8,,13639,-1
veh8,13922,6.531,,0,CAM,8,,13922,-1
veh8,14206,6.731,,0,CAM,8,,14206,-1
veh8,14501,6.931,,0,CAM,8,,14501,-1
veh8,14793,7.131,,0,CAM,8,,14793,-1
veh8,14947,7.231,,0,CAM,8,,14947,-1
veh8,15095,7.331,,0,CAM,8,,15095,-1
veh8,15237,7.431,,0,CAM,8,,15237,-1
veh8,15386,7.531,,0,CAM,8,,15386,-1
veh8,15669,7.731,,0,CAM,8,,15669,-1
veh8,15950,7.931,,0,CAM,8,,15950,-1
veh8,16283,8.131,,0,CAM,8,,16283,-1
veh8,16571,8.331,,0,CAM,8,,16571,-1
veh8,16843,8.531,,0,CAM,8,,16843,-1
veh8,17123,8.731,,0,CAM,8,,17123,-1
veh8,17259,8.831,,0,CAM,8,,17259,-1
veh8,17393,8.931,,0,CAM,8,,17393,-1
veh8,17524,9.031,,0,CAM,8,,17524,-1
veh8,17659,9.131,,0,CAM,8,,17659,-1
veh8,17926,9.331,,0,CAM,8,,17926,-1
veh8,18325,9.631,,0,CAM,8,,18325,-1
veh8,18731,9.931,,0,CAM,8,,18731,-1
veh8,699538266676,,10.0101,0,CPM_DROP_PHY,10,8,699538266676,1373
veh8,18915,,10.0416,1,CAM,3,8,18915,-1
veh8,18953,,10.0546,1,CAM,9,8,18953,-1
veh8,699538266804,,10.0638,0,CPM_DROP_PHY,6,8,699538266804,1425
veh8,699538266823,,10.0703,0,CPM_DROP_PHY,4,8,699538266823,1433
veh8,699538266808,,10.0746,0,CPM_DROP_PHY,9,8,699538266808,1426
