time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.02333,veh5,cam_drop_reaction,4,43627,145,-1,-1,0,1,45
2.04283,veh5,drop_decision_no_action,3,699537963791,167,-1,-1,-1,-1,-1
2.04908,veh5,drop_decision_no_action,7,699537963795,168,-1,-1,-1,-1,-1
2.06358,veh5,drop_decision_no_action,9,43704,190,-1,-1,-1,-1,-1
2.07458,veh5,drop_decision_no_action,6,699537963864,211,-1,-1,-1,-1,-1
2.08333,veh5,drop_decision_no_action,4,699537963869,218,-1,-1,-1,-1,-1
2.08908,veh5,drop_decision_no_action,8,699537963899,238,-1,-1,-1,-1,-1
2.11233,veh5,drop_decision_no_action,2,43779,255,-1,-1,-1,-1,-1
2.14283,veh5,drop_decision_no_action,3,43895,306,-1,-1,-1,-1,-1
2.14283,veh5,drop_decision_no_action,3,699537964034,306,-1,-1,-1,-1,-1
2.14908,veh5,drop_decision_no_action,7,699537964037,310,-1,-1,-1,-1,-1
2.15458,veh5,drop_decision_no_action,6,43941,337,-1,-1,-1,-1,-1
2.16458,veh5,drop_decision_no_action,7,43917,310,-1,-1,-1,-1,-1
2.18908,veh5,drop_decision_no_action,8,699537964109,377,-1,-1,-1,-1,-1
2.22333,veh5,drop_decision_no_action,4,44075,405,-1,-1,-1,-1,-1
2.24283,veh5,drop_decision_no_action,3,699537964228,425,-1,-1,-1,-1,-1
2.25458,veh5,drop_decision_no_action,9,44120,449,-1,-1,-1,-1,-1
2.31233,veh5,drop_decision_no_action,2,44174,504,-1,-1,-1,-1,-1
2.34283,veh5,drop_decision_no_action,3,44286,549,-1,-1,-1,-1,-1
2.34908,veh5,drop_decision_no_action,8,44282,547,-1,-1,-1,-1,-1
2.35458,veh5,drop_decision_no_action,6,44318,579,-1,-1,-1,-1,-1
2.37458,veh5,drop_decision_no_action,6,699537964464,596,-1,-1,-1,-1,-1
2.42333,veh5,drop_decision_no_action,4,44455,657,-1,-1,-1,-1,-1
