vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,2006,,2.00858,1,CAM,1,10,2006,-1
veh10,2023,,2.02758,1,CAM,3,10,2023,-1
veh10,2041,,2.05383,1,CAM,2,10,2041,-1
veh10,2134,,2.14658,1,CAM,4,10,2134,-1
veh10,2136,,2.15408,1,CAM,6,10,2136,-1
veh10,2171,,2.18233,1,CAM,5,10,2171,-1
veh10,2191,,2.19358,1,CAM,9,10,2191,-1
veh10,2206,,2.20858,1,CAM,1,10,2206,-1
veh10,2223,,2.22758,1,CAM,3,10,2223,-1
veh10,2238,2.23853,,0,CAM,10,,2238,-1
veh10,2234,,2.24658,1,CAM,4,10,2234,-1
veh10,2241,,2.25383,1,CAM,2,10,2241,-1
veh10,2236,,2.25408,1,CAM,6,10,2236,-1
veh10,2323,,2.32733,1,CAM,12,10,2323,-1
veh10,2334,,2.34658,1,CAM,4,10,2334,-1
veh10,2336,,2.35408,1,CAM,6,10,2336,-1
veh10,2371,,2.38233,1,CAM,5,10,2371,-1
veh10,2391,,2.39358,1,CAM,9,10,2391,-1
veh10,2406,,2.40858,1,CAM,1,10,2406,-1
veh10,2423,,2.43833,1,CAM,3,10,2423,-1
veh10,2438,2.43853,,0,CAM,10,,2438,-1
veh10,2434,,2.44658,1,CAM,4,10,2434,-1
veh10,2441,,2.45383,1,CAM,2,10,2441,-1
veh10,2436,,2.45408,1,CAM,6,10,2436,-1
veh10,2512,,2.51583,1,CAM,8,10,2512,-1
veh10,2523,,2.52733,1,CAM,12,10,2523,-1
veh10,2534,,2.54658,1,CAM,4,10,2534,-1
veh10,2536,,2.55408,1,CAM,6,10,2536,-1
veh10,2571,,2.58233,1,CAM,5,10,2571,-1
veh10,2591,,2.59358,1,CAM,9,10,2591,-1
veh10,2606,,2.60858,1,CAM,1,10,2606,-1
veh10,2623,,2.62758,1,CAM,3,10,2623,-1
veh10,2638,2.63853,,0,CAM,10,,2638,-1
veh10,2634,,2.64658,1,CAM,4,10,2634,-1
veh10,2641,,2.65383,1,CAM,2,10,2641,-1
