time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
3.37133,veh11,cpm_drop_reaction,9,699721997646,3360,-1,-1,1,1,8
3.37983,veh11,drop_decision_no_action,6,699721997642,3359,-1,-1,-1,-1,-1
3.38483,veh11,drop_decision_no_action,12,52431,3370,-1,-1,-1,-1,-1
3.38608,veh11,drop_decision_no_action,4,699721997651,3369,-1,-1,-1,-1,-1
3.38958,veh11,drop_decision_no_action,8,699721997689,3406,-1,-1,-1,-1,-1
3.41433,veh11,drop_decision_no_action,10,699721997779,3438,-1,-1,-1,-1,-1
3.42058,veh11,drop_decision_no_action,2,699721997783,3440,-1,-1,-1,-1,-1
3.42383,veh11,drop_decision_no_action,5,699721997797,3456,-1,-1,-1,-1,-1
3.42608,veh11,drop_decision_no_action,4,52566,3446,-1,-1,-1,-1,-1
3.44483,veh11,drop_decision_no_action,12,699721997805,3470,-1,-1,-1,-1,-1
3.44608,veh11,drop_decision_no_action,3,52589,3481,-1,-1,-1,-1,-1
3.44658,veh11,drop_decision_no_action,7,699721997821,3484,-1,-1,-1,-1,-1
3.45133,veh11,drop_decision_no_action,9,52615,3510,-1,-1,-1,-1,-1
3.45983,veh11,drop_decision_no_action,6,52620,3517,-1,-1,-1,-1,-1
3.46058,veh11,drop_decision_no_action,7,52604,3494,-1,-1,-1,-1,-1
3.46608,veh11,drop_decision_no_action,3,699721997817,3481,-1,-1,-1,-1,-1
3.47133,veh11,drop_decision_no_action,9,699721997860,3540,-1,-1,-1,-1,-1
3.47983,veh11,drop_decision_no_action,6,699721997857,3539,-1,-1,-1,-1,-1
3.48608,veh11,drop_decision_no_action,4,699721997867,3554,-1,-1,-1,-1,-1
3.48958,veh11,drop_decision_no_action,8,699721997901,3589,-1,-1,-1,-1,-1
3.50058,veh11,drop_decision_no_action,2,52687,3602,-1,-1,-1,-1,-1
3.51433,veh11,drop_decision_no_action,10,699721997997,3619,-1,-1,-1,-1,-1
3.52383,veh11,drop_decision_no_action,5,52769,3618,-1,-1,-1,-1,-1
3.53883,veh11,drop_decision_no_action,3,699721998035,3653,-1,-1,-1,-1,-1
3.54183,veh11,drop_decision_no_action,12,699721998021,3646,-1,-1,-1,-1,-1
3.54383,veh11,drop_decision_no_action,5,699721998012,3618,-1,-1,-1,-1,-1
3.54583,veh11,drop_decision_no_action,8,52803,3649,-1,-1,-1,-1,-1
3.54658,veh11,drop_decision_no_action,7,699721998039,3654,-1,-1,-1,-1,-1
3.55133,veh11,drop_decision_no_action,9,52837,3691,-1,-1,-1,-1,-1
3.57133,veh11,drop_decision_no_action,9,699721998079,3725,-1,-1,-1,-1,-1
3.57983,veh11,drop_decision_no_action,6,699721998076,3723,-1,-1,-1,-1,-1
3.58608,veh11,drop_decision_no_action,4,699721998085,3733,-1,-1,-1,-1,-1
3.59433,veh11,drop_decision_no_action,10,52886,3749,-1,-1,-1,-1,-1
3.60583,veh11,drop_decision_no_action,8,699721998120,3766,-1,-1,-1,-1,-1
3.61433,veh11,drop_decision_no_action,10,699721998204,3792,-1,-1,-1,-1,-1
3.62383,veh11,drop_decision_no_action,5,699721998220,3813,-1,-1,-1,-1,-1
3.62608,veh11,drop_decision_no_action,4,52990,3803,-1,-1,-1,-1,-1
3.63883,veh11,drop_decision_no_action,3,53013,3832,-1,-1,-1,-1,-1
3.64183,veh11,drop_decision_no_action,12,699721998227,3825,-1,-1,-1,-1,-1
3.65133,veh11,drop_decision_no_action,9,53035,3865,-1,-1,-1,-1,-1
3.65883,veh11,drop_decision_no_action,3,699721998240,3832,-1,-1,-1,-1,-1
3.65983,veh11,drop_decision_no_action,6,53039,3870,-1,-1,-1,-1,-1
3.67133,veh11,drop_decision_no_action,9,699721998278,3897,-1,-1,-1,-1,-1
3.67983,veh11,drop_decision_no_action,6,699721998275,3895,-1,-1,-1,-1,-1
3.68183,veh11,drop_decision_no_action,12,53065,3913,-1,-1,-1,-1,-1
3.68608,veh11,drop_decision_no_action,4,699721998284,3907,-1,-1,-1,-1,-1
3.70058,veh11,drop_decision_no_action,2,53101,3956,-1,-1,-1,-1,-1
3.70583,veh11,drop_decision_no_action,8,699721998316,3945,-1,-1,-1,-1,-1
3.71433,veh11,drop_decision_no_action,10,699721998401,3972,-1,-1,-1,-1,-1
3.72383,veh11,drop_decision_no_action,5,53173,3971,-1,-1,-1,-1,-1
3.73883,veh11,drop_decision_no_action,3,699721998433,4010,-1,-1,-1,-1,-1
3.74183,veh11,drop_decision_no_action,12,699721998421,4004,-1,-1,-1,-1,-1
3.74383,veh11,drop_decision_no_action,5,699721998416,3971,-1,-1,-1,-1,-1
3.74658,veh11,drop_decision_no_action,7,699721998243,3835,-1,-1,-1,-1,-1
3.74658,veh11,drop_decision_no_action,7,699721998436,4011,-1,-1,-1,-1,-1
3.75133,veh11,drop_decision_no_action,9,53230,4045,-1,-1,-1,-1,-1
3.77133,veh11,drop_decision_no_action,9,699721998471,4075,-1,-1,-1,-1,-1
3.77983,veh11,drop_decision_no_action,6,699721998467,4073,-1,-1,-1,-1,-1
3.78608,veh11,drop_decision_no_action,4,699721998476,4083,-1,-1,-1,-1,-1
3.80583,veh11,drop_decision_no_action,8,699721998506,4115,-1,-1,-1,-1,-1
3.81433,veh11,drop_decision_no_action,10,699721998590,4134,-1,-1,-1,-1,-1
3.82383,veh11,drop_decision_no_action,5,699721998606,4155,-1,-1,-1,-1,-1
3.82608,veh11,drop_decision_no_action,4,53375,4145,-1,-1,-1,-1,-1
3.83883,veh11,drop_decision_no_action,3,53400,4174,-1,-1,-1,-1,-1
