vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh5,40947,0.407164,,0,CAM,5,,40947,-1
veh5,41148,0.607164,,0,CAM,5,,41148,-1
veh5,41351,0.807164,,0,CAM,5,,41351,-1
veh5,41561,1.00716,,0,CAM,5,,41561,-1
veh5,41775,1.20716,,0,CAM,5,,41775,-1
veh5,41996,1.40716,,0,CAM,5,,41996,-1
veh5,42226,1.60716,,0,CAM,5,,42226,-1
veh5,42467,1.80716,,0,CAM,5,,42467,-1
veh5,42710,2.00716,,0,CAM,5,,42710,-1
veh5,42973,2.20716,,0,CAM,5,,42973,-1
veh5,43232,2.40716,,0,CAM,5,,43232,-1
veh5,43526,2.60716,,0,CAM,5,,43526,-1
veh5,43672,2.70716,,0,CAM,5,,43672,-1
veh5,43820,2.80716,,0,CAM,5,,43820,-1
veh5,43963,2.90716,,0,CAM,5,,43963,-1
veh5,44109,3.00716,,0,CAM,5,,44109,-1
veh5,44393,3.20716,,0,CAM,5,,44393,-1
veh5,44691,3.40716,,0,CAM,5,,44691,-1
veh5,45004,3.60716,,0,CAM,5,,45004,-1
veh5,45312,3.80716,,0,CAM,5,,45312,-1
veh5,45616,4.00716,,0,CAM,5,,45616,-1
veh5,45936,4.20716,,0,CAM,5,,45936,-1
veh5,46242,4.40716,,0,CAM,5,,46242,-1
veh5,46553,4.60716,,0,CAM,5,,46553,-1
veh5,46869,4.80716,,0,CAM,5,,46869,-1
veh5,47025,4.90716,,0,CAM,5,,47025,-1
veh5,47173,5.00716,,0,CAM,5,,47173,-1
veh5,47328,5.10716,,0,CAM,5,,47328,-1
veh5,47623,5.30716,,0,CAM,5,,47623,-1
veh5,48072,5.60716,,0,CAM,5,,48072,-1
veh5,48499,5.90716,,0,CAM,5,,48499,-1
veh5,48935,6.20716,,0,CAM,5,,48935,-1
veh5,49364,6.50716,,0,CAM,5,,49364,-1
veh5,49672,6.70716,,0,CAM,5,,49672,-1
veh5,49835,6.80716,,0,CAM,5,,49835,-1
veh5,49984,6.90716,,0,CAM,5,,49984,-1
veh5,50138,7.00716,,0,CAM,5,,50138,-1
veh5,50427,7.20716,,0,CAM,5,,50427,-1
veh5,50720,7.40716,,0,CAM,5,,50720,-1
veh5,51142,7.70716,,0,CAM,5,,51142,-1
veh5,51567,8.00716,,0,CAM,5,,51567,-1
veh5,53585,8.30716,,0,CAM,5,,53585,-1
veh5,53999,8.60716,,0,CAM,5,,53999,-1
veh5,54413,8.90716,,0,CAM,5,,54413,-1
veh5,54834,9.20716,,0,CAM,5,,54834,-1
veh5,55245,9.50716,,0,CAM,5,,55245,-1
veh5,55649,9.80716,,0,CAM,5,,55649,-1
veh5,699721345794,,10.0101,0,CPM_DROP_PHY,10,5,699721345794,1372
veh5,699721345811,,10.0123,0,CPM_DROP_PHY,2,5,699721345811,1377
veh5,55993,,10.0416,0,CAM_DROP_PHY,3,5,55993,1401
veh5,699721345862,,10.0416,0,CPM_DROP_PHY,3,5,699721345862,1401
veh5,55976,,10.0471,0,CAM_DROP_PHY,8,5,55976,1392
veh5,699721345865,,10.0491,0,CPM_DROP_PHY,7,5,699721345865,1403
veh5,699721345899,,10.0536,0,CPM_DROP_PHY,12,5,699721345899,1429
veh5,56030,,10.0546,0,CAM_DROP_PHY,9,5,56030,1426
veh5,699721345920,,10.0638,0,CPM_DROP_PHY,6,5,699721345920,1447
veh5,56014,,10.0646,0,CAM_DROP_PHY,7,5,56014,1403
veh5,699721345934,,10.0703,0,CPM_DROP_PHY,4,5,699721345934,1458
veh5,699721345924,,10.0746,0,CPM_DROP_PHY,9,5,699721345924,1448
veh5,56091,,10.0901,0,CAM_DROP_PHY,10,5,56091,1486
veh5,699721345964,,10.0941,0,CPM_DROP_PHY,8,5,699721345964,1496
veh5,699721345972,,10.0973,0,CPM_DROP_PHY,11,5,699721345972,1506
veh5,56192,10.1072,,0,CAM,5,,56192,-1
veh5,699721346060,,10.1101,0,CPM_DROP_PHY,10,5,699721346060,1531
veh5,56114,,10.1123,0,CAM_DROP_PHY,2,5,56114,1511
veh5,699721346067,,10.1123,0,CPM_DROP_PHY,2,5,699721346067,1511
veh5,56121,,10.1173,0,CAM_DROP_PHY,11,5,56121,1515
veh5,56211,,10.1303,0,CAM_DROP_PHY,4,5,56211,1558
veh5,699721346096,,10.1416,0,CPM_DROP_PHY,3,5,699721346096,1589
veh5,699721346099,,10.1491,0,CPM_DROP_PHY,7,5,699721346099,1590
veh5,699721346119,,10.1536,0,CPM_DROP_PHY,12,5,699721346119,1618
veh5,56251,,10.1546,0,CAM_DROP_PHY,9,5,56251,1615
veh5,56258,,10.1638,0,CAM_DROP_PHY,6,5,56258,1620
veh5,699721346140,,10.1703,0,CPM_DROP_PHY,4,5,699721346140,1646
veh5,699721346135,,10.1746,0,CPM_DROP_PHY,9,5,699721346135,1639
veh5,699721346132,,10.1838,0,CPM_DROP_PHY,6,5,699721346132,1620
veh5,699721346163,,10.1941,0,CPM_DROP_PHY,8,5,699721346163,1682
veh5,699721346171,,10.1973,0,CPM_DROP_PHY,11,5,699721346171,1693
veh5,699721346256,,10.2101,0,CPM_DROP_PHY,10,5,699721346256,1714
veh5,56312,,10.2123,0,CAM_DROP_PHY,2,5,56312,1699
veh5,699721346262,,10.2123,0,CPM_DROP_PHY,2,5,699721346262,1699
veh5,56384,,10.2136,0,CAM_DROP_PHY,12,5,56384,1703
veh5,699721346285,,10.2416,0,CPM_DROP_PHY,3,5,699721346285,1762
veh5,699721346288,,10.2491,0,CPM_DROP_PHY,7,5,699721346288,1763
veh5,699721346305,,10.2536,0,CPM_DROP_PHY,12,5,699721346305,1785
veh5,699721346315,,10.2638,0,CPM_DROP_PHY,6,5,699721346315,1800
veh5,699721346323,,10.2703,0,CPM_DROP_PHY,4,5,699721346323,1806
veh5,699721346318,,10.2746,0,CPM_DROP_PHY,9,5,699721346318,1801
veh5,699721346344,,10.2941,0,CPM_DROP_PHY,8,5,699721346344,1839
veh5,699721346351,,10.2973,0,CPM_DROP_PHY,11,5,699721346351,1846
veh5,699721346435,,10.3101,0,CPM_DROP_PHY,10,5,699721346435,1866
