vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh3,31284,,31.3033,1,CAM,6,3,31284,-1
veh3,31288,,31.3063,1,CAM,2,3,31288,-1
veh3,31388,,31.4003,1,CAM,2,3,31388,-1
veh3,31423,,31.4426,1,CAM,9,3,31423,-1
veh3,31488,,31.5003,1,CAM,2,3,31488,-1
veh3,31484,,31.5033,1,CAM,6,3,31484,-1
veh3,31554,,31.5698,1,CAM,5,3,31554,-1
veh3,31588,,31.6003,1,CAM,2,3,31588,-1
veh3,31623,,31.6426,1,CAM,9,3,31623,-1
veh3,31688,,31.6926,1,CAM,2,3,31688,-1
veh3,31684,,31.7033,1,CAM,6,3,31684,-1
veh3,31754,,31.7648,1,CAM,10,3,31754,-1
veh3,31754,,31.7698,1,CAM,5,3,31754,-1
veh3,31805,,31.8248,1,CAM,4,3,31805,-1
veh3,31827,31.8275,,0,CAM,3,,31827,-1
veh3,31823,,31.8426,1,CAM,9,3,31823,-1
veh3,31884,,31.9033,1,CAM,6,3,31884,-1
veh3,31888,,31.9071,1,CAM,2,3,31888,-1
veh3,31954,,31.9648,1,CAM,10,3,31954,-1
veh3,31954,,31.9698,1,CAM,5,3,31954,-1
veh3,32005,,32.0248,1,CAM,4,3,32005,-1
veh3,32027,32.0275,,0,CAM,3,,32027,-1
veh3,32023,,32.0426,1,CAM,9,3,32023,-1
veh3,32079,,32.0898,1,CAM,7,3,32079,-1
veh3,32084,,32.1033,1,CAM,6,3,32084,-1
veh3,32088,,32.1071,1,CAM,2,3,32088,-1
veh3,32131,,32.1438,1,CAM,8,3,32131,-1
veh3,32154,,32.1648,1,CAM,10,3,32154,-1
veh3,32154,,32.1698,1,CAM,5,3,32154,-1
veh3,32205,,32.2248,1,CAM,4,3,32205,-1
veh3,32227,32.2275,,0,CAM,3,,32227,-1
veh3,32223,,32.2426,1,CAM,9,3,32223,-1
veh3,32279,,32.3001,1,CAM,7,3,32279,-1
veh3,32284,,32.3033,1,CAM,6,3,32284,-1
veh3,32288,,32.3071,1,CAM,2,3,32288,-1
veh3,32331,,32.3393,1,CAM,8,3,32331,-1
veh3,32354,,32.3621,1,CAM,5,3,32354,-1
veh3,32354,,32.3648,1,CAM,10,3,32354,-1
veh3,32405,,32.4248,1,CAM,4,3,32405,-1
veh3,32427,32.4275,,0,CAM,3,,32427,-1
veh3,32423,,32.4426,1,CAM,9,3,32423,-1
veh3,32484,,32.4961,1,CAM,6,3,32484,-1
veh3,32479,,32.5001,1,CAM,7,3,32479,-1
veh3,32531,,32.5393,1,CAM,8,3,32531,-1
veh3,32554,,32.5621,1,CAM,5,3,32554,-1
veh3,32554,,32.5648,1,CAM,10,3,32554,-1
veh3,32605,,32.6178,1,CAM,4,3,32605,-1
veh3,32627,32.6275,,0,CAM,3,,32627,-1
veh3,32684,,32.6961,1,CAM,6,3,32684,-1
veh3,32679,,32.7001,1,CAM,7,3,32679,-1
veh3,32731,,32.7393,1,CAM,8,3,32731,-1
veh3,32754,,32.7591,1,CAM,10,3,32754,-1
veh3,32754,,32.7621,1,CAM,5,3,32754,-1
veh3,32688,,32.7926,1,CAM,2,3,32688,-1
veh3,32805,,32.8178,1,CAM,4,3,32805,-1
veh3,32827,32.8275,,0,CAM,3,,32827,-1
veh3,32888,,32.8926,1,CAM,2,3,32888,-1
veh3,32884,,32.8961,1,CAM,6,3,32884,-1
veh3,32879,,32.8991,1,CAM,7,3,32879,-1
veh3,32931,,32.9393,1,CAM,8,3,32931,-1
veh3,32954,,32.9576,1,CAM,5,3,32954,-1
veh3,32954,,32.9591,1,CAM,10,3,32954,-1
veh3,33005,,33.0178,1,CAM,4,3,33005,-1
veh3,33027,33.0275,,0,CAM,3,,33027,-1
veh3,33088,,33.0926,1,CAM,2,3,33088,-1
veh3,33084,,33.0961,1,CAM,6,3,33084,-1
