time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
31.3003,veh4,drop_decision_no_action,2,31288,2722,-1,-1,-1,-1,-1
31.3033,veh4,drop_decision_no_action,6,31284,2720,-1,-1,-1,-1,-1
31.3838,veh4,drop_decision_no_action,8,31375,2775,-1,-1,-1,-1,-1
31.4003,veh4,drop_decision_no_action,2,31388,2785,-1,-1,-1,-1,-1
31.4426,veh4,drop_decision_no_action,9,31423,2812,-1,-1,-1,-1,-1
31.4838,veh4,drop_decision_no_action,8,31475,2844,-1,-1,-1,-1,-1
31.5003,veh4,drop_decision_no_action,2,31488,2855,-1,-1,-1,-1,-1
31.5033,veh4,drop_decision_no_action,6,31484,2853,-1,-1,-1,-1,-1
31.5698,veh4,drop_decision_no_action,5,31554,2904,-1,-1,-1,-1,-1
31.5838,veh4,drop_decision_no_action,8,31575,2917,-1,-1,-1,-1,-1
31.5838,veh4,crash_mode_forced_speed,8,31575,2917,-1,-1,-1,-1,32
31.6003,veh4,drop_decision_no_action,2,31588,2931,-1,-1,-1,-1,-1
31.6426,veh4,drop_decision_no_action,9,31623,2958,-1,-1,-1,-1,-1
31.6433,veh4,drop_decision_no_action,6,31636,2965,-1,-1,-1,-1,-1
31.6838,veh4,drop_decision_no_action,8,31675,2999,-1,-1,-1,-1,-1
31.6926,veh4,drop_decision_no_action,2,31688,3009,-1,-1,-1,-1,-1
31.7033,veh4,drop_decision_no_action,6,31684,3007,-1,-1,-1,-1,-1
31.7648,veh4,drop_decision_no_action,10,31754,3059,-1,-1,-1,-1,-1
31.7698,veh4,drop_decision_no_action,5,31754,3060,-1,-1,-1,-1,-1
31.7838,veh4,drop_decision_no_action,8,31775,3079,-1,-1,-1,-1,-1
31.8286,veh4,drop_decision_no_action,3,31827,3119,-1,-1,-1,-1,-1
31.8426,veh4,drop_decision_no_action,9,31823,3113,-1,-1,-1,-1,-1
31.8433,veh4,drop_decision_no_action,6,31836,3132,-1,-1,-1,-1,-1
31.8826,veh4,drop_decision_no_action,9,31882,3169,-1,-1,-1,-1,-1
31.8926,veh4,drop_decision_no_action,2,31888,3180,-1,-1,-1,-1,-1
31.9033,veh4,drop_decision_no_action,6,31884,3178,-1,-1,-1,-1,-1
31.9098,veh4,drop_decision_no_action,5,31901,3192,-1,-1,-1,-1,-1
31.9433,veh4,drop_decision_no_action,6,31936,3228,-1,-1,-1,-1,-1
31.9648,veh4,drop_decision_no_action,10,31954,3244,-1,-1,-1,-1,-1
31.9698,veh4,drop_decision_no_action,5,31954,3245,-1,-1,-1,-1,-1
32.0286,veh4,drop_decision_no_action,3,32027,3297,-1,-1,-1,-1,-1
32.0426,veh4,drop_decision_no_action,9,32023,3291,-1,-1,-1,-1,-1
32.0433,veh4,drop_decision_no_action,6,32036,3310,-1,-1,-1,-1,-1
32.0826,veh4,drop_decision_no_action,9,32082,3348,-1,-1,-1,-1,-1
32.0898,veh4,drop_decision_no_action,7,32079,3347,-1,-1,-1,-1,-1
32.0926,veh4,drop_decision_no_action,2,32088,3359,-1,-1,-1,-1,-1
32.1033,veh4,drop_decision_no_action,6,32084,3357,-1,-1,-1,-1,-1
32.1433,veh4,drop_decision_no_action,6,32136,3407,-1,-1,-1,-1,-1
32.1438,veh4,drop_decision_no_action,8,32131,3405,-1,-1,-1,-1,-1
32.1648,veh4,drop_decision_no_action,10,32154,3426,-1,-1,-1,-1,-1
32.1686,veh4,drop_decision_no_action,3,32149,3423,-1,-1,-1,-1,-1
32.1698,veh4,drop_decision_no_action,5,32154,3428,-1,-1,-1,-1,-1
32.2126,veh4,drop_decision_no_action,2,32193,3473,-1,-1,-1,-1,-1
32.2286,veh4,drop_decision_no_action,3,32227,3499,-1,-1,-1,-1,-1
32.2426,veh4,drop_decision_no_action,9,32223,3492,-1,-1,-1,-1,-1
32.2826,veh4,drop_decision_no_action,9,32282,3553,-1,-1,-1,-1,-1
32.2926,veh4,drop_decision_no_action,2,32288,3563,-1,-1,-1,-1,-1
32.3001,veh4,drop_decision_no_action,7,32279,3551,-1,-1,-1,-1,-1
32.3033,veh4,drop_decision_no_action,6,32284,3561,-1,-1,-1,-1,-1
32.3393,veh4,drop_decision_no_action,8,32331,3608,-1,-1,-1,-1,-1
32.3561,veh4,drop_decision_no_action,6,32336,3611,-1,-1,-1,-1,-1
32.3621,veh4,drop_decision_no_action,5,32354,3631,-1,-1,-1,-1,-1
32.3648,veh4,drop_decision_no_action,10,32354,3630,-1,-1,-1,-1,-1
32.3793,veh4,drop_decision_no_action,8,32375,3664,-1,-1,-1,-1,-1
32.4331,veh4,drop_decision_no_action,3,32427,3703,-1,-1,-1,-1,-1
32.4426,veh4,drop_decision_no_action,9,32423,3698,-1,-1,-1,-1,-1
32.4826,veh4,drop_decision_no_action,9,32482,3756,-1,-1,-1,-1,-1
32.4926,veh4,drop_decision_no_action,2,32488,3764,-1,-1,-1,-1,-1
32.4961,veh4,drop_decision_no_action,6,32484,3763,-1,-1,-1,-1,-1
32.5001,veh4,drop_decision_no_action,7,32479,3754,-1,-1,-1,-1,-1
32.5393,veh4,drop_decision_no_action,8,32531,3809,-1,-1,-1,-1,-1
32.5561,veh4,drop_decision_no_action,6,32536,3813,-1,-1,-1,-1,-1
32.5621,veh4,drop_decision_no_action,5,32554,3837,-1,-1,-1,-1,-1
32.5648,veh4,drop_decision_no_action,10,32554,3836,-1,-1,-1,-1,-1
32.6201,veh4,drop_decision_no_action,7,32613,3887,-1,-1,-1,-1,-1
32.6331,veh4,drop_decision_no_action,3,32627,3906,-1,-1,-1,-1,-1
32.6401,veh4,drop_decision_no_action,9,32623,3901,-1,-1,-1,-1,-1
32.6561,veh4,drop_decision_no_action,6,32636,3918,-1,-1,-1,-1,-1
32.6926,veh4,drop_decision_no_action,2,32688,3971,-1,-1,-1,-1,-1
32.6961,veh4,drop_decision_no_action,6,32684,3970,-1,-1,-1,-1,-1
32.7001,veh4,drop_decision_no_action,9,32682,3969,-1,-1,-1,-1,-1
32.7001,veh4,drop_decision_no_action,7,32679,3967,-1,-1,-1,-1,-1
32.7201,veh4,drop_decision_no_action,7,32713,4004,-1,-1,-1,-1,-1
32.7393,veh4,drop_decision_no_action,8,32731,4024,-1,-1,-1,-1,-1
32.7561,veh4,drop_decision_no_action,6,32736,4031,-1,-1,-1,-1,-1
32.7591,veh4,drop_decision_no_action,10,32754,4054,-1,-1,-1,-1,-1
32.7621,veh4,drop_decision_no_action,5,32754,4055,-1,-1,-1,-1,-1
32.8331,veh4,drop_decision_no_action,3,32827,4120,-1,-1,-1,-1,-1
32.8401,veh4,drop_decision_no_action,9,32823,4116,-1,-1,-1,-1,-1
32.8926,veh4,drop_decision_no_action,2,32888,4173,-1,-1,-1,-1,-1
32.8961,veh4,drop_decision_no_action,6,32884,4172,-1,-1,-1,-1,-1
32.8991,veh4,drop_decision_no_action,7,32879,4169,-1,-1,-1,-1,-1
32.9001,veh4,drop_decision_no_action,9,32882,4171,-1,-1,-1,-1,-1
32.9021,veh4,drop_decision_no_action,5,32901,4192,-1,-1,-1,-1,-1
32.9393,veh4,drop_decision_no_action,8,32931,4229,-1,-1,-1,-1,-1
32.9561,veh4,drop_decision_no_action,6,32936,4233,-1,-1,-1,-1,-1
32.9576,veh4,drop_decision_no_action,5,32954,4257,-1,-1,-1,-1,-1
32.9591,veh4,drop_decision_no_action,10,32954,4256,-1,-1,-1,-1,-1
33.0331,veh4,drop_decision_no_action,3,33027,4322,-1,-1,-1,-1,-1
33.0391,veh4,drop_decision_no_action,10,33029,4323,-1,-1,-1,-1,-1
33.0401,veh4,drop_decision_no_action,9,33023,4318,-1,-1,-1,-1,-1
33.0926,veh4,drop_decision_no_action,2,33088,4382,-1,-1,-1,-1,-1
33.0961,veh4,drop_decision_no_action,6,33084,4381,-1,-1,-1,-1,-1
33.0991,veh4,drop_decision_no_action,7,33079,4380,-1,-1,-1,-1,-1
33.1393,veh4,drop_decision_no_action,8,33131,4423,-1,-1,-1,-1,-1
33.1531,veh4,drop_decision_no_action,3,33149,4445,-1,-1,-1,-1,-1
33.1561,veh4,drop_decision_no_action,6,33136,4427,-1,-1,-1,-1,-1
33.1576,veh4,drop_decision_no_action,5,33154,4454,-1,-1,-1,-1,-1
33.1591,veh4,drop_decision_no_action,10,33154,4453,-1,-1,-1,-1,-1
33.2126,veh4,drop_decision_no_action,2,33193,4499,-1,-1,-1,-1,-1
33.2331,veh4,drop_decision_no_action,3,33227,4532,-1,-1,-1,-1,-1
33.2401,veh4,drop_decision_no_action,9,33223,4527,-1,-1,-1,-1,-1
33.2926,veh4,drop_decision_no_action,2,33288,4584,-1,-1,-1,-1,-1
33.2961,veh4,drop_decision_no_action,6,33284,4583,-1,-1,-1,-1,-1
33.2991,veh4,drop_decision_no_action,7,33279,4582,-1,-1,-1,-1,-1
33.3393,veh4,drop_decision_no_action,8,33331,4625,-1,-1,-1,-1,-1
33.3561,veh4,drop_decision_no_action,6,33336,4629,-1,-1,-1,-1,-1
33.3576,veh4,drop_decision_no_action,5,33354,4653,-1,-1,-1,-1,-1
33.3591,veh4,drop_decision_no_action,10,33354,4652,-1,-1,-1,-1,-1
33.3793,veh4,drop_decision_no_action,8,33375,4682,-1,-1,-1,-1,-1
33.4331,veh4,drop_decision_no_action,3,33427,4726,-1,-1,-1,-1,-1
33.4401,veh4,drop_decision_no_action,9,33423,4722,-1,-1,-1,-1,-1
33.4926,veh4,drop_decision_no_action,2,33488,4778,-1,-1,-1,-1,-1
33.4961,veh4,drop_decision_no_action,6,33484,4777,-1,-1,-1,-1,-1
33.4991,veh4,drop_decision_no_action,7,33479,4776,-1,-1,-1,-1,-1
33.5331,veh4,drop_decision_no_action,3,33527,4818,-1,-1,-1,-1,-1
33.5393,veh4,drop_decision_no_action,8,33531,4820,-1,-1,-1,-1,-1
33.5561,veh4,drop_decision_no_action,6,33536,4827,-1,-1,-1,-1,-1
33.5576,veh4,drop_decision_no_action,5,33554,4855,-1,-1,-1,-1,-1
33.5591,veh4,drop_decision_no_action,10,33554,4854,-1,-1,-1,-1,-1
33.6191,veh4,drop_decision_no_action,7,33613,4905,-1,-1,-1,-1,-1
33.6331,veh4,drop_decision_no_action,3,33627,4926,-1,-1,-1,-1,-1
33.6401,veh4,drop_decision_no_action,9,33623,4919,-1,-1,-1,-1,-1
33.6486,veh4,drop_decision_no_action,6,33636,4935,-1,-1,-1,-1,-1
33.6886,veh4,drop_decision_no_action,6,33684,4986,-1,-1,-1,-1,-1
33.6926,veh4,drop_decision_no_action,2,33688,4990,-1,-1,-1,-1,-1
33.6991,veh4,drop_decision_no_action,7,33679,4985,-1,-1,-1,-1,-1
33.7331,veh4,drop_decision_no_action,3,33727,5027,-1,-1,-1,-1,-1
33.7356,veh4,drop_decision_no_action,8,33731,5030,-1,-1,-1,-1,-1
33.7486,veh4,drop_decision_no_action,6,33736,5039,-1,-1,-1,-1,-1
33.7576,veh4,drop_decision_no_action,5,33754,5071,-1,-1,-1,-1,-1
33.7591,veh4,drop_decision_no_action,10,33754,5068,-1,-1,-1,-1,-1
33.8331,veh4,drop_decision_no_action,3,33827,5129,-1,-1,-1,-1,-1
33.8401,veh4,drop_decision_no_action,9,33823,5125,-1,-1,-1,-1,-1
33.8886,veh4,drop_decision_no_action,6,33884,5181,-1,-1,-1,-1,-1
33.8938,veh4,drop_decision_no_action,2,33888,5186,-1,-1,-1,-1,-1
33.8991,veh4,drop_decision_no_action,7,33879,5179,-1,-1,-1,-1,-1
33.9001,veh4,drop_decision_no_action,9,33882,5180,-1,-1,-1,-1,-1
33.9176,veh4,drop_decision_no_action,5,33901,5209,-1,-1,-1,-1,-1
33.9356,veh4,drop_decision_no_action,8,33931,5243,-1,-1,-1,-1,-1
33.9458,veh4,drop_decision_no_action,3,33927,5235,-1,-1,-1,-1,-1
33.9576,veh4,drop_decision_no_action,5,33954,5274,-1,-1,-1,-1,-1
33.9616,veh4,drop_decision_no_action,10,33954,5273,-1,-1,-1,-1,-1
34.0256,veh4,drop_decision_no_action,9,34023,5328,-1,-1,-1,-1,-1
34.0416,veh4,drop_decision_no_action,10,34029,5335,-1,-1,-1,-1,-1
34.0886,veh4,drop_decision_no_action,6,34084,5381,-1,-1,-1,-1,-1
34.0938,veh4,drop_decision_no_action,2,34088,5387,-1,-1,-1,-1,-1
34.0991,veh4,drop_decision_no_action,7,34079,5379,-1,-1,-1,-1,-1
34.1356,veh4,drop_decision_no_action,8,34131,5438,-1,-1,-1,-1,-1
34.1458,veh4,drop_decision_no_action,3,34127,5432,-1,-1,-1,-1,-1
34.1576,veh4,drop_decision_no_action,5,34154,5469,-1,-1,-1,-1,-1
34.1616,veh4,drop_decision_no_action,10,34154,5468,-1,-1,-1,-1,-1
34.1658,veh4,drop_decision_no_action,3,34149,5461,-1,-1,-1,-1,-1
34.1938,veh4,drop_decision_no_action,2,34193,5509,-1,-1,-1,-1,-1
34.2256,veh4,drop_decision_no_action,9,34223,5538,-1,-1,-1,-1,-1
34.2886,veh4,drop_decision_no_action,6,34284,5583,-1,-1,-1,-1,-1
34.2938,veh4,drop_decision_no_action,2,34288,5589,-1,-1,-1,-1,-1
34.2976,veh4,drop_decision_no_action,7,34279,5581,-1,-1,-1,-1,-1
34.3356,veh4,drop_decision_no_action,8,34331,5640,-1,-1,-1,-1,-1
34.3458,veh4,drop_decision_no_action,3,34327,5634,-1,-1,-1,-1,-1
34.3576,veh4,drop_decision_no_action,5,34354,5670,-1,-1,-1,-1,-1
34.3616,veh4,drop_decision_no_action,10,34354,5669,-1,-1,-1,-1,-1
34.3756,veh4,drop_decision_no_action,8,34375,5695,-1,-1,-1,-1,-1
34.4256,veh4,drop_decision_no_action,9,34423,5732,-1,-1,-1,-1,-1
34.4886,veh4,drop_decision_no_action,6,34484,5777,-1,-1,-1,-1,-1
34.4976,veh4,drop_decision_no_action,7,34479,5775,-1,-1,-1,-1,-1
34.5061,veh4,drop_decision_no_action,2,34488,5784,-1,-1,-1,-1,-1
34.5356,veh4,drop_decision_no_action,8,34531,5835,-1,-1,-1,-1,-1
34.5458,veh4,drop_decision_no_action,3,34527,5829,-1,-1,-1,-1,-1
34.5551,veh4,drop_decision_no_action,5,34554,5864,-1,-1,-1,-1,-1
34.5616,veh4,drop_decision_no_action,10,34554,5863,-1,-1,-1,-1,-1
34.6176,veh4,drop_decision_no_action,7,34613,5907,-1,-1,-1,-1,-1
34.6361,veh4,drop_decision_no_action,9,34623,5916,-1,-1,-1,-1,-1
34.6458,veh4,drop_decision_no_action,3,34627,5920,-1,-1,-1,-1,-1
34.6486,veh4,drop_decision_no_action,6,34636,5935,-1,-1,-1,-1,-1
34.6973,veh4,drop_decision_no_action,6,34684,5981,-1,-1,-1,-1,-1
34.6976,veh4,drop_decision_no_action,7,34679,5979,-1,-1,-1,-1,-1
34.7061,veh4,drop_decision_no_action,2,34688,5984,-1,-1,-1,-1,-1
34.7356,veh4,drop_decision_no_action,8,34731,6037,-1,-1,-1,-1,-1
34.7458,veh4,drop_decision_no_action,3,34727,6032,-1,-1,-1,-1,-1
34.7551,veh4,drop_decision_no_action,5,34754,6066,-1,-1,-1,-1,-1
34.7616,veh4,drop_decision_no_action,10,34754,6065,-1,-1,-1,-1,-1
34.8361,veh4,drop_decision_no_action,9,34823,6115,-1,-1,-1,-1,-1
34.8458,veh4,drop_decision_no_action,3,34827,6118,-1,-1,-1,-1,-1
34.8551,veh4,drop_decision_no_action,5,34854,6151,-1,-1,-1,-1,-1
34.8961,veh4,drop_decision_no_action,9,34882,6175,-1,-1,-1,-1,-1
34.8973,veh4,drop_decision_no_action,6,34884,6176,-1,-1,-1,-1,-1
34.8976,veh4,drop_decision_no_action,7,34879,6173,-1,-1,-1,-1,-1
