vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,7040,0.331005,,0,CAM,8,,7040,-1
veh8,7239,0.531005,,0,CAM,8,,7239,-1
veh8,7440,0.731005,,0,CAM,8,,7440,-1
veh8,7740,0.931005,,0,CAM,8,,7740,-1
veh8,699722411827,,1.01233,0,CPM_DROP_PHY,2,8,699722411827,26
veh8,7844,,1.01608,0,CAM_DROP_PHY,5,8,7844,25
veh8,7877,,1.02333,0,CAM_DROP_PHY,4,8,7877,36
veh8,7943,,1.08083,0,CAM_DROP_PHY,10,8,7943,60
veh8,699722412020,,1.11233,0,CPM_DROP_PHY,2,8,699722412020,74
veh8,8066,1.131,,0,CAM,8,,8066,-1
veh8,699722412033,,1.13608,0,CPM_DROP_PHY,5,8,699722412033,85
veh8,8076,,1.14158,0,CAM_DROP_PHY,3,8,8076,92
veh8,8092,,1.15133,0,CAM_DROP_PHY,7,8,8092,102
veh8,8109,,1.15458,0,CAM_DROP_PHY,6,8,8109,118
veh8,699722412101,,1.17458,0,CPM_DROP_PHY,6,8,699722412101,138
veh8,699722412106,,1.18333,0,CPM_DROP_PHY,4,8,699722412106,141
veh8,8171,,1.21233,0,CAM_DROP_PHY,2,8,8171,179
veh8,699722412232,,1.21233,0,CPM_DROP_PHY,2,8,699722412232,179
veh8,8250,,1.21608,0,CAM_DROP_PHY,5,8,8250,188
veh8,8264,,1.22333,0,CAM_DROP_PHY,4,8,8264,203
veh8,699722412249,,1.23608,0,CPM_DROP_PHY,5,8,699722412249,210
veh8,699722412262,,1.24158,0,CPM_DROP_PHY,3,8,699722412262,226
veh8,699722412287,,1.27458,0,CPM_DROP_PHY,6,8,699722412287,252
veh8,699722412293,,1.28333,0,CPM_DROP_PHY,4,8,699722412293,254
veh8,699722412408,,1.31233,0,CPM_DROP_PHY,2,8,699722412408,301
veh8,8452,1.331,,0,CAM,8,,8452,-1
veh8,699722412420,,1.33608,0,CPM_DROP_PHY,5,8,699722412420,316
veh8,8457,,1.34158,0,CAM_DROP_PHY,3,8,8457,324
veh8,8469,,1.35133,0,CAM_DROP_PHY,7,8,8469,335
veh8,8480,,1.35458,0,CAM_DROP_PHY,6,8,8480,351
veh8,699722412468,,1.37458,0,CPM_DROP_PHY,6,8,699722412468,371
veh8,699722412474,,1.38333,0,CPM_DROP_PHY,4,8,699722412474,374
veh8,8536,,1.41233,0,CAM_DROP_PHY,2,8,8536,412
veh8,699722412598,,1.41233,0,CPM_DROP_PHY,2,8,699722412598,412
veh8,8616,,1.41608,0,CAM_DROP_PHY,5,8,8616,421
veh8,8630,,1.42333,0,CAM_DROP_PHY,4,8,8630,436
veh8,699722412714,,1.43608,0,CPM_DROP_PHY,5,8,699722412714,443
veh8,699722412728,,1.44158,0,CPM_DROP_PHY,3,8,699722412728,459
